cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
0,-3.8249946516989416e-08,H(5) + O2(4) <=> O(6) + OH(7),"{'O(6)': 1.0, 'OH(7)': 1.0}","{'H(5)': 1.0, 'O2(4)': 1.0}"
23,-9.960938026437755e-09,CO(13) + OH(7) <=> CO2(10) + H(5),"{'CO2(10)': 1.0, 'H(5)': 1.0}","{'CO(13)': 1.0, 'OH(7)': 1.0}"
2001,-9.799327147441254e-09,CH2(18) + O2(4) <=> CH2O2(699),{'CH2O2(699)': 1.0},"{'CH2(18)': 1.0, 'O2(4)': 1.0}"
1228,9.069914514756474e-09,BR(160) + HCO(14) <=> CO(13) + HBR(162),"{'CO(13)': 1.0, 'HBR(162)': 1.0}","{'BR(160)': 1.0, 'HCO(14)': 1.0}"
8,-7.824482976272411e-09,H(5) + O2(4) (+M) <=> HO2(11) (+M),{'HO2(11)': 1.0},"{'H(5)': 1.0, 'O2(4)': 1.0}"
1203,7.510379713648655e-09,H(5) + HBR(162) <=> BR(160) + H2(8),"{'BR(160)': 1.0, 'H2(8)': 1.0}","{'H(5)': 1.0, 'HBR(162)': 1.0}"
17,7.2757996709815255e-09,HO2(11) + OH(7) <=> H2O(9) + O2(4),"{'H2O(9)': 1.0, 'O2(4)': 1.0}","{'HO2(11)': 1.0, 'OH(7)': 1.0}"
457,7.2717319814190314e-09,HF(117) + M <=> F(115) + H(5) + M,"{'F(115)': 1.0, 'H(5)': 1.0}",{'HF(117)': 1.0}
1325,-7.218340056260143e-09,CH4(3) + F(115) <=> CH3(20) + HF(117),"{'CH3(20)': 1.0, 'HF(117)': 1.0}","{'CH4(3)': 1.0, 'F(115)': 1.0}"
74,-5.173494987649491e-09,CH3(20) + OH(7) <=> CH2(18) + H2O(9),"{'CH2(18)': 1.0, 'H2O(9)': 1.0}","{'CH3(20)': 1.0, 'OH(7)': 1.0}"
1331,-5.143858581674548e-09,HCO(14) + O2(4) <=> CO(13) + HO2(11),"{'CO(13)': 1.0, 'HO2(11)': 1.0}","{'HCO(14)': 1.0, 'O2(4)': 1.0}"
802,-4.986019453554202e-09,H2(8) + O(6) <=> H(5) + OH(7),"{'H(5)': 1.0, 'OH(7)': 1.0}","{'H2(8)': 1.0, 'O(6)': 1.0}"
3270,4.907150354371085e-09,CH2BR(164) + H(5) <=> CH3BR(186),{'CH3BR(186)': 1.0},"{'CH2BR(164)': 1.0, 'H(5)': 1.0}"
3254,4.771347476226643e-09,CH2BR(164) + HBR(162) <=> BR(160) + CH3BR(186),"{'BR(160)': 1.0, 'CH3BR(186)': 1.0}","{'CH2BR(164)': 1.0, 'HBR(162)': 1.0}"
71,4.5261945669771586e-09,CH3(20) + O(6) <=> CH2O(15) + H(5),"{'CH2O(15)': 1.0, 'H(5)': 1.0}","{'CH3(20)': 1.0, 'O(6)': 1.0}"
28,-4.2386862484145644e-09,HCO(14) + M <=> CO(13) + H(5) + M,"{'CO(13)': 1.0, 'H(5)': 1.0}",{'HCO(14)': 1.0}
804,-4.015096897477264e-09,2 OH(7) <=> H2O(9) + O(6),"{'H2O(9)': 1.0, 'O(6)': 1.0}",{'OH(7)': 2.0}
82,2.434047334314729e-09,2 CH3(20) (+M) <=> C2H6(31) (+M),{'C2H6(31)': 1.0},{'CH3(20)': 2.0}
1382,2.430550667839119e-09,BR(160) + HO2(11) <=> HBR(162) + O2(4),"{'HBR(162)': 1.0, 'O2(4)': 1.0}","{'BR(160)': 1.0, 'HO2(11)': 1.0}"
4960,2.198077766242583e-09,CF2CO(128) + O2(4) <=> S(3823),{'S(3823)': 1.0},"{'CF2CO(128)': 1.0, 'O2(4)': 1.0}"
3239,-2.1875879446050404e-09,CH3BR(186) + H(5) <=> CH3(20) + HBR(162),"{'CH3(20)': 1.0, 'HBR(162)': 1.0}","{'CH3BR(186)': 1.0, 'H(5)': 1.0}"
1269,2.113005831522514e-09,CH4(3) + OH(7) <=> CH3(20) + H2O(9),"{'CH3(20)': 1.0, 'H2O(9)': 1.0}","{'CH4(3)': 1.0, 'OH(7)': 1.0}"
1213,-2.107674223606007e-09,BR(160) + CH2O(15) <=> HBR(162) + HCO(14),"{'HBR(162)': 1.0, 'HCO(14)': 1.0}","{'BR(160)': 1.0, 'CH2O(15)': 1.0}"
1267,2.0550114055489794e-09,CH4(3) + H(5) <=> CH3(20) + H2(8),"{'CH3(20)': 1.0, 'H2(8)': 1.0}","{'CH4(3)': 1.0, 'H(5)': 1.0}"
2056,2.0381083114297335e-09,BR(160) + CH2(18) <=> CH2BR(164),{'CH2BR(164)': 1.0},"{'BR(160)': 1.0, 'CH2(18)': 1.0}"
1390,1.905652750309581e-09,H(5) + HCCO(19) <=> CH2CO(22),{'CH2CO(22)': 1.0},"{'H(5)': 1.0, 'HCCO(19)': 1.0}"
5616,1.872019224523871e-09,BR(160) + CH2CO(22) <=> S(2565),{'S(2565)': 1.0},"{'BR(160)': 1.0, 'CH2CO(22)': 1.0}"
49,-1.8478291079454531e-09,CH2(18) + H2(8) <=> CH3(20) + H(5),"{'CH3(20)': 1.0, 'H(5)': 1.0}","{'CH2(18)': 1.0, 'H2(8)': 1.0}"
29,-1.8466946995115997e-09,H2O(9) + HCO(14) <=> CO(13) + H(5) + H2O(9),"{'CO(13)': 1.0, 'H(5)': 1.0, 'H2O(9)': 1.0}","{'H2O(9)': 1.0, 'HCO(14)': 1.0}"
1386,-1.800371752431835e-09,O(6) + OH(7) <=> HO2(11),{'HO2(11)': 1.0},"{'O(6)': 1.0, 'OH(7)': 1.0}"
50,-1.783841435018786e-09,CH2(18) + O2(4) <=> HCO(14) + OH(7),"{'HCO(14)': 1.0, 'OH(7)': 1.0}","{'CH2(18)': 1.0, 'O2(4)': 1.0}"
134,-1.7698871092479918e-09,CH2CO(22) + H(5) <=> CH3(20) + CO(13),"{'CH3(20)': 1.0, 'CO(13)': 1.0}","{'CH2CO(22)': 1.0, 'H(5)': 1.0}"
