grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_C3H4(9074)
0.0,0.10651614916510695,298.0,1.2517652341737917,0.640998575972376,3.010144956327413e-19,0.11546397436428803,4.004452752767826e-14,0.048814594195799095,0.1947228554611232,1.767608080114927e-16,8.277266065106751e-15,0.0,0.0,0.0,0.0,5.4194070471400636e-12,1.1485494936612954e-79,1.5319711617186853e-18,0.0,7.55360862645071e-14,0.0,4.531196625387797e-16,0.0,1.7776631863073268e-14,0.0,0.0,0.0,7.292464846735202e-42,0.0,0.0,1.4601967180442217e-30,0.0,2.5567692651772613e-28,0.0,0.0,0.0,9.382986444099236e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0128716253020254e-14,1.266496101261707e-15,0.0,0.0,9.82782941315955e-16,3.833021280798082e-18,2.7097932568647986e-20,2.6111505144000957e-18,0.0,2.4685509902436174e-13,0.0,0.0,0.0,3.95114149523919e-26,0.0,9.956764057834567e-22,0.0,1.2888118068862316e-31,9.502825227770529e-33,0.0,5.0337608232202996e-21,1.9799392125363966e-15,7.500807047178155e-22,1.2018928749254647e-14,0.0,0.0,7.533284467015558e-19,0.0,0.0,0.0,0.0,1.6306443377377867e-39,1.763684611746287e-23,0.0,0.0,3.1851263440435386e-14,2.4658798193433715e-17,0.0,6.59663986737956e-30,0.0,2.08856333657796e-49,0.0,3.8601568936515758e-31,0.0,0.0,0.0,0.0,0.0,0.0,9.613462474473751e-19,0.0,0.0,3.677693690357696e-20,4.3078609069081e-15,2.5418544176834697e-13,1.011888356986319e-16,7.82093954391014e-14,2.372589423425089e-18,0.0,0.0,0.0,0.0,4.8764001364836296e-14,3.1069033877812065e-20,0.0,6.02717154466551e-68,1.7996361289662335e-21,6.3296204687839576e-34,1.731056157572269e-15,0.0,1.6019265640704923e-36,6.381862929477937e-34,2.0193139488398007e-15,0.0,0.0,1.0636760444060859e-33,2.0422578522811263e-14,6.587071469964569e-50,6.103502758577602e-16,2.503854119683065e-29,1.0612717336908736e-13,0.0,0.0,0.0,2.3725051575465166e-17,7.233486703366299e-19,3.739983322494179e-16,0.0,1.6348805545422504e-19,5.559222358635808e-16,1.5330016512352765e-44
0.016,0.10651614934922292,297.99999999777685,1.2517652320114592,0.6409985758442567,3.010145054819854e-19,0.11546397439419265,5.3047065608711166e-18,0.048814594186155996,0.19472285544294243,1.511955941335669e-14,3.231845559905673e-22,0.0,0.0,2.24308271303846e-22,0.0,1.309102373384822e-10,1.8266429026776914e-78,1.5319711133429433e-18,0.0,2.4816680744854605e-13,0.0,5.226791958879022e-14,0.0,1.3159719761136004e-21,0.0,0.0,3.539268140667286e-32,5.8543204773094554e-40,0.0,0.0,1.1370262160795775e-28,0.0,2.9776149237314253e-26,0.0,0.0,0.0,9.441079861115642e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.012884858957835e-14,1.2665206401159493e-15,0.0,0.0,2.9771249592380283e-22,7.016145553089101e-16,4.721365168371052e-18,2.9371337653065068e-21,5.9450699500381945e-15,6.290327785784607e-14,0.0,0.0,0.0,6.934651054731774e-24,0.0,2.3697510890364585e-19,0.0,4.8944608023916526e-29,3.651672096314687e-30,0.0,1.4876236524369214e-18,5.773524581451176e-13,1.6987882885522143e-19,5.733712202135837e-18,0.0,0.0,1.9187446243844418e-16,0.0,6.828663506784691e-20,0.0,0.0,2.108862322576773e-37,2.23577609346483e-21,0.0,0.0,3.185125795957171e-14,3.644169295651438e-24,0.0,1.2983472237689324e-27,0.0,4.978747348188937e-47,4.295171728457153e-33,1.2523320100963818e-28,0.0,0.0,0.0,0.0,0.0,0.0,2.1386793777429898e-16,0.0,0.0,3.2919692791363777e-20,7.196157285866314e-22,2.4093094852145334e-13,1.321020060230411e-21,7.82093954750238e-14,7.560787996082007e-16,0.0,0.0,0.0,0.0,4.878907923984394e-14,1.0733169184630825e-17,0.0,0.0,4.0547752999049836e-19,1.6150660141455667e-31,1.7310561604390712e-15,0.0,3.3139027379592925e-34,1.5444010284971505e-31,2.0193140965479057e-15,0.0,0.0,2.5450434266870706e-31,2.04225785095955e-14,3.658613365161848e-46,6.103502793835476e-16,4.335490751665618e-27,1.0612717339633122e-13,0.0,0.0,0.0,5.7920304476639804e-15,7.234137156892327e-19,3.739983559316412e-16,0.0,0.0,5.559235801751979e-16,2.333139898756024e-42
0.032,0.10651615381819896,297.9999999997463,1.2517651794932976,0.6409985727709595,3.010145272855928e-19,0.1154639751101221,0.0,0.04881459395467918,0.19472285499879988,8.191440259678926e-14,1.2699711799084646e-29,0.0,0.0,0.0,4.4466337681506427e-23,3.1636954580252264e-09,2.6303133893393896e-78,1.5319705778029003e-18,0.0,4.4893340346502473e-13,0.0,5.292059236878833e-14,0.0,9.783975499815966e-29,0.0,0.0,0.0,0.0,1.410706510011721e-16,0.0,1.0505354895663489e-35,0.0,1.4211098382512883e-27,0.0,0.0,0.0,9.452126569167563e-15,0.0,0.0,0.0,0.0,0.0,1.8666995471086638e-26,0.0,3.014490929629308e-14,1.2697734224263643e-15,0.0,0.0,7.385201323516787e-28,9.864546325399292e-16,6.852012174246561e-18,3.31394203437799e-24,0.0,5.698178402960833e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.894460659435292e-29,3.6516720030129e-30,0.0,1.3475839795399643e-18,5.230142052988509e-13,1.5388702471774886e-19,5.733677230085733e-18,5.728321967207745e-28,0.0,1.918744070794576e-16,0.0,1.4228254360780406e-19,0.0,4.333339521972634e-31,2.60638877882265e-41,2.668662381156164e-28,0.0,0.0,3.1851280749249676e-14,0.0,0.0,1.2865691680626012e-27,0.0,0.0,5.384308708288958e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4650553158565106e-17,0.0,0.0,2.9463798277115303e-20,1.3675512951803504e-28,2.4093125978796016e-13,1.3183498276986839e-21,7.820939778968726e-14,3.1274670189487117e-16,0.0,0.0,0.0,0.0,4.8789079422927985e-14,1.8621881539560908e-18,0.0,0.0,8.94695028775668e-19,3.4190414486438415e-38,1.7310562837773086e-15,0.0,4.040294678762593e-34,1.9540341013649383e-31,2.0193411407036095e-15,0.0,0.0,2.545046152834642e-31,2.0422578597990067e-14,3.387890290032214e-46,6.103510447188973e-16,3.878229486069593e-27,1.0612717401174006e-13,0.0,0.0,0.0,5.792031452116008e-15,7.2341372698715445e-19,3.7399839039010676e-16,0.0,0.0,5.561326536814684e-16,5.141821527786841e-47
0.04,0.10651619489179277,298.0000000565077,1.2517646968021718,0.6409985445412382,3.0101456309503666e-19,0.11546398168378995,0.0,0.04881459182427736,0.19472285091537395,3.84583062511493e-12,1.0215757187197461e-36,0.0,0.0,0.0,9.472228766611923e-23,3.10282434386272e-08,2.6172101811515527e-78,1.5319663235870473e-18,0.0,5.442921512613958e-13,1.0209804022653775e-12,8.127736571013064e-14,0.0,7.672195000102132e-35,0.0,0.0,0.0,0.0,9.351639325319708e-15,0.0,6.501561353069771e-37,0.0,1.1555943912078393e-27,0.0,0.0,0.0,9.496431519768986e-15,0.0,0.0,0.0,0.0,0.0,1.999030256177634e-26,4.5018749505515403e-13,3.0877751715135875e-14,1.4318745924637829e-15,0.0,0.0,1.3625401343942046e-27,1.0552852846568507e-15,2.7343795374980676e-17,7.480590362609788e-27,0.0,5.348534543394158e-14,0.0,0.0,0.0,0.0,1.0400377041287221e-39,0.0,0.0,4.8944593754870417e-29,3.651671045842393e-30,0.0,1.2648949333655755e-18,4.909218184215338e-13,1.4444435751841715e-19,5.7336771514183635e-18,5.730118255290236e-28,0.0,1.9187437389676267e-16,2.2739166125463416e-40,1.7928048545071953e-19,0.0,9.2310700056627e-31,2.338227192303777e-41,0.0,0.0,0.0,3.185298083354287e-14,0.0,0.0,1.4351378189151406e-27,0.0,0.0,5.376426324931928e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.680390576365383e-18,0.0,0.0,2.783124080983982e-20,1.631598919727607e-29,2.4093159940248674e-13,1.318349602407632e-21,7.820955509099665e-14,1.5316585928888892e-16,0.0,0.0,0.0,0.0,4.8789082607815044e-14,0.0,0.0,0.0,1.3589677203852322e-18,9.397777977371075e-40,1.7310654680422208e-15,0.0,5.708082914231652e-34,2.736542678349112e-31,2.021247166201786e-15,0.0,0.0,2.545150707488813e-31,2.0422579838151184e-14,3.2509677806246048e-46,6.104127802610817e-16,3.662146563879674e-27,1.0612717993013267e-13,0.0,0.0,0.0,5.792032224331088e-15,7.23414424321853e-19,3.7400097652005715e-16,0.0,0.0,5.683767168823739e-16,5.337087247486304e-49
0.044,0.106516394078143,298.000000979027,1.2517623559951792,0.6409984078249905,3.010145664850529e-19,0.11546401352430309,0.0,0.048814581451355046,0.19472283110257993,6.575646012182535e-11,9.474602764920066e-41,0.0,0.0,0.0,9.016871229405741e-23,1.6600109358289686e-07,2.4870727656585073e-78,1.5319471019291764e-18,0.0,5.896106158123531e-13,1.9413739499684635e-11,7.043832870964314e-13,0.0,5.910039525934958e-35,0.0,0.0,0.0,0.0,1.983109837356278e-13,0.0,6.087870802386823e-37,0.0,1.0156565383836717e-27,0.0,0.0,5.822884273402306e-14,1.0411129788980836e-14,0.0,0.0,0.0,0.0,0.0,2.0396384140763686e-26,7.828109890835275e-12,4.7780644657960176e-14,5.511531461594499e-15,0.0,0.0,1.2970408238882228e-27,1.076751715810748e-15,6.752165756790438e-16,0.0,0.0,5.1616520604380905e-14,0.0,3.27933402226972e-17,0.0,0.0,0.0,0.0,0.0,4.894453671257448e-29,3.651666802378819e-30,0.0,1.2206963614869922e-18,4.737679081036473e-13,1.3939706038698567e-19,5.733677243650919e-18,5.730109302599115e-28,0.0,1.9187441002719632e-16,3.646454883754918e-40,1.9777946684349475e-19,0.0,8.787291847547981e-31,2.4975925543732606e-40,0.0,0.0,0.0,3.191375955536126e-14,0.0,0.0,4.707093560794367e-27,0.0,0.0,5.24510184416523e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236535367824832e-18,0.0,0.0,2.704988655984974e-20,1.631604592108569e-29,2.4093182043784776e-13,1.3183498989716958e-21,7.821593351124076e-14,9.648179513220393e-17,0.0,0.0,0.0,0.0,4.87891139008989e-14,0.0,0.0,0.0,6.935492329946937e-18,8.797084443707931e-40,1.7314430352309872e-15,0.0,3.736908496879938e-33,1.5195488746373297e-30,2.088921640946872e-15,0.0,0.0,2.5473170135005516e-31,2.042259412261254e-14,3.1829934583289063e-46,6.129273830147771e-16,3.558737617439579e-27,1.0612722033014206e-13,0.0,0.0,0.0,5.7920543400384135e-15,7.234470554217434e-19,3.741036228105576e-16,0.0,0.0,9.299775917462975e-16,9.593781460154297e-49
0.048,0.10651775193359368,298.00002128131155,1.2517463989190991,0.6409974796787712,3.010144988812286e-19,0.11546422978513422,0.0,0.04881450994794587,0.19472269579510326,1.4340475585329591e-09,1.710943355043946e-42,0.0,0.0,0.0,8.619907552764476e-23,1.082723059826436e-06,2.250438758517963e-78,1.5318232832749463e-18,0.0,6.3262932571503e-13,4.3295466063373276e-10,1.9168205341357116e-11,0.0,6.109363977776566e-35,0.0,1.747619064897511e-15,5.128910910171333e-33,0.0,5.4301238750254945e-12,5.980887894019386e-47,5.593448749618505e-37,6.98891149972116e-16,8.342751367727943e-28,0.0,0.0,1.7696434360665377e-12,3.883984271781934e-14,0.0,5.829469181202213e-30,0.0,0.0,0.0,2.073433160332958e-26,1.7110201572075275e-10,5.732352660867118e-13,1.4377116890232926e-13,1.5615655454267773e-13,2.8665050492278613e-12,1.2399395259118524e-27,1.0947946716574503e-15,2.956090178280432e-14,0.0,0.0,4.9643749875247476e-14,0.0,4.29186466596719e-15,1.81307719971131e-17,0.0,1.3254324567900526e-39,0.0,8.840410058754085e-50,4.894426096648623e-29,3.651646501520841e-30,0.0,1.1740280646656772e-18,4.55655106383853e-13,1.34067478549085e-19,5.733688128297322e-18,5.730058336912361e-28,0.0,1.9187531864420264e-16,3.6454647494758375e-40,2.1627942961441645e-19,0.0,8.40034903339904e-31,6.362445729870832e-39,0.0,0.0,0.0,3.4831952966192296e-14,0.0,0.0,9.127023762485126e-26,0.0,0.0,5.02147759514994e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9106800609525526e-18,0.0,0.0,2.6995617107752955e-20,1.6319931476016363e-29,2.409325702103356e-13,1.3183572075720138e-21,7.85702480530801e-14,5.936463131973011e-17,0.0,0.0,0.0,0.0,4.8790360602124495e-14,0.0,0.0,0.0,2.712368569493724e-16,8.080257494554283e-40,1.7524564494553642e-15,0.0,0.0,0.0,5.315408766093026e-15,0.0,0.0,2.6079803423882866e-31,2.0423089945985938e-14,3.128536455359938e-46,7.503893262360571e-16,3.5524010949048576e-27,1.0612814950261345e-13,0.0,0.0,0.0,5.793334240434923e-15,7.25600614586688e-19,3.7960016290810843e-16,0.0,0.0,1.5289387126923646e-14,1.6628418440069343e-47
0.049,0.10651933747601881,298.0000929932886,1.251727766651697,0.6409964087941806,3.0101433325112586e-19,0.11546447961144204,0.0,0.04881442407448346,0.1947225368571838,6.2863325008847e-09,9.558524026430533e-41,1.7653514706169938e-54,0.0,0.0,9.415125590783776e-23,2.1415322930345533e-06,2.1685389105441973e-78,1.5316875250450594e-18,0.0,6.46803920479261e-13,1.9245439494220084e-09,1.0638665293917488e-10,0.0,8.929466496680094e-35,0.0,1.0621565915513936e-14,4.1795787665132406e-32,0.0,2.8554402606723714e-11,3.4196828995753517e-46,5.478440306711041e-37,8.2532084232309e-15,6.3825942772163415e-28,0.0,0.0,9.62669838872955e-12,1.7988881900934644e-13,0.0,2.2698418816444005e-28,0.0,0.0,0.0,2.1491897653326252e-26,7.509833463495488e-10,3.1747896914316984e-12,8.888628259733605e-13,1.1599468049370369e-12,1.594195810511731e-11,1.35422191040056e-27,1.1350321342931959e-15,2.338058331032739e-13,0.0,0.0,4.914316780219643e-14,5.026298254692959e-13,3.631810289530585e-14,1.730820827853322e-16,0.0,1.3025460070615601e-39,0.0,1.7076611925868108e-49,4.8944326481733956e-29,3.6516523505395936e-30,0.0,1.1621731555372587e-18,4.510528184074399e-13,1.327134668392702e-19,5.73373596837897e-18,5.730034907341734e-28,0.0,1.9188173486460285e-16,3.6452990714848446e-40,2.2091895816261647e-19,0.0,9.175214616463567e-31,3.653235302976458e-38,0.0,0.0,0.0,5.699989998092997e-14,0.0,0.0,4.6698943714148725e-25,0.0,0.0,4.961710746020376e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6587180643578438e-18,0.0,0.0,3.366840052664697e-20,1.635530154732902e-29,2.4093467654139093e-13,1.3184050586650616e-21,8.168631457087068e-14,5.453568942135141e-17,0.0,0.0,0.0,0.0,4.8802600144968814e-14,0.0,0.0,0.0,2.8089255212602866e-15,7.913715757789125e-40,1.9373469605363457e-15,0.0,0.0,0.0,2.965366122948517e-14,0.0,0.0,2.879232769279346e-31,2.04267499231479e-14,3.24003499245648e-46,1.9374630485915606e-15,4.4436113362495834e-27,1.0613495658086275e-13,0.0,0.0,0.0,5.805723564704782e-15,7.4812414010969e-19,4.2613499640909073e-16,0.0,0.0,1.0573289000029736e-13,1.1040884442280205e-46
0.05,0.106523316424783,298.00054126668294,1.2516810110606729,0.6409937920492562,3.0101372081940693e-19,0.11546509160871347,0.0,0.048814196910264576,0.194722132071134,3.6729611202839156e-08,4.5141034506400606e-41,0.0,0.0,0.0,1.666838053796459e-22,4.733536296334295e-06,2.0716424088234658e-78,1.531369015941868e-18,0.0,6.904725928611035e-13,1.1427590574580234e-08,8.179238333917662e-10,5.34254228587829e-28,4.685602655588871e-34,0.0,8.324007840290286e-14,0.0,0.0,2.0596398610878704e-10,2.4540533508857212e-45,5.447547024340376e-37,7.108721057764231e-14,0.0,2.0787101694261148e-13,0.0,7.205620434415578e-11,1.384313433772698e-12,0.0,0.0,0.0,0.0,3.3308404698290916e-16,3.023444247192179e-26,4.394162438251546e-09,2.5344716431716485e-11,7.760573054582096e-12,1.0846670824131226e-11,1.1727594323389315e-10,2.3965186311710942e-27,1.5975212898572433e-15,2.6667602626296953e-12,0.0,0.0,4.862682960927308e-14,7.288679292015844e-12,4.4066022374019104e-13,2.2364517052277134e-15,0.0,1.261514399545084e-38,0.0,3.778396419363552e-49,4.894665684466916e-29,3.651832222695143e-30,0.0,1.149915936064123e-18,4.462877936223883e-13,1.313137529592611e-19,5.7340523631355544e-18,5.7301776941629435e-28,0.0,1.919840976894595e-16,3.6455678948389258e-40,2.2592535193538305e-19,0.0,1.6243338074095218e-30,4.647520632333584e-37,1.763922972490232e-34,0.0,0.0,3.397439335041832e-13,0.0,9.912849195908328e-14,3.3018019680906505e-24,0.0,0.0,4.9124602278638234e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5647351599388252e-17,0.0,0.0,1.4065091328470592e-19,1.692239507997633e-29,2.4095939201396284e-13,1.3191319441456704e-21,1.274167415818022e-13,1.0871917048626775e-16,2.816153269077632e-18,0.0,0.0,0.0,4.9014668727470995e-14,0.0,0.0,0.0,4.236702811088695e-14,7.870217451438103e-40,4.651492465346478e-15,0.0,0.0,0.0,3.380043051426629e-13,0.0,3.698100669725833e-20,4.983797737516663e-31,2.0474415511290446e-14,3.658377077245659e-46,1.905184913030712e-14,1.8733888321893414e-26,1.0623280760086585e-13,0.0,0.0,0.0,6.0063051346141536e-15,1.1387454939596706e-18,1.0844725330174726e-15,1.430327334247632e-15,9.414389530765531e-17,1.0714724385163704e-12,1.0793682978372674e-45
0.051000000000000004,0.10653366732283825,298.0033428999596,1.2515593966984164,0.6409874083566501,3.0101204052697596e-19,0.11546659324922637,0.0,0.04881354326450235,0.19472103883120487,2.2773629312295265e-07,2.682999487856763e-41,4.407583280675404e-53,0.0,0.0,7.403492643586386e-22,1.107908668364242e-05,1.9631777951025616e-78,1.5306233009973557e-18,0.0,9.94212687037992e-13,7.197411375864418e-08,6.62286703833676e-09,1.1021266039372227e-26,1.278788165036035e-32,0.0,6.775172028702103e-13,0.0,0.0,1.5670889677531775e-09,1.8681753185549374e-44,6.096854999016585e-37,5.937303207886855e-13,0.0,2.9382471885557207e-12,0.0,5.681133024387696e-10,1.1669260828724304e-11,0.0,0.0,0.0,0.0,8.906542286774685e-15,1.3672226538397867e-25,2.728356389086425e-08,2.142772719070119e-10,7.113739724288655e-11,1.0432716500984184e-10,9.026288683983444e-10,1.0638849562473618e-26,7.231466502532623e-15,3.164809503704277e-11,0.0,0.0,4.8026899709242715e-14,8.573371543014575e-11,5.545830658427432e-12,2.9713365633837785e-14,0.0,0.0,0.0,1.061992812763961e-48,4.8965926244932256e-29,3.653307444329731e-30,0.0,1.1355778370282727e-18,4.4067470113818297e-13,1.296799995489763e-19,5.73607246907557e-18,5.731778128748001e-28,0.0,1.9369506962439852e-16,3.6485200114959137e-40,2.4063044868208543e-19,0.0,7.214686473556932e-30,1.5629493416286445e-35,2.1102893169733427e-32,0.0,0.0,3.946124444339784e-12,0.0,5.078329317093925e-12,2.462181370524422e-23,6.7735419237957055e-21,0.0,4.92175128560548e-32,0.0,0.0,0.0,0.0,2.1354335432159414e-19,0.0,0.0,4.810042755486044e-16,0.0,1.301855175233386e-26,1.813448649885755e-18,2.609434582963119e-29,2.413115587033341e-13,1.331036691044985e-21,7.985797605939179e-13,1.1886323849028572e-15,6.644012377424614e-17,0.0,0.0,0.0,5.2713818184000504e-14,0.0,9.390377969247704e-14,7.734969780151657e-68,6.565034853327493e-13,8.821106251537497e-40,4.4495862324966163e-14,0.0,0.0,0.0,4.244700806427466e-12,2.1563638322219903e-16,8.657385205076559e-19,2.1328991131839268e-30,2.1099554084473426e-14,4.972578576981897e-46,2.658001710688121e-13,2.4234822448744255e-25,1.0767063276373833e-13,0.0,0.0,0.0,9.256109310823979e-15,7.913714156852231e-18,1.03983975216103e-14,2.758554365651324e-14,1.8552604703135663e-15,1.1383717406436216e-11,1.1273391659711178e-44
0.052,0.10656282307927104,298.02084419523,1.2512169679853586,0.64097187493727,3.0100779697916657e-19,0.1154702957948438,0.0,0.048811381417901666,0.19471769522613325,1.4261883260445018e-06,5.091947931141315e-41,3.1811526335120092e-49,0.0,0.0,5.201826810790976e-21,2.6614723215144804e-05,1.8531805528753846e-78,1.5288827037515372e-18,0.0,3.57833032865909e-12,4.577488264205208e-07,5.3982885027964344e-08,9.320876668284353e-26,6.737089084544897e-31,0.0,5.540953872515815e-12,1.2520888800701685e-28,0.0,1.2010314403967108e-08,1.4389077793653994e-43,1.4381983779305723e-36,4.941114967322459e-12,0.0,2.8456397352577276e-11,0.0,4.509852746932241e-09,9.949843735884959e-11,0.0,0.0,0.0,0.0,8.973393975306636e-14,1.4336261793107956e-24,1.710987411300634e-07,1.8244136459341664e-09,6.556685817959541e-10,1.0064708604552821e-09,6.9894316160678684e-09,7.474945172727508e-26,7.59274843713971e-14,3.7687678502468746e-10,0.0,0.0,4.687373642661647e-14,9.925580666854484e-10,7.000594326538829e-11,3.956170433427759e-13,0.0,1.0013444852089988e-37,0.0,7.756797015144384e-48,4.909799689007307e-29,3.663396404385874e-30,0.0,1.1077150703287091e-18,4.2956877477086754e-13,1.2652846191495798e-19,5.7488098538931816e-18,5.743520640982627e-28,0.0,2.2249829504782817e-16,3.6686731185966657e-40,5.122583983883723e-19,0.0,5.070531098345595e-29,8.401141651489741e-34,1.1435919991759053e-30,0.0,0.0,4.9946181300876574e-11,0.0,4.9532861402095584e-11,1.8255269507003755e-22,6.556173446987069e-20,0.0,5.26241564133134e-32,0.0,0.0,0.0,3.318018520244942e-17,1.233683162503574e-17,0.0,0.0,9.379646562803477e-15,0.0,1.3499115484714454e-25,2.79290264656672e-17,1.75149887646386e-28,2.465152126132931e-13,1.5300337147209657e-21,1.0649131490002507e-11,1.9634605805306725e-14,1.1144131135742319e-15,0.0,0.0,0.0,1.1730053741396625e-13,2.687380436341579e-17,1.949675760313728e-12,2.559378909948489e-66,1.0169542311811418e-11,2.0929294984621496e-39,6.294336864614884e-13,9.970217525598053e-15,0.0,0.0,5.374214975134479e-11,1.8736947820866215e-14,1.5086782559257153e-17,1.4861685217450636e-29,2.9309211166471386e-14,2.4544356860462892e-45,3.8233784297630034e-12,3.742963990774418e-24,1.28876853703455e-13,0.0,0.0,0.0,6.191577236121663e-14,1.254219801893631e-16,1.4217117488361665e-13,4.52047811510329e-13,3.086209349268482e-14,1.215016290244741e-10,1.2700465813746011e-43
