grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_C2H3F2(66),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_CF2O2(848),Y_S(961),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3687),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(6705),Y_S(6716),Y_S(7175),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074),Y_S(11400),Y_S(11401),Y_S(11405)
0.0,0.11679927194429895,298.0,1.2318238140537945,0.6535759895269374,0.0,0.09810796795220544,0.0,0.04977241432464083,0.19854362819443086,0.0,0.0,0.0,2.659596503925014e-16,0.0,6.447199949365473e-14,1.3118254600741653e-12,4.543404952863908e-87,0.0,1.2868336399128616e-16,0.0,1.3710399926001282e-16,0.0,1.9703098641714972e-22,0.0,9.529427429032067e-14,0.0,3.920806618855853e-33,0.0,0.0,5.3275519395727517e-14,0.0,0.0,6.572862123089298e-28,5.061300208372407e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192137661314837e-16,3.229730594164901e-15,3.717401187719766e-17,2.6212311355960795e-15,0.0,8.785550298942697e-15,0.0,1.6841981902410945e-18,4.780790780531753e-19,3.483577373707327e-16,0.0,1.77258054983837e-35,5.1103993191309793e-14,0.0,4.300773747367945e-18,0.0,0.0,1.2633303254365169e-18,0.0,0.0,0.0,2.7365416737344463e-14,8.437382683484469e-32,6.221063330616157e-33,0.0,5.565375650992898e-23,2.1890773649725927e-17,9.93638034974769e-24,0.0,6.710787295297036e-30,8.659104441170866e-16,0.0,9.160883284495794e-30,0.0,0.0,2.0450344936744875e-29,0.0,0.0,6.767039566973218e-27,0.0,0.0,0.0,0.0,2.227799825479336e-15,0.0,1.3026782199301719e-20,0.0,1.6506309100129336e-35,0.0,0.0,0.0,0.0,0.0,7.92291630178143e-15,0.0,3.5232544425545326e-20,0.0,0.0,0.0,2.7093906829448163e-16,0.0,1.6678713382177495e-14,0.0,0.0,0.0,7.115315291387435e-20,1.6800420907933105e-18,8.753997604772882e-31,3.1058347863066435e-14,0.0,0.0,3.7709006923251094e-20,1.3715980591599573e-14,3.370650132424302e-66,1.383826676366928e-16,0.0,0.0,2.418041205950174e-14,0.0,0.0,0.0,1.242140362244422e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.422622172929196e-17,1.029213145289367e-14,0.0,0.0,1.537857167537574e-15,0.0,8.233364543357501e-19,0.0,0.0,5.16136152852825e-14,0.0,4.988082795030696e-36,1.2276071856172434e-19,4.47396729914828e-19,5.621235494838197e-18
0.016,0.11679927199701216,297.99999999950893,1.2318238134981592,0.6535759894948117,0.0,0.09810796795845826,0.0,0.049772414322052545,0.19854362818931268,0.0,0.0,0.0,2.6595965077300214e-16,0.0,8.134575849131801e-19,3.450640334640108e-11,1.1249732688848568e-85,0.0,1.251278602683491e-14,0.0,1.3292442557318562e-14,0.0,2.46967147775809e-20,0.0,1.8128286083780118e-18,0.0,2.5978600464604027e-31,0.0,0.0,4.570046944689401e-21,0.0,0.0,8.592505374624216e-26,3.6270214508025856e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192096210598747e-16,1.3035639947039915e-22,3.4588958573312704e-15,2.621231942212052e-15,0.0,8.785550373104766e-15,0.0,1.0351380493460397e-23,2.1212258013829047e-17,6.650156414970345e-14,0.0,9.790786277045934e-34,6.350462484633515e-17,0.0,9.09979654403217e-16,0.0,0.0,1.2633303263852313e-18,0.0,0.0,0.0,2.291265445285603e-22,3.4773317203517446e-29,2.5943767385976947e-30,0.0,1.7994300783948972e-20,6.98364269819276e-15,2.4658258816462424e-21,5.8461170225222795e-18,2.2486398474977704e-27,2.6572049879894384e-13,0.0,2.3827501871686134e-27,0.0,0.0,6.628548100546454e-27,0.0,0.0,1.5779483370626372e-24,0.0,0.0,0.0,5.0801775742661304e-24,3.0889192254826586e-13,0.0,3.2478910174067933e-18,0.0,2.4811562467651327e-32,0.0,0.0,0.0,6.500465646430525e-19,0.0,7.922188332644162e-15,0.0,8.500159184769565e-18,0.0,0.0,0.0,4.186915738354241e-22,0.0,3.0525721672590033e-21,0.0,0.0,0.0,2.4549351610646667e-17,1.6816638111712675e-18,2.7782736465301954e-28,3.1057848432047984e-14,0.0,0.0,1.392926886478329e-17,1.3715980592412125e-14,9.23473924694124e-64,1.3825992696845915e-16,0.0,0.0,2.4180412061305687e-14,0.0,0.0,0.0,3.3431830730598334e-16,0.0,0.0,0.0,7.526308181146236e-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.241405800772255e-14,1.0292131435528035e-14,0.0,0.0,1.7635472710116922e-21,0.0,2.463442166248019e-16,0.0,0.0,5.161361389016776e-14,0.0,0.0,4.767254082614665e-17,2.0193975982067247e-16,1.6368673404315888e-15
0.032,0.11679927338899998,297.9999999994787,1.231823798817555,0.6535759886500848,0.0,0.09810796812876797,1.4896296805697841e-18,0.04977241425403234,0.19854362805838038,6.645444867027769e-15,0.0,0.0,2.659596520452387e-16,0.0,1.3438724376724866e-23,9.077661400004403e-10,1.4153593679010122e-84,0.0,6.51834116524368e-14,0.0,1.4113498327609037e-14,0.0,8.36900989634471e-27,0.0,5.0247808419167905e-20,0.0,0.0,0.0,0.0,3.931373937718577e-28,0.0,0.0,1.1629002957675896e-26,3.628057999409276e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192096237326748e-16,5.887882857326993e-28,3.7929719091833675e-15,2.6213385874588565e-15,0.0,8.78556141022074e-15,0.0,1.648318014933907e-28,3.0854684563644215e-17,6.658382672792936e-14,0.0,7.028849084998578e-34,7.909689817625011e-20,0.0,1.3095902933617031e-15,0.0,0.0,1.2633305007097863e-18,0.0,0.0,6.16093077056224e-20,1.9208511731478303e-30,3.477331691124886e-29,2.5943767179287336e-30,0.0,2.5896361420284142e-20,1.0050612264890911e-14,3.548674506051299e-21,5.846181124167951e-18,4.885612121636459e-28,3.033180110927443e-13,0.0,1.999801156419713e-34,0.0,0.0,1.095102144038114e-31,0.0,0.0,1.5786924622058084e-24,0.0,0.0,0.0,1.9561394241258092e-25,3.1743600552273116e-13,0.0,2.205828940823876e-19,0.0,4.841991449200601e-32,0.0,0.0,0.0,1.3779501513220125e-18,0.0,7.921460445207989e-15,0.0,1.7150039246349348e-18,0.0,0.0,0.0,7.188260684464587e-28,0.0,6.225864627740562e-28,0.0,0.0,0.0,1.1551823914204182e-17,1.6830754558035414e-18,4.745531549236426e-28,3.1057848470873824e-14,0.0,0.0,1.4454528470470168e-17,1.3715980615605224e-14,2.0498548195990567e-68,1.3807673104412766e-16,0.0,0.0,2.4180412108543798e-14,0.0,0.0,0.0,3.3431885316406063e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414062135671284e-14,1.029213145328021e-14,0.0,0.0,1.6893713814071e-23,0.0,5.606673426643232e-17,0.0,0.0,5.1613612802408676e-14,0.0,0.0,1.1615757074531673e-17,2.0183021270006442e-16,1.8449509089856522e-15
0.04,0.11679928729617346,298.0000000014531,1.231823652145501,0.6535759802113421,0.0,0.09810796983059218,1.9486972200766586e-18,0.04977241357438571,0.198543626750663,1.273334479812169e-13,0.0,0.0,2.659596570565053e-16,8.731422291155258e-29,0.0,9.631833496705356e-09,6.666407127537009e-84,0.0,8.582713733690844e-14,0.0,4.337700492733786e-14,0.0,0.0,0.0,6.5678132123008e-20,0.0,0.0,0.0,0.0,6.840447035668859e-35,1.646926480589646e-36,0.0,1.1169471265909736e-26,3.628177603002966e-15,1.8025118754081632e-33,0.0,0.0,0.0,0.0,0.0,0.0,6.19209693863689e-16,6.320036349380883e-28,1.5501172288955888e-14,2.626636594638484e-15,0.0,8.786189840864463e-15,0.0,0.0,3.341960807544832e-17,6.658396169957006e-14,0.0,4.279178229867397e-34,1.985961807127489e-22,0.0,1.5708671222255505e-15,0.0,0.0,1.2633444496138525e-18,4.743081815996202e-31,2.14348420427011e-41,8.059666996317618e-20,3.236294724705623e-38,3.477331398860056e-29,2.5943764998940074e-30,0.0,3.106295069020143e-20,1.2055805014536194e-14,4.256671311967994e-21,5.846181087136292e-18,4.885243531107512e-28,3.2808190137770777e-13,0.0,3.340639108109798e-40,0.0,0.0,0.0,0.0,3.8294718749777484e-33,1.57869248262923e-24,0.0,0.0,0.0,2.5462514135491883e-25,3.230230244470296e-13,0.0,2.807773308355602e-20,0.0,5.894289554998001e-32,0.0,0.0,0.0,1.7418852124498544e-18,0.0,7.921096670018705e-15,0.0,5.763985174775757e-19,0.0,0.0,0.0,1.2940914452121956e-29,0.0,6.292721050686301e-29,0.0,0.0,0.0,6.208720310168668e-18,1.6837813057701857e-18,5.747223030510807e-28,3.1057848865035054e-14,0.0,0.0,1.479817846495411e-17,1.3715980852569989e-14,1.751589211083991e-68,1.379707041105154e-16,2.030189852580431e-39,0.0,2.4180412580554755e-14,0.0,0.0,0.0,3.3431885160691695e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.241406251619569e-14,1.0292131631907193e-14,0.0,0.0,7.192974389985907e-24,0.0,3.4329139123625216e-17,0.0,0.0,5.161362903566542e-14,0.0,0.0,4.5665561080876365e-18,2.0121812577043623e-16,1.8704597387898602e-15
0.044,0.1167993602505594,298.00000003655265,1.2318228827324313,0.6535759359506215,0.0,0.09810797875691293,2.1534727684862176e-18,0.049772410007207675,0.19854361989061056,2.2273747673260095e-12,0.0,0.0,2.659596838097669e-16,5.579655592188084e-28,0.0,5.539059760220774e-08,1.6630711387899533e-83,0.0,9.485757258211501e-14,0.0,5.72204646213414e-13,0.0,0.0,2.197192071121913e-37,7.257589310051164e-20,0.0,0.0,0.0,2.00845504659093e-15,2.407059628879006e-41,1.6028912119327566e-36,0.0,1.0852287719396918e-26,3.6296771337025604e-15,1.942950562547167e-33,0.0,0.0,0.0,0.0,0.0,1.778818930250782e-33,6.192115337918337e-16,6.480870926687007e-28,2.236033979600905e-13,2.7595602268096033e-15,0.0,8.804247075176032e-15,0.0,0.0,3.4270402085067535e-17,6.658487690033696e-14,0.0,2.6372185851786005e-34,1.0038159040409433e-24,4.685336697199164e-16,1.7153773235632403e-15,0.0,0.0,1.26391087828821e-18,5.435874377147028e-31,3.3377042181389524e-41,8.906615471898053e-20,1.0958116488637335e-45,3.4773298798885534e-29,2.594375366949596e-30,0.0,3.392053515263275e-20,1.3164857548861395e-14,4.648256139876006e-21,5.846180911350176e-18,4.885240762829615e-28,3.417792686651053e-13,0.0,3.0339780113082823e-40,0.0,0.0,0.0,0.0,3.8525418178582886e-33,1.5786925934846199e-24,0.0,0.0,0.0,2.810150903227871e-25,3.26119288843965e-13,0.0,6.3231859660013826e-21,3.92360604366827e-48,6.360482170172097e-32,0.0,0.0,0.0,1.923848610494912e-18,0.0,7.92091554101338e-15,0.0,2.903395394092912e-19,0.0,0.0,0.0,1.2241926387790209e-29,0.0,6.292705061199314e-29,0.0,0.0,0.0,4.162721598502874e-18,1.684134488895388e-18,6.250042715397639e-28,3.105785093832619e-14,0.0,0.0,1.4988221580720192e-17,1.3715982345663175e-14,1.7583545456457605e-68,1.3791698527912665e-16,1.9757856412914684e-39,0.0,2.4180415056498558e-14,0.0,0.0,0.0,3.34318894797348e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414064513815144e-14,1.0292132574832592e-14,0.0,0.0,4.471534171507354e-24,0.0,3.0202984388538044e-17,0.0,0.0,5.161415732685552e-14,0.0,0.0,2.5854928683127225e-18,2.0083443899529133e-16,1.8757498617092164e-15
0.048,0.11679989500013342,298.0000008700496,1.2318172430284846,0.6535756116871219,0.0,0.09810804415758219,2.386868594773041e-18,0.04977238382061452,0.1985435696041994,5.2554106158999676e-11,0.0,0.0,2.659599381260246e-16,4.381403382759153e-27,0.0,3.9065783952598684e-07,3.9005185953841745e-83,0.0,1.0514944485449513e-13,0.0,1.349060436038211e-11,2.365681707617976e-13,0.0,7.01556220459728e-37,8.043801537550096e-20,0.0,0.0,9.687998126948717e-45,7.222238202860882e-14,8.832667459817941e-48,1.5610469796190376e-36,0.0,1.0551025753428561e-26,3.685400853813923e-15,2.0823861714729142e-33,2.028503291581082e-15,0.0,0.0,0.0,0.0,2.082655770121074e-33,6.192801197814538e-16,6.585616794855111e-28,5.224748475230994e-12,7.250510542380954e-15,7.435111506564738e-16,9.50212832255798e-15,0.0,0.0,3.482666975975031e-17,6.662890299709034e-14,0.0,2.5778373230522104e-35,5.1514983909728156e-27,1.114775622530139e-15,1.876062408940076e-15,0.0,0.0,1.2947996817147939e-18,7.6119944792542585e-31,3.435235510259202e-42,9.871890779067383e-20,1.3696723532308266e-49,3.4773190763876056e-29,2.594367314581888e-30,0.0,3.709784146954871e-20,1.4397996079783516e-14,5.083649634695837e-21,5.846180053057331e-18,4.885220953771347e-28,3.5699958125757564e-13,0.0,3.034321842075662e-40,0.0,0.0,0.0,0.0,3.853366123380689e-33,1.5786934955310583e-24,0.0,0.0,0.0,3.110933858791369e-25,3.29711359031474e-13,4.570802500087854e-29,1.3889909296978711e-21,9.335644345877405e-48,6.773316883260356e-32,0.0,0.0,0.0,2.1058086344973763e-18,0.0,7.92073962717098e-15,0.0,1.4611278494306887e-19,0.0,0.0,0.0,1.1589632185184699e-29,0.0,6.292740140961273e-29,0.0,0.0,0.0,2.712299503100321e-18,1.6844969142724483e-18,6.762198456299157e-28,3.105786613335009e-14,0.0,0.0,1.5199267564006114e-17,1.3716009447365472e-14,1.763070127337045e-68,1.3803942298161292e-16,1.9240757592112113e-39,0.0,2.418043320400221e-14,0.0,0.0,0.0,3.343202136818419e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414079505673835e-14,1.0292139489687875e-14,0.0,0.0,2.9390466982949925e-24,0.0,2.8588353303018253e-17,0.0,0.0,5.1636877717026305e-14,0.0,0.0,1.469219993546159e-18,2.004079375830398e-16,1.878125972169393e-15
0.049,0.11680055816025378,298.0000040400727,1.2318102491226999,0.6535752101484386,0.0,0.09810812515829027,2.6700722385691927e-18,0.049772351215519116,0.1985435072292866,2.458256963812244e-10,1.809757622654382e-42,1.0870891145333937e-55,2.6596079524423434e-16,1.0133747820219321e-26,0.0,8.059110359156969e-07,4.620849614556789e-83,0.0,1.1759965668777267e-13,0.0,6.40104678764534e-11,1.498845561926611e-12,0.0,1.1267039172272217e-36,8.99798394089368e-20,0.0,0.0,6.308039332704475e-44,4.089967765602134e-13,4.1641981723147385e-48,1.6294859295643506e-36,2.631814894486111e-17,1.0999071845626742e-26,4.015776612888467e-15,3.174880686772219e-33,9.739749032554761e-14,0.0,0.0,0.0,0.0,3.573568294443574e-33,6.196896655084343e-16,6.618586998134451e-28,2.4473062671662192e-11,3.137954496813313e-14,5.249358990749873e-15,1.378198046486252e-14,2.411614914716099e-16,0.0,3.5003978999817754e-17,6.696644835050727e-14,0.0,7.008951569321287e-34,1.1355253602538466e-28,1.312972264796643e-15,1.9235996755193292e-15,0.0,0.0,1.5609247615899232e-18,1.0722105004816628e-30,6.585143918583271e-42,1.1042956049899915e-19,2.9443762871279816e-49,3.4773069037159905e-29,2.5943582629452983e-30,0.0,3.8037674677719505e-20,1.4762740339230397e-14,5.212432757322602e-21,5.8461805835953005e-18,4.8851977624128155e-28,3.6144166948512156e-13,0.0,3.0344202969124538e-40,0.0,0.0,0.0,0.0,3.854095920095873e-33,1.5786949456429783e-24,0.0,0.0,0.0,3.4754742264808427e-25,3.3155087062851206e-13,2.7971313096236076e-28,7.378741673497821e-22,1.0995448220074794e-47,6.902833412243634e-32,0.0,0.0,0.0,2.1513012476763355e-18,0.0,7.92070159625832e-15,0.0,1.192721681118134e-19,1.7592194257637596e-38,0.0,0.0,1.1496248895582453e-29,0.0,6.292787094230906e-29,0.0,0.0,0.0,2.3902522300854404e-18,1.6846769429452073e-18,6.905670411956425e-28,3.1057884958213626e-14,0.0,0.0,1.526031566742265e-17,1.3716206705242956e-14,1.7640840319758985e-68,1.3970590005687808e-16,2.0083132933484334e-39,0.0,2.418045578229966e-14,0.0,0.0,0.0,3.3433227831423845e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414101780281714e-14,1.0292148103423758e-14,0.0,0.0,2.619422633110617e-24,0.0,2.829789788749382e-17,0.0,0.0,5.1792170388619135e-14,0.0,0.0,1.2363689791131414e-18,2.0029918219713603e-16,1.8785876167057063e-15
0.05,0.11680227534539116,298.00002523171605,1.231792139490739,0.6535741739095574,0.0,0.09810833427064045,4.3770891554885516e-18,0.04977226608367071,0.198543345617144,1.5493914072069172e-09,1.8453922398289303e-42,1.2892057108139516e-55,2.6597109888056127e-16,3.8876611686243837e-26,0.0,1.8779863041515365e-06,5.39550046090683e-83,0.0,1.9262057631676513e-13,0.0,4.104327824102859e-10,1.2602886457375226e-11,0.0,4.438228492046159e-36,1.4749572963304337e-19,0.0,0.0,8.189379436841247e-43,3.1955694908901937e-12,3.6917692137552267e-47,2.4268472662208814e-36,1.2701512262486297e-15,1.6424222796373814e-26,7.348126244063593e-15,1.9514670980625527e-32,9.14700893518436e-13,1.029127858712495e-14,0.0,0.0,0.0,2.5107354938020717e-32,6.238548812491212e-16,6.782134752790005e-28,1.5455501060218106e-10,2.532836084227016e-13,5.009562312860072e-14,5.83451046190308e-14,8.127085220625206e-15,0.0,3.5876702508347146e-17,7.131221130770649e-14,2.8773841588756886e-14,3.1004245276656514e-32,8.048343702299066e-29,1.7325661306691339e-15,2.0165976691182556e-15,1.2661926719436958e-14,2.0697126469801498e-16,5.38920060744758e-18,2.6967493437916165e-30,5.37818458131279e-42,1.8101573970665154e-19,1.0137779769402849e-48,3.4772828291652565e-29,2.5943405031091315e-30,0.0,3.9876128812647905e-20,1.5476167084526802e-14,5.4643484228172114e-21,5.8461916495596e-18,4.885146027697263e-28,3.697037814754771e-13,0.0,3.034590417749304e-40,0.0,0.0,0.0,0.0,3.8597621803409464e-33,1.5787007142724275e-24,0.0,0.0,0.0,5.672171604707713e-25,3.409986450780528e-13,2.3226001296954327e-27,6.3007197102756195e-22,1.4509271834651503e-47,7.315085029318203e-32,0.0,0.0,0.0,2.1968247234214726e-18,0.0,7.920675250895123e-15,0.0,1.3442530217530934e-19,5.928487462198806e-37,0.0,0.0,1.2085903123440908e-29,0.0,6.292940437101836e-29,0.0,0.0,0.0,2.1659472292998194e-18,1.6863787806930014e-18,7.154610576521114e-28,3.105793356848541e-14,0.0,0.0,1.5371190082077756e-17,1.3719393264254844e-14,1.765463363249773e-68,1.6772292439511295e-16,2.9902443702197285e-39,0.0,2.418051626653042e-14,0.0,3.3707870918437974e-34,0.0,3.3454291234613655e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414221265957073e-14,1.0292170464549328e-14,0.0,0.0,2.3516912777396645e-24,0.0,2.808604403422782e-17,0.0,0.0,5.3584667227848143e-14,0.0,0.0,1.0413043557223703e-18,2.0018887963208021e-16,1.8789806819492783e-15
0.051000000000000004,0.11680674274690576,298.0001668868481,1.2317450282574793,0.6535715009169396,0.0,0.09810887413204335,1.5902091190464682e-17,0.04977204039871157,0.19854292438369878,1.0341751921568378e-08,2.568605782742969e-42,0.0,2.661221299856013e-16,3.508193716080872e-25,0.0,4.645856375156944e-06,6.160142648790347e-83,0.0,6.992346456062714e-13,0.0,2.7859414231849226e-09,1.1028471079627692e-10,1.1084380715654055e-29,7.199515103944696e-35,5.3581905250740195e-19,0.0,2.13193812964732e-32,2.46697369584551e-41,2.625287461491155e-11,3.0816194781686578e-46,1.8568629827951376e-35,1.2427058294193277e-14,1.3090555224308985e-25,4.0960594389692816e-14,5.566329720351312e-31,7.919023795406277e-12,1.0520710505238672e-13,3.148721285691625e-30,1.712099223093307e-28,2.343535140606344e-29,7.2411811625547345e-31,6.662302947454527e-16,8.721621827298323e-28,1.0336756153620178e-09,2.2940678666085016e-12,4.96452520432367e-13,5.223566339628889e-13,7.400366590115213e-14,0.0,4.6161694854171645e-17,1.2726740196422817e-13,7.372866699686603e-13,1.632252346287664e-30,3.039670835697763e-27,3.626941606164543e-15,2.429178088192322e-15,2.5550966127437016e-13,5.474574507661405e-15,6.046075654970565e-17,1.8637618233434042e-29,0.0,6.575661395085233e-19,1.9007861999851942e-47,3.477269816688756e-29,2.5943321434340456e-30,0.0,4.8032807537421406e-20,1.8641177045399263e-14,6.5820486104078575e-21,5.846285026805969e-18,4.885066886897105e-28,4.029496061338482e-13,0.0,3.0354309465281615e-40,0.0,0.0,0.0,0.0,3.975020755223137e-33,1.5787291419171005e-24,0.0,0.0,1.7413072122863514e-15,2.0502710874643115e-24,4.182956437835995e-13,2.3228905928226612e-26,8.027044640095867e-21,3.0373782867002375e-47,1.2257011621718236e-31,0.0,0.0,0.0,2.2428928545152595e-18,0.0,7.920678924741204e-15,0.0,8.781678534062808e-19,5.398218213818223e-36,0.0,0.0,2.1358599446680072e-29,0.0,6.293739206439133e-29,0.0,0.0,0.0,3.099982086259039e-18,1.7151435900457438e-18,8.169100960828434e-28,3.105805909369655e-14,0.0,0.0,1.58107038172822e-17,1.3773015329929828e-14,1.7567941192555136e-68,6.36000027943533e-16,2.2869008402803822e-38,0.0,2.4180721130760505e-14,2.2465856013622333e-35,1.3956775725226481e-30,0.0,3.3828393517581794e-16,0.0,0.0,0.0,0.0,0.0,9.472874341891757e-19,0.0,0.0,0.0,0.0,0.0,2.241561550192267e-14,1.0292229792776546e-14,0.0,0.0,2.1274765660131137e-24,0.0,2.7937726550069155e-17,0.0,0.0,7.427732109682316e-14,0.0,0.0,8.778930958517217e-19,2.000779007893719e-16,1.8797810049114884e-15
0.052000000000000005,0.11681850462612253,298.0011135830786,1.2316210099381641,0.6535646120207336,0.0,0.09811026825446593,9.501850079359369e-17,0.04977142129812552,0.19854180917930495,6.964732677757642e-08,0.0,9.601832011909288e-54,2.684253339811019e-16,5.333889195353352e-24,0.0,1.179224131253541e-05,6.838461978961813e-83,0.0,4.180169676412686e-12,7.338332256690587e-14,1.9076082781495968e-08,9.696193793505414e-10,3.6254207654157682e-28,2.683443791820619e-33,3.201567208587605e-18,8.607396447381196e-14,1.4211592656523443e-30,1.2218641599272858e-39,2.1704637815017558e-10,2.5553679328745876e-45,6.264805157990971e-34,1.1250570347651086e-13,4.342480987474218e-24,3.8001221013166723e-13,2.8509835948353816e-29,6.794863324377095e-11,9.801452643703116e-13,2.4191850280638355e-28,1.0994025919649497e-26,9.178097217009909e-28,3.7007910270161457e-29,1.0973917191704616e-15,3.4201827158736626e-27,6.975193081326711e-09,2.106323225520041e-11,4.939218842158921e-12,5.3540214874572684e-12,6.243371385664397e-13,0.0,1.8126810909497652e-16,8.477705976779202e-13,8.493473980697626e-12,1.1184810411215321e-28,1.7364670007982743e-25,1.5224646887837273e-14,5.219954047745319e-15,3.287977415371952e-12,7.729362320946542e-14,8.52716762523532e-16,2.4795093119724777e-28,4.336392416198665e-41,3.9286155126667536e-18,1.6316294383278963e-45,3.477564622583781e-29,2.594561107445002e-30,4.4940000537324483e-26,1.0320504497328752e-19,4.004843458372342e-14,1.4142369305680618e-20,5.846959174345451e-18,4.885226212248613e-28,5.886665436681164e-13,0.0,3.0598049313982614e-40,0.0,0.0,0.0,0.0,8.426230141825316e-33,1.5788930006444964e-24,0.0,0.0,7.767355632524443e-14,1.2231465164974574e-23,1.1121079615289066e-12,4.204326997090419e-25,2.3810250596356854e-19,1.2752583370468297e-46,1.5037623175299354e-30,0.0,0.0,0.0,2.299125504401865e-18,0.0,7.920759738707783e-15,0.0,1.6054594722038748e-17,4.5541459430827976e-35,5.614021695131501e-20,0.0,2.39728927606508e-28,0.0,6.301801542484143e-29,0.0,0.0,0.0,2.2746928230663538e-17,2.2257004518400877e-18,1.553664349603793e-27,3.105838340983291e-14,0.0,0.0,1.8285290214764997e-17,1.4681184305977636e-14,1.7837428276611363e-68,8.460295515422647e-15,7.714478572831054e-37,0.0,2.418233063400811e-14,3.5589900516740884e-33,5.281871318643552e-29,6.166539424638586e-14,4.0489690026706713e-16,0.0,0.0,0.0,0.0,0.0,2.533279539889796e-15,0.0,0.0,0.0,0.0,0.0,2.243824508047302e-14,1.029241077716216e-14,1.984354617827822e-16,0.0,1.9402976516522333e-24,0.0,2.7980077351074326e-17,0.0,0.0,3.131682394463367e-13,0.0,0.0,7.408928827683193e-19,1.999696958695318e-16,1.8895318250030586e-15
