grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_C3H4(9074)
0.0,0.3685314733022448,298.0,1.1300609018085854,0.7246720963306233,5.054959219615705e-47,3.0483651677612762e-21,0.0,0.05518666598229862,0.22014123768651786,2.80375426883074e-17,8.993234647627074e-20,0.0,2.6049022042665242e-21,0.0,1.0814052371148125e-21,5.601786259363509e-13,0.0,2.4671845597330317e-27,5.925878881482423e-20,1.0047010647010971e-20,5.507542766942834e-18,1.3971571896872483e-19,0.0,0.0,0.0,9.043355469372018e-21,0.0,4.030328669098802e-45,1.979718388122786e-21,0.0,0.0,6.513629377566898e-21,3.3028416045047816e-31,0.0,1.8613838911320662e-20,4.719526323625365e-21,1.6930752055829405e-20,3.424608398968912e-37,9.576103581833842e-36,0.0,9.904974415101213e-29,3.887435149744469e-23,0.0,0.0,1.92419466450243e-23,0.0,4.7428075618737086e-21,0.0,1.044900392701681e-20,4.1828842403363843e-22,3.5917057931030537e-23,0.0,8.058459364253814e-21,4.177084443186717e-21,0.0,0.0,0.0,2.875971052466806e-25,0.0,4.044696801601378e-37,0.0,1.9367432708072523e-59,0.0,0.0,0.0,0.0,0.0,0.0,3.1283858432667466e-20,3.3265907588447016e-50,2.2815464011945396e-21,4.2176576144456765e-21,3.9837382137146526e-51,0.0,0.0,7.592096442526013e-36,0.0,0.0,0.0,0.0,0.0,2.994509075780882e-23,2.0256018880644335e-21,4.7775882159800214e-40,3.39951218602083e-35,8.933288791285288e-56,0.0,0.0,0.0,0.0,0.0,1.357125246670772e-23,1.980288349922804e-27,2.4234064940039062e-21,4.22417977606015e-23,0.0,3.851146305862523e-21,6.193185116226301e-31,2.268249649896367e-21,0.0,7.011831485200101e-29,0.0,0.0,0.0,0.0,0.0,4.720157673495409e-24,9.81193833097001e-22,6.335515117712516e-26,0.0,2.7578091830980905e-67,4.104987982040825e-21,0.0,5.66347888381649e-22,2.6067915469977983e-23,0.0,0.0,0.0,1.2741076384680953e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.308452055334028e-22,0.0,0.0,0.0,7.61148083417604e-24,5.374815320592751e-22,0.0,0.0,0.0,2.8121520996784658e-22,7.5157199448501165e-50
0.008,0.36853147340477055,298.0000000000717,1.1300609014942016,0.7246720963150692,1.0766688016406781e-45,3.0483637468142077e-21,3.299709020936839e-23,0.055186665980223766,0.2201412376822126,3.955263401467157e-15,2.3828610813759893e-26,0.0,2.6049022046915235e-21,0.0,9.596238486385579e-20,2.2489584368211285e-11,0.0,2.4671844975127296e-27,8.534824003756629e-18,4.363768484322969e-19,7.967955934747201e-16,2.669606216838437e-17,0.0,0.0,1.665252803348169e-24,1.7336487025909586e-18,2.3567804641597976e-38,8.535664914922565e-43,3.651792722873343e-19,0.0,0.0,6.253488411703793e-19,7.15158356340683e-29,4.549435949974392e-21,1.7040247541160414e-26,8.78524497255582e-19,8.040896638463788e-19,6.412897275263835e-35,1.857141405841238e-33,0.0,2.2095485125514643e-26,2.4592977846787158e-21,0.0,0.0,1.9241952583651572e-23,0.0,4.742807588557187e-21,0.0,2.331507601118068e-26,4.1820542871585955e-22,1.0394229149594872e-20,0.0,6.162660530023676e-23,4.177087065070482e-21,0.0,0.0,0.0,2.875971052497353e-25,0.0,2.334831218063425e-43,0.0,8.012128565803228e-57,0.0,0.0,0.0,0.0,0.0,0.0,6.482129572001283e-18,1.6660962791282833e-47,2.281547909355363e-21,4.217631151636275e-21,1.6191274942434988e-48,0.0,0.0,2.4419344033287146e-40,0.0,0.0,0.0,0.0,0.0,7.923181167099209e-29,4.25836537060925e-19,1.5535261535088243e-37,1.3571110436192837e-32,3.497936390541823e-53,0.0,0.0,0.0,0.0,0.0,1.3571264565667456e-23,1.9802611371868907e-27,2.6416791484292368e-27,1.5366993817081364e-20,0.0,4.036684720151233e-26,0.0,2.5645310212657578e-27,0.0,2.8978916981934904e-26,0.0,0.0,0.0,0.0,0.0,2.7471428872655078e-21,9.811943897874013e-22,3.506740059018947e-23,0.0,1.1426220747044064e-64,4.104983966246277e-21,0.0,5.663478884141649e-22,2.606791547302303e-23,0.0,0.0,0.0,5.1797327656586585e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.3084520553225027e-22,0.0,0.0,0.0,3.042740925034161e-21,5.374815320740633e-22,0.0,0.0,0.0,2.821394847652318e-22,1.9425967475904415e-47
0.016,0.36853147752930365,298.00000000976354,1.130060888846778,0.7246720956907129,1.0926896726153345e-45,3.0483628640006845e-21,7.234373908345035e-23,0.05518666589654439,0.22014123750916903,5.579684502133833e-13,6.334893389223756e-33,0.0,2.60490220809415e-21,0.0,9.079729720727114e-20,9.028930973487281e-10,1.9793924307241828e-73,2.467184230716314e-27,1.252819245919946e-15,1.1027467745621994e-16,1.152514549621998e-13,5.12086176292232e-15,0.0,0.0,4.852702235070908e-24,3.2888391231496535e-16,0.0,2.406844927757828e-49,6.546572119013952e-17,0.0,0.0,1.2140205750799304e-16,7.727558178688867e-29,1.0647571049060162e-18,1.562840194400366e-32,1.84804531843279e-16,1.5987199992796463e-16,0.0,1.4533030836063852e-33,0.0,4.623040081602885e-31,5.448053475898588e-19,7.830402548491384e-33,0.0,1.9241956796552654e-23,0.0,4.7428075915949386e-21,0.0,5.769557765009771e-32,4.181049375570139e-22,1.0473347603629655e-20,0.0,4.719736550292712e-25,4.1770896908727174e-21,0.0,0.0,0.0,2.875971055852502e-25,1.1347151946407163e-38,1.3491806839139249e-49,0.0,4.213834769486568e-64,0.0,0.0,0.0,0.0,0.0,0.0,6.4821297044620645e-18,1.6654636857022362e-47,2.281548854277547e-21,4.217632494286184e-21,1.6110616522542473e-48,0.0,0.0,1.5259174110538097e-40,0.0,0.0,0.0,0.0,0.0,9.100060901526637e-33,7.996556602216693e-17,1.551460944138821e-37,0.0,3.498172378644541e-53,0.0,0.0,0.0,0.0,0.0,1.3571274259789188e-23,1.980233926978438e-27,2.9041831710796834e-33,1.5366979842029215e-20,0.0,4.240338055577814e-31,0.0,2.911363647731653e-33,0.0,2.8978930008774274e-26,0.0,0.0,0.0,0.0,0.0,2.7471458819175337e-21,9.81194391373537e-22,3.5067493198354124e-23,0.0,2.8320921274852094e-71,4.104979955998145e-21,0.0,5.663478891724432e-22,2.6067915512624072e-23,0.0,0.0,0.0,5.179786946871014e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.308452058298969e-22,0.0,0.0,0.0,3.042744362122263e-21,5.374815328832047e-22,0.0,0.0,0.0,5.209851365611935e-22,2.6507727576376966e-51
0.02,0.36853154056743054,298.0000005023331,1.130060695547389,0.7246720862168997,1.0928326503550765e-45,3.0483625953634063e-21,5.463208220996722e-22,0.05518666460791031,0.22014123487081372,2.9935265309295635e-11,3.39101449255286e-39,0.0,2.6049022583803525e-21,1.0326152547124278e-31,6.906216665478744e-19,1.426758473662047e-08,1.7984792695655024e-72,2.467182117318573e-27,6.862357120826573e-14,8.676787427337516e-15,6.3390166240194915e-12,3.707709028307519e-13,9.932756018655244e-33,1.2445375331457163e-34,3.6778555894599696e-23,2.38883401793878e-14,6.371774839931677e-33,1.273847785449196e-49,4.449337310563597e-15,0.0,1.1022051956863288e-41,8.975896817094913e-15,5.5643856104841985e-28,8.947713530893492e-17,4.761958296140957e-38,1.3045277565241842e-14,1.2233838277570347e-14,5.313902927162228e-35,2.6943693921055473e-33,1.7746323534680875e-33,4.466529060420254e-32,4.6184058468554115e-17,7.83835408554661e-33,0.0,1.9241958479930903e-23,0.0,4.742807633079617e-21,0.0,3.9774094503997265e-33,4.180510168243799e-22,1.047386796799032e-20,0.0,7.195606676387478e-27,4.177091064301579e-21,0.0,0.0,0.0,2.875971107089086e-25,7.560966813693096e-39,1.6465445381946842e-55,0.0,6.461111871877519e-68,0.0,0.0,0.0,0.0,0.0,0.0,6.482130034608922e-18,1.665134828922491e-47,2.2815492629098033e-21,4.217633033204751e-21,1.6073947240248175e-48,0.0,0.0,1.150293639730926e-40,3.2814798469170185e-38,2.156684211805913e-34,0.0,0.0,0.0,8.890313659748846e-33,6.347219825980696e-15,1.2918033899731692e-37,0.0,3.498173912922989e-53,7.843632478609322e-39,0.0,0.0,0.0,0.0,1.357127949965249e-23,1.9802203564390536e-27,2.253322019843125e-35,1.5366960431563872e-20,0.0,4.7003462275295936e-34,0.0,8.404731582207691e-36,0.0,2.897893439552849e-26,0.0,0.0,0.0,0.0,0.0,2.747145954985224e-21,9.811944138218821e-22,3.506749407686931e-23,0.0,0.0,4.1049780336903005e-21,0.0,5.663479004865896e-22,2.606791617358183e-23,0.0,0.0,0.0,5.179787061530373e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.3084521043614126e-22,0.0,0.0,0.0,3.0427444281073854e-21,5.374815451112342e-22,0.0,0.0,0.0,2.369624949080828e-20,0.0
0.024,0.3685328664520848,298.0000340448456,1.130056629885216,0.7246718915270877,1.0927436918108686e-45,3.04836368843614e-21,2.5826391371983293e-20,0.05518663690969235,0.22014117971107874,2.1167596125644764e-09,1.837149154361919e-45,6.58519125443756e-47,2.6049032950426526e-21,9.969994883761242e-29,3.265320039627018e-17,2.8922767035903627e-07,3.486282955423848e-72,2.4671449995304723e-27,4.955172828754367e-12,9.018888697348286e-13,4.5965871922193265e-10,3.548698971969042e-11,4.8800531889891823e-29,3.9126900012033596e-31,1.7387742486424716e-21,2.2938989008835027e-12,3.070733875822415e-29,5.7185155938204104e-46,3.995247169422431e-13,0.0,3.4684759399114496e-38,8.774610258133399e-13,3.0852709505724286e-24,9.949428897275038e-15,1.2447341773329502e-34,1.2163076459983409e-12,1.2382183037482795e-12,3.806426380899207e-31,6.84411903113956e-30,1.1862943144606358e-29,2.929120426200941e-28,5.182224465922003e-15,7.836917039357895e-33,0.0,1.924196089203845e-23,0.0,4.7428084811152246e-21,0.0,2.671578799308204e-33,4.179941524309212e-22,1.0473768336341827e-20,0.0,1.102178028791848e-28,4.177093664578309e-21,0.0,0.0,0.0,2.8759721642317635e-25,4.520721393934851e-39,4.845010941663777e-55,0.0,1.602836110530529e-66,0.0,0.0,0.0,0.0,0.0,0.0,6.4821561828673864e-18,1.6648379964401545e-47,2.281550641681425e-21,4.217635228507494e-21,1.604048753408337e-48,0.0,0.0,8.427053848035715e-41,1.5843073653292508e-34,6.780847161423346e-31,1.963820859127548e-31,0.0,0.0,8.890397293360575e-33,6.679101699967915e-13,0.0,0.0,3.4982060783619064e-53,6.255599494788877e-37,0.0,0.0,0.0,0.0,1.35712909284992e-23,1.98020752859634e-27,2.252716017018036e-35,1.5366950754183814e-20,0.0,4.600850160329461e-34,0.0,8.398230516991549e-36,0.0,2.897898754318631e-26,0.0,0.0,0.0,0.0,3.8634287065393364e-21,2.7471474587975416e-21,9.81194878306578e-22,3.5067512896466326e-23,0.0,0.0,4.104977787079884e-21,0.0,5.663481329187068e-22,2.6067929648194068e-23,0.0,0.0,0.0,5.1797894108352925e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.3084530563978227e-22,0.0,0.0,0.0,3.042745790051127e-21,5.374817971034236e-22,0.0,0.0,0.0,3.0296974103838183e-18,1.3741500709950256e-50
0.025,0.36853756149369554,298.00039407893286,1.1300422333529376,0.72467124922504,1.0922111463271473e-45,3.0483680695786245e-21,2.3970005909314465e-19,0.05518653324510223,0.2201409867384563,2.5474717737611743e-08,4.1721506972421094e-51,5.323926908068177e-43,2.604906733294776e-21,3.882983056781474e-27,2.9808549627821203e-16,1.1989047173799694e-06,3.9062057009536693e-72,2.467037789650893e-27,6.079403268195893e-11,1.5537428187067096e-11,5.661306970330953e-09,5.657320060521011e-10,7.022235279056749e-27,5.544126945753558e-29,1.6004320500399743e-20,3.668201734342018e-11,4.2177012270211634e-27,7.966401913046048e-44,5.99975612502509e-12,6.987311219418706e-47,4.9098216981750514e-36,1.426902934629845e-11,3.0868971979697805e-21,1.826877132340299e-13,1.8173963850595147e-32,1.891991800821127e-11,2.0804154069437453e-11,5.935742967970885e-29,1.0228699608710029e-27,2.1898141193485125e-27,4.1738291111376163e-26,9.597462386596528e-14,7.835639820764517e-33,0.0,1.9241964335605845e-23,0.0,4.74281131587093e-21,0.0,2.36319534554535e-33,4.1798017490943623e-22,1.047370691744897e-20,0.0,6.580819441335228e-30,4.177098271723376e-21,0.0,0.0,0.0,2.8759756703785874e-25,3.799006470526552e-39,6.981738570385843e-54,0.0,6.012220649087867e-65,0.0,0.0,0.0,0.0,0.0,0.0,6.482448620898034e-18,1.6648189715570664e-47,2.281554410002714e-21,4.2176417035616904e-21,1.6032670321395062e-48,0.0,0.0,7.695221410724122e-41,2.1725986425585862e-32,9.608304261975422e-29,6.550215618622023e-30,0.0,0.0,8.89102504492064e-33,1.164197209048804e-11,0.0,0.0,3.498531591057779e-53,4.928534726578155e-36,0.0,0.0,0.0,0.0,1.3571315140773618e-23,1.980206860111575e-27,2.2528976266332804e-35,1.536696809847907e-20,0.0,4.595735253367092e-34,0.0,8.39890043300584e-36,0.0,2.897944276593396e-26,0.0,0.0,0.0,0.0,1.2885664966455733e-19,2.74715244368221e-21,9.811964146445963e-22,3.5067575348365025e-23,0.0,0.0,4.104983128443619e-21,0.0,5.6634890414409315e-22,2.606797443454576e-23,0.0,0.0,0.0,5.179797197803162e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.3084562137287035e-22,0.0,0.0,0.0,3.0427503056604612e-21,5.374826324268991e-22,0.0,0.0,0.0,6.423368801117784e-17,2.8615655186473827e-47
0.026,0.36857053492977726,298.00679242699846,1.1299411363529885,0.7246674856846744,1.0871970760675304e-45,3.0483943674770775e-21,3.7579052288152136e-18,0.05518572551846568,0.22013964868333757,4.578117954460182e-07,9.756475179795944e-57,1.9254412909211108e-39,2.6049271640225252e-21,3.135901534226098e-25,3.705911120311971e-15,6.560125356616827e-06,5.503554879309248e-72,2.4664866764540704e-27,1.1152521975176537e-09,4.080061762407469e-10,1.0428280789703331e-07,1.3694570583115687e-08,2.094963119489148e-24,1.6216958699928556e-26,2.2542931277088446e-19,8.908342602669688e-10,1.1904972289174627e-24,2.8202577408821284e-41,1.3637626011837343e-10,1.5923630588267708e-45,1.4354730034850947e-33,3.526941958550301e-10,1.2963233622263753e-18,5.12837613351629e-12,6.728564609700653e-30,4.463065576238859e-10,5.321680516825968e-10,2.1860377744425583e-26,3.2441301104462477e-25,8.56185067380268e-25,1.2238085322674839e-23,2.7184615244374103e-12,7.833063037775428e-33,0.0,1.9241949291543332e-23,0.0,4.742828673084569e-21,0.0,2.058870911747619e-33,4.179682539257145e-22,1.0473029416963042e-20,0.0,3.961299628837505e-31,4.177124089901195e-21,0.0,0.0,0.0,2.875996533255977e-25,3.011504716403288e-39,9.617822352507714e-52,0.0,4.8232661773784353e-63,0.0,0.0,0.0,0.0,0.0,0.0,6.487712475279302e-18,1.6659490935467988e-47,2.2815764779161113e-21,4.2176798943348136e-21,1.6031795516661356e-48,0.0,0.0,6.947200357223656e-41,6.137291939143687e-30,2.8102973700723604e-26,2.42412198797576e-28,0.0,0.0,8.900692576852696e-33,3.0950143686496446e-10,0.0,0.0,3.504271677648786e-53,8.521976563868487e-35,0.0,0.0,0.0,0.0,1.357144695395131e-23,1.980220159205088e-27,2.2557492545358907e-35,1.536709012826392e-20,0.0,4.5142832909835e-34,0.0,8.409435128638184e-36,0.0,2.8987021867095845e-26,0.0,0.0,0.0,0.0,4.765319530396149e-18,2.7471820098908094e-21,9.812055363551768e-22,3.5067945772416393e-23,0.0,2.818572031753441e-70,4.105017349348643e-21,0.0,5.6635348896238435e-22,2.6068241220377932e-23,0.0,0.0,0.0,5.179843447815231e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.3084749911269418e-22,0.0,0.0,0.0,3.0427771421831105e-21,5.37487593501369e-22,0.0,0.0,0.0,2.094826896417946e-15,1.5910551078664738e-43
0.026499999999999996,0.3686828929803631,298.05021590993607,1.1295967808491818,0.7246587839914782,1.0701975696238882e-45,3.0484574200960057e-21,6.271005427367156e-17,0.0551825888156728,0.2201350406820367,3.5124638636968452e-06,5.164828156230132e-57,5.64852701798447e-37,2.6049758971234145e-21,1.0107669298029652e-23,2.0618927052418506e-14,1.907865042992728e-05,7.855677722453296e-72,2.4653835591542447e-27,8.716858961854367e-09,4.4012327222381905e-09,8.177594877090381e-07,1.3722854182931825e-07,1.2024851999683496e-22,8.820598027400456e-25,2.6826399818728774e-18,8.95298320703176e-09,6.281745341846049e-23,4.3923558932529076e-39,1.2908156506750536e-09,5.447870072829126e-43,7.840198967513723e-32,3.6019498203961095e-09,2.0508912946279502e-16,5.884270976798695e-11,1.096731632286462e-27,4.3685813927268555e-09,5.6075164734772314e-09,2.9562147173142923e-24,2.4414878367407865e-23,6.863022331149553e-23,6.678316985132471e-22,3.14499726151304e-11,7.851688663316205e-33,0.0,1.924156743015265e-23,0.0,4.742874936396059e-21,0.0,1.9378783932371606e-33,4.179666592925055e-22,1.0469954084007896e-20,0.0,4.2681541720092555e-32,4.177185526345476e-21,0.0,0.0,0.0,2.876046640546662e-25,2.2817779458278012e-39,9.202615734342523e-50,0.0,1.565480786406964e-61,0.0,0.0,0.0,0.0,0.0,0.0,6.5237956271685115e-18,1.67458774778595e-47,2.28162911637735e-21,4.217771091282076e-21,1.607824961370636e-48,0.0,0.0,6.579204632153235e-41,3.2300811442316984e-28,1.5284427095503197e-24,3.568705281156221e-27,0.0,0.0,8.963242726375929e-33,3.3782094443590107e-09,0.0,0.0,3.5433482373581936e-53,6.4462281143702915e-34,0.0,0.0,0.0,0.0,1.3571727179778765e-23,1.980251963741341e-27,2.2743554242875026e-35,1.5367389734460442e-20,0.0,3.6272793661125627e-34,0.0,8.478204145923656e-36,0.0,2.9037440316729735e-26,0.0,0.0,0.0,0.0,6.983377406957922e-17,2.747252487175006e-21,9.812273508856115e-22,3.5068828821814495e-23,0.0,0.0,4.105100156593418e-21,0.0,5.663644708525992e-22,2.6068911625597733e-23,0.0,0.0,0.0,5.1799540600476744e-21,1.4574684740704667e-31,0.0,0.0,0.0,0.0,0.0,2.308520057211362e-22,0.0,0.0,0.0,3.0428415292335913e-21,5.374994652474442e-22,0.0,0.0,0.0,2.7610497691024575e-14,9.33988229586775e-41
0.026999999999999996,0.3693897532937643,298.4569605997611,1.1274351964321574,0.7246290406168336,9.959522661847765e-46,3.0486889238928854e-21,2.951672540181573e-15,0.05516099607719664,0.22010434557250516,3.327515714569187e-05,2.3083793546338478e-52,3.0492573668732174e-34,2.6051488114412523e-21,1.1745296806353793e-21,1.3892125387551648e-13,6.219001022809692e-05,1.167932704286343e-71,2.462182927465164e-27,8.435018372878217e-08,5.978347020611542e-08,7.931374948348729e-06,1.726694556719188e-06,1.370078965203408e-20,7.284670049755711e-23,1.046547749516088e-16,1.1299348063788374e-07,5.034834724004621e-21,2.5347332584709433e-36,1.5291670266341463e-08,5.60393796942413e-42,7.142471203777554e-30,4.6235575687642587e-08,2.3040167549081285e-14,8.537585389434552e-10,6.375095367963826e-25,5.362178683617749e-08,7.439594908604977e-08,1.5838748852025254e-21,6.584816760662135e-21,1.1770661654882334e-20,5.549106662123636e-20,4.602807607705558e-10,8.13884913446087e-33,0.0,1.9235629378379346e-23,0.0,4.7431044072223126e-21,0.0,2.407845107302987e-33,4.179660045073993e-22,1.0444716177250763e-20,0.0,0.0,4.177408558841727e-21,0.0,0.0,0.0,2.876230716722751e-25,5.876440135290022e-41,4.825522344344728e-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879451646993682e-18,1.7605213101205842e-47,2.2818226194418857e-21,4.218100631328194e-21,1.6648140591416616e-48,0.0,0.0,7.401551075438051e-41,2.5604277656841302e-26,1.2624088894422267e-22,6.965241061581107e-26,0.0,0.0,9.558945026633503e-33,4.6509800553338454e-08,0.0,0.0,3.930171843535317e-53,7.422219973384641e-33,0.0,0.0,0.0,0.0,1.3571964345866903e-23,1.980127861561613e-27,2.453201655823473e-35,1.5368502665174462e-20,0.0,0.0,0.0,9.139082412485941e-36,0.0,2.951047566297387e-26,0.0,0.0,0.0,0.0,1.3078095128109145e-15,2.7475096071597187e-21,9.813077183581775e-22,3.5072050427713036e-23,0.0,0.0,4.105401549846047e-21,0.0,5.664045169670857e-22,2.607246126402905e-23,0.0,0.0,0.0,5.180358518786826e-21,1.264692409030666e-29,0.0,0.0,0.0,0.0,0.0,2.3086866624007354e-22,0.0,0.0,0.0,3.043081605759334e-21,5.375431959206842e-22,0.0,0.0,0.0,4.631642130227828e-13,1.078129735184119e-37
0.027249999999999996,0.3715087023770423,299.93052716115693,1.121004720481932,0.7245858392857601,8.837690912365999e-46,3.0490544245085997e-21,6.588540807668526e-14,0.055094414858884645,0.22000387736520596,0.00014523351303418456,9.015906757695249e-49,2.3740899823558782e-32,2.605366233789186e-21,5.699334427964646e-20,5.266371016635782e-13,0.0001230530299245974,1.366539183654671e-71,2.4584856390394456e-27,3.7901259501551335e-07,3.505736096224285e-07,3.5313548336723655e-05,9.562452312294606e-06,7.189772110725602e-19,1.491901469192662e-21,2.2982029758287465e-15,6.272084091503539e-07,1.025891803205078e-19,3.466803112426763e-34,8.045080053139041e-08,2.889361229174745e-39,4.275233188704619e-28,2.603936392577012e-07,9.900125799645258e-13,5.344796833784024e-09,7.966528662510289e-23,2.9071577241805074e-07,4.3112494291305153e-07,2.0964678767964303e-19,6.854302282415858e-19,9.158187106637047e-19,1.1627388485033278e-18,2.903293728477472e-09,9.421611712105424e-33,0.0,1.9203733341641428e-23,0.0,4.7437688215610946e-21,0.0,5.5638831419293886e-33,4.178650057014392e-22,1.0385091597208824e-20,0.0,0.0,4.177726572518822e-21,0.0,0.0,0.0,2.87651318974499e-25,0.0,0.0,6.528513616538021e-35,2.322226060370642e-58,0.0,0.0,0.0,0.0,0.0,0.0,8.437007295834309e-18,2.1236342529203975e-47,2.282140054571089e-21,4.218572236059533e-21,1.9109306559949548e-48,0.0,0.0,1.5264638992066647e-40,4.986367146635658e-25,2.588852359497963e-21,6.323075708815408e-25,0.0,0.0,1.2032931001381251e-32,2.7821379340296983e-07,0.0,0.0,5.708390695496944e-53,6.87105291565274e-32,0.0,0.0,0.0,0.0,1.3564184208598658e-23,1.9770788980477966e-27,3.217159573734249e-35,1.537032034785112e-20,0.0,0.0,0.0,1.1958211640802716e-35,0.0,3.127637660171811e-26,0.0,0.0,0.0,0.0,1.0255951661822449e-14,2.747921393402599e-21,9.814398282693552e-22,3.507718555243246e-23,0.0,0.0,4.1058448013582645e-21,0.0,5.664644607685915e-22,2.6091430365537702e-23,0.0,0.0,0.0,5.180985857520708e-21,1.416854843062536e-28,0.0,0.0,0.0,0.0,0.0,2.3089562568184304e-22,0.0,0.0,0.0,3.043497272682973e-21,5.376147184146217e-22,0.0,0.0,0.0,3.2934755356321047e-12,6.55811746617317e-35
