grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_C2H3F2(66),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_CF2O2(848),Y_S(961),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3687),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(6705),Y_S(6716),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074),Y_S(11401)
0.0,0.158972107063236,298.0,1.211747198153226,0.6666568594894536,3.4120294164574355e-21,0.08005722468840988,0.0,0.050768574663990484,0.20251734115791598,0.0,0.0,7.87073389284604e-15,9.077563604980977e-16,1.7170935222236078e-16,0.0,3.4668882725650804e-14,0.0,1.5440724015944626e-19,4.448698016749519e-17,0.0,0.0,2.2854844603664548e-17,0.0,1.2864624324900402e-15,0.0,0.0,0.0,0.0,1.4165362778680232e-16,0.0,1.0682944147300094e-31,2.4879414214232074e-16,0.0,0.0,0.0,5.90979004384905e-17,1.0781326141940289e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7364261746693676e-16,2.498785815367938e-16,0.0,1.826814098291009e-15,0.0,7.644484456125788e-17,0.0,3.2330987243650347e-15,6.086346134212497e-36,0.0,8.313824491817365e-17,0.0,0.0,0.0,0.0,1.962165991279438e-27,0.0,0.0,0.0,4.10526958867164e-32,3.0268405859059983e-33,1.1126163902951249e-14,0.0,0.0,0.0,3.883843268657246e-15,0.0,0.0,2.0935299971846857e-20,0.0,6.71138917542209e-14,2.5946195703499156e-16,0.0,0.0,1.293723321410721e-24,0.0,0.0,3.130661171523848e-17,2.1070853513116967e-15,5.3464914434396626e-18,0.0,0.0,0.0,0.0,0.0,1.0648288520204166e-31,1.0829407652865168e-34,5.045768022327843e-19,5.3041925562073326e-20,2.9735002702398597e-23,1.3516879820157143e-14,8.650546340237289e-17,0.0,4.618393732627536e-40,0.0,0.0,1.4964423084217951e-15,0.0,0.0,1.3874067643620008e-14,3.4226117142365574e-18,5.106855640132225e-15,0.0,0.0,0.0,0.0,1.8734546151488949e-19,1.1556001544176728e-15,8.563941719227767e-21,0.0,0.0,0.0,3.1278737468953963e-35,0.0,0.0,0.0,0.0,3.164757713767489e-17,5.544527849718228e-18,0.0,7.747982037787727e-35,2.2007189587885563e-15,0.0,0.0,6.173941273541636e-16,0.0,5.00166944221082e-15,0.0,0.0,0.0,0.0,2.0882516491448346e-15,3.6588417982599674e-16,3.715361384122453e-14,1.3128683060281621e-15,0.0,0.0,0.0,0.0,0.0,6.925045609656637e-34,6.800674049861974e-18
0.016,0.15897210706534198,297.99999999917003,1.2117471981373549,0.666656859488243,3.4120270838767925e-21,0.08005722468867595,0.0,0.050768574663884125,0.2025173411577691,0.0,0.0,3.470300274616499e-22,9.077563610189435e-16,3.3763897546809586e-22,0.0,1.2227368528732873e-12,0.0,1.544072251518374e-19,5.676539250633348e-15,0.0,0.0,3.883965922350739e-15,0.0,1.410898520362333e-22,0.0,0.0,0.0,0.0,1.4036930029445612e-16,0.0,1.2284542009796224e-29,2.4879414236376933e-16,0.0,0.0,0.0,9.732417160156957e-15,1.0787831163478064e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7364261914972018e-16,2.4987839795434476e-16,0.0,1.826837474326272e-15,0.0,0.0,0.0,3.233098724350302e-15,7.342448414425262e-34,0.0,0.0,0.0,0.0,0.0,0.0,5.062401376599355e-25,0.0,0.0,0.0,2.277728997232143e-29,1.6993739993593306e-30,9.98517435498361e-21,0.0,0.0,0.0,5.963205261370787e-18,0.0,0.0,7.862993972561124e-18,0.0,6.711391482666696e-14,8.12658271738364e-23,0.0,0.0,2.4128024948936774e-22,0.0,0.0,1.4525180035199108e-14,2.1070853367715983e-15,2.1090576416087704e-24,0.0,0.0,0.0,0.0,0.0,5.061267822460649e-29,4.843707807730182e-32,2.908314397341663e-16,9.605617468552966e-19,2.9735299809213906e-23,1.3515972370278179e-14,2.0622023160486508e-23,0.0,1.3371792975766986e-37,0.0,0.0,3.441711529864437e-21,0.0,0.0,1.1234212733905707e-14,5.41762553481571e-23,5.106855640248369e-15,0.0,0.0,0.0,0.0,9.808402469213514e-17,1.156806817144006e-15,4.262526513974149e-18,0.0,0.0,0.0,1.1711755430458101e-32,0.0,0.0,0.0,0.0,3.1647577315058844e-17,2.0186817058386723e-15,0.0,2.746675867585128e-32,2.200718958400595e-15,0.0,0.0,6.173941272324471e-16,0.0,5.001669440560354e-15,0.0,0.0,0.0,0.0,2.0882516522818307e-15,3.6588419352102053e-16,3.715359573373767e-14,5.1216729265937815e-20,0.0,0.0,0.0,0.0,0.0,1.587733752537753e-31,3.4694872145070996e-15
0.032,0.15897210715511673,297.9999999991725,1.2117471974530534,0.6666568594496711,3.412021783560439e-21,0.08005722469514574,9.283307273913977e-20,0.050768574660529996,0.20251734115127232,0.0,0.0,1.5367792824957485e-29,9.07756360989196e-16,1.437198510553504e-28,0.0,4.3176271039279427e-11,0.0,1.544071902948331e-19,5.360264666177224e-15,0.0,0.0,3.883986942460864e-15,0.0,1.5518376703373225e-29,3.1181837878563463e-21,0.0,0.0,2.9076901108928877e-47,1.4037580121212577e-16,0.0,1.5677859832854635e-36,2.487941482342658e-16,2.7482293414493505e-28,0.0,0.0,9.732402960526784e-15,1.0787831181070571e-14,0.0,6.227540598862939e-32,0.0,0.0,0.0,0.0,0.0,1.7364293475685227e-16,2.4987842799326523e-16,0.0,1.8268605538879343e-15,0.0,0.0,0.0,3.2330987429421023e-15,7.607524113754367e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.413033376935896e-31,0.0,3.078524004122837e-21,0.0,2.2777289963514254e-29,1.699374003625071e-30,1.9136651997580627e-23,0.0,0.0,0.0,5.963188386791823e-18,3.998475377248696e-28,0.0,7.862995558513857e-18,0.0,6.711393790752271e-14,6.388277261552536e-29,0.0,0.0,4.274246221672231e-29,0.0,0.0,1.452519240375223e-14,2.1070853366248158e-15,1.0627739552093197e-26,0.0,0.0,0.0,0.0,0.0,0.0,3.803939948246624e-38,2.908315530290665e-16,1.8679524501812838e-18,2.973530576123208e-23,1.3515064980805197e-14,5.734547169948814e-30,0.0,1.3371961914645135e-37,0.0,0.0,8.060978812068094e-27,0.0,0.0,1.1234046938893066e-14,5.402585493988106e-23,5.1068556406487374e-15,0.0,0.0,0.0,0.0,9.808404803886963e-17,1.1568068177508102e-15,4.2818044171330484e-18,0.0,0.0,0.0,3.581389890260037e-39,0.0,0.0,0.0,0.0,3.164757750120328e-17,2.018686311901936e-15,0.0,2.7466758789009166e-32,2.200718957848914e-15,0.0,0.0,6.173941272603508e-16,0.0,5.001669439200573e-15,0.0,0.0,0.0,0.0,2.0882516524619446e-15,3.6588420649091795e-16,3.715357763469837e-14,3.8330881212243287e-22,0.0,0.0,0.0,0.0,0.0,5.320557557155221e-36,3.4696213491813804e-15
0.04,0.15897210835514994,297.9999999991905,1.2117471883059345,0.6666568589340517,3.4120112868185455e-21,0.08005722478164794,9.615056296157672e-20,0.05076857461569328,0.2025173410644249,0.0,0.0,1.3847750343143776e-36,9.077563617034014e-16,2.670033400337594e-31,0.0,6.039778889475036e-10,0.0,1.5440711338868677e-19,5.206770359760139e-15,0.0,0.0,3.885284800878283e-15,7.0589566997816205e-31,3.4513256168971133e-36,3.237937261633508e-21,0.0,3.790012286684686e-35,3.5466276375507266e-47,1.407629191044337e-16,0.0,3.906785701879496e-41,2.487944986593975e-16,2.598802321485354e-28,0.0,0.0,9.732526899409666e-15,1.0787832726029792e-14,0.0,3.646403831300096e-31,0.0,0.0,0.0,0.0,0.0,1.7366409892239921e-16,2.498806251963189e-16,0.0,1.8268768628391565e-15,0.0,0.0,0.0,3.2331000329872187e-15,7.336585214149858e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.8570563313820802e-32,0.0,3.1920307055492978e-21,0.0,2.2777289840864698e-29,1.699373994474345e-30,1.91281507967869e-23,0.0,0.0,0.0,5.963188384248261e-18,3.9999282214110254e-28,0.0,7.862995756256529e-18,8.411012321560633e-41,6.711394953685745e-14,3.8411363496800934e-29,0.0,0.0,0.0,0.0,0.0,1.4525192427624786e-14,2.107085339826875e-15,1.099494219001146e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.2847596457671362e-38,2.9083156457152556e-16,2.3216325706495757e-18,2.973530886116895e-23,1.3514611317179401e-14,8.153586028746605e-31,0.0,1.3372081181964623e-37,0.0,0.0,1.554365235375764e-28,0.0,0.0,1.1234046927724035e-14,5.402585628263316e-23,5.106855645865253e-15,0.0,0.0,0.0,0.0,9.808404816474013e-17,1.1568068193152758e-15,4.2918114449445195e-18,0.0,0.0,0.0,4.1994805839117064e-44,0.0,0.0,0.0,0.0,3.1647579794479595e-17,2.018686307216199e-15,0.0,2.7466758830713844e-32,2.200718958441124e-15,0.0,0.0,6.173941278701275e-16,0.0,5.001669440595152e-15,0.0,0.0,0.0,0.0,2.0882516548177326e-15,3.6588421346585094e-16,3.7153568621378925e-14,3.813384420239456e-22,0.0,0.0,0.0,0.0,0.0,5.129800524180132e-40,3.469621357056354e-15
0.044,0.1589721166758471,297.9999999995852,1.2117471248823644,0.6666568553589657,3.41200077632092e-21,0.08005722538142418,9.482287183736634e-20,0.050768574304784875,0.20251734046224987,1.655743320203325e-14,0.0,2.538300646961117e-43,9.07756367617871e-16,1.9785605487915752e-30,1.9942154394327066e-27,4.492354244353043e-09,0.0,1.5440697119061892e-19,5.133738177346335e-15,0.0,0.0,3.926972812244779e-15,5.443456367741201e-31,1.0154151057502049e-39,3.1931189605552024e-21,0.0,3.698223679444751e-35,3.49274818458636e-47,1.5238820071124587e-16,0.0,3.6497936862918603e-41,2.488059606762866e-16,2.5236999315101904e-28,0.0,5.4086964532379447e-36,9.736397270571877e-15,1.078788533327955e-14,0.0,3.5668382810925928e-31,0.0,0.0,0.0,0.0,0.0,1.743785486555091e-16,2.4996144807432733e-16,0.0,1.8270317179204626e-15,1.9453559679093675e-32,0.0,0.0,3.2331524091254247e-15,7.204657463765605e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.837135421945328e-32,3.3562534152326785e-42,3.147954472033578e-21,0.0,2.277728899146998e-29,1.6993739311048998e-30,1.9128156561295342e-23,0.0,0.0,0.0,5.963188366817656e-18,3.9999281125834657e-28,0.0,7.862995919748854e-18,2.47114099658388e-40,6.711395592932738e-14,3.841134945520368e-29,1.3044130407174956e-35,0.0,0.0,0.0,0.0,1.4525192555610096e-14,2.1070854654735624e-15,1.0859291068719097e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.2842653319736057e-38,2.908315728304083e-16,2.5484688194007632e-18,2.9735310656552966e-23,1.3514384600839834e-14,8.153563950823489e-31,0.0,1.337321391561666e-37,0.0,0.0,1.5544916561320899e-28,0.0,0.0,1.1234046981971943e-14,5.402585740661212e-23,5.106855687047402e-15,0.0,0.0,0.0,0.0,9.808404904044746e-17,1.1568068279874071e-15,4.2967462569523465e-18,0.0,0.0,0.0,3.8121406676961486e-44,0.0,0.0,0.0,0.0,3.1647681112179e-17,2.018686319175456e-15,0.0,2.746675930856267e-32,2.200718970577021e-15,0.0,0.0,6.173941337966351e-16,0.0,5.001669467917892e-15,0.0,0.0,0.0,0.0,2.088251671015479e-15,3.658842194640224e-16,3.715356426543122e-14,3.8133830871571195e-22,0.0,0.0,0.0,0.0,0.0,8.98080062602123e-40,3.469621387943718e-15
0.048,0.15897219637722604,298.00000001202204,1.2117465173679123,0.6666568211167401,3.411950999090051e-21,0.08005723112614274,9.506283281394775e-20,0.05076857132603811,0.20251733469422348,6.967111014780668e-13,8.897215013077939e-46,4.793575297601863e-50,9.077564260736683e-16,1.845967130079405e-29,2.002650642084682e-27,4.173577110518683e-08,0.0,1.5440611547635237e-19,5.146632717091872e-15,0.0,1.3025100460879571e-13,5.726279574297571e-15,3.8460666463474263e-31,1.0419157739316406e-39,3.201133408650583e-21,0.0,3.8765876198463126e-35,3.7090471615027543e-47,6.217485935185236e-16,0.0,4.2159075406087767e-41,2.493112683453114e-16,2.451678838034283e-28,0.0,5.82156979065687e-36,9.898794970055318e-15,1.0790276939783741e-14,0.0,3.6878406707355753e-31,0.0,0.0,0.0,0.0,5.057523106929716e-14,2.0677353534634407e-16,2.539535241991435e-16,0.0,1.833120087731328e-15,3.341922357953378e-29,0.0,0.0,3.236019042113003e-15,7.121554141524616e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.8973442831968794e-32,0.0,3.1559097183629185e-21,0.0,2.277728088785704e-29,1.699373326586247e-30,1.9128213161720663e-23,0.0,0.0,0.0,5.963188206449241e-18,3.9999262870665644e-28,0.0,7.8629965832032e-18,2.471138886753076e-40,6.711396771728943e-14,3.841137026021826e-29,1.3099299370922715e-35,0.0,0.0,0.0,0.0,1.4525193764299828e-14,2.1070935867645697e-15,1.088505004825852e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.283774372512774e-38,2.9083160396677e-16,2.775301371563463e-18,2.973531447631838e-23,1.3514158832706657e-14,8.154045620627734e-31,0.0,1.3417771408451763e-37,0.0,0.0,1.554974043158955e-28,0.0,0.0,1.1234047678314417e-14,5.40258619907075e-23,5.1068564731417594e-15,0.0,0.0,0.0,0.0,9.808405742027564e-17,1.1568069188554113e-15,4.30170125813874e-18,0.0,0.0,0.0,4.3629890239157807e-44,0.0,0.0,0.0,0.0,3.1654661649292775e-17,2.018686464000058e-15,0.0,2.746677372670928e-32,2.20071909812053e-15,0.0,0.0,6.173943444517545e-16,0.0,5.001669789185508e-15,0.0,0.0,0.0,0.0,2.0882518272337622e-15,3.6588425984650834e-16,3.7153561569209914e-14,3.8133849896144556e-22,0.0,0.0,0.0,0.0,0.0,7.401493185286938e-39,3.4696216616520505e-15
0.049,0.15897232315172802,298.0000000744985,1.2117455510453075,0.6666567666622366,3.411913382703833e-21,0.08005724026208579,1.0327518340366773e-19,0.05076856658511241,0.202517325519613,4.1680110794257725e-12,0.0,7.566550858831759e-56,9.07756521490161e-16,4.853975589563015e-29,2.0456041792768326e-27,1.0096529127737596e-07,0.0,1.5440512407390879e-19,5.5889755298904576e-15,0.0,9.527458785130005e-13,1.8029399241000475e-14,3.4737336337324825e-31,1.3169709935388628e-39,3.477828360654391e-21,0.0,5.378649074039149e-35,5.622916677093673e-47,3.626691235786272e-15,0.0,1.0151850278990309e-40,2.528397322153584e-16,2.4334956266415735e-28,0.0,9.088413205884188e-36,1.0978713645572292e-14,1.0807491209374476e-14,0.0,4.799366079428419e-31,0.0,0.0,0.0,0.0,3.1651310796093056e-13,4.393218188617353e-16,2.851375905080117e-16,0.0,1.8724424798427552e-15,2.022712583979617e-32,0.0,0.0,3.260809603520831e-15,7.345165922602233e-34,0.0,0.0,0.0,0.0,0.0,0.0,2.1574633070340767e-32,0.0,3.428476941455248e-21,8.651181033597349e-54,2.277726815847367e-29,1.6993723772587984e-30,1.9128314399300396e-23,0.0,0.0,0.0,5.9631879838873824e-18,3.9999234066405783e-28,0.0,7.862997570637312e-18,2.4711385615619487e-40,6.711397868252343e-14,3.841140397245818e-29,1.33802484829838e-35,0.0,0.0,0.0,0.0,1.452519566408608e-14,2.1071820750432115e-15,1.173070941408501e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.2836536226376864e-38,2.9083164611624275e-16,2.832009521550556e-18,2.9735318488335406e-23,1.3514103871399551e-14,8.153577067429766e-31,0.0,1.3705585422374706e-37,0.0,0.0,1.555088688820207e-28,0.0,0.0,1.1234048757230068e-14,5.402586890583442e-23,5.106862750758e-15,0.0,0.0,0.0,0.0,9.808407075651765e-17,1.156807060343333e-15,4.3030880954352e-18,0.0,0.0,0.0,1.0225700811592847e-43,0.0,0.0,0.0,0.0,3.173105308981949e-17,2.0186867321232624e-15,0.0,2.746685910637318e-32,2.2007193062792544e-15,0.0,0.0,6.173965203792947e-16,0.0,5.0016702887349486e-15,0.0,0.0,0.0,0.0,2.0882520748148855e-15,3.6588446906309167e-16,3.715356563145405e-14,3.813388064715496e-22,0.0,0.0,0.0,0.0,0.0,1.7453015263187985e-38,3.4696221244240374e-15
0.05,0.15897272198119677,298.0000006141627,1.2117425110281284,0.6666565954426151,3.4118740355413835e-21,0.08005726898988028,1.7943125413217557e-19,0.050768551649518365,0.20251729665708762,3.459873543198303e-11,0.0,0.0,9.077568730662062e-16,2.402095309340891e-28,2.1234620605425838e-27,2.8721493142245343e-07,0.0,1.5440260426253636e-19,9.692978113460877e-15,0.0,8.295600155389716e-12,1.600114919151095e-13,3.5682004062248288e-31,9.161877530812733e-39,6.043848549741238e-21,0.0,1.8037399789718983e-34,4.200279577480331e-46,3.621092178381761e-14,4.271560170206695e-49,1.7898151333998434e-39,2.943790885595914e-16,2.3239909921330824e-29,0.0,5.791474013782135e-35,2.3116729612838792e-14,1.1016074540124807e-14,0.0,1.3594020682912125e-30,0.0,0.0,0.0,0.0,2.6540824168635414e-12,3.2498205304810087e-15,6.935995665168803e-16,0.0,2.302732806367054e-15,2.06875698626011e-32,0.0,0.0,3.6187171573536236e-15,9.692863866801473e-34,0.0,0.0,0.0,0.0,0.0,0.0,4.275215697467045e-32,0.0,5.9561832956378384e-21,1.581808590300393e-52,2.2777229400975806e-29,1.6993694889948186e-30,1.9128901824578655e-23,0.0,0.0,0.0,5.963187545076292e-18,3.9999145242815447e-28,0.0,7.863000767269168e-18,2.4711398448351977e-40,6.711401008025706e-14,3.841151269915637e-29,1.388948547595788e-35,0.0,0.0,0.0,0.0,1.4525201723258985e-14,2.1087944854711642e-15,1.9570590073424195e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.2835381660066277e-38,2.908317756385906e-16,2.8887181090281856e-18,2.973533043263301e-23,1.3514052588359736e-14,8.15360296798919e-31,0.0,1.6855107302340802e-37,0.0,0.0,1.5551284501772947e-28,0.0,0.0,1.1234052429741101e-14,5.402589200221738e-23,5.106985132513834e-15,0.0,0.0,0.0,0.0,9.808411269129784e-17,1.15680760530422e-15,4.305796322503811e-18,0.0,0.0,0.0,1.76724258837899e-42,0.0,0.0,0.0,0.0,3.3114615612367654e-17,2.0186883264810295e-15,0.0,2.7467773645375787e-32,2.2007200452374286e-15,0.0,0.0,6.174403559211253e-16,0.0,5.0016720292430086e-15,0.0,0.0,0.0,0.0,2.088252854192299e-15,3.6588806455249707e-16,3.7153612787175114e-14,3.813397843672392e-22,0.0,0.0,0.0,0.0,0.0,6.002586358529248e-38,3.4696235720709176e-15
0.051000000000000004,0.15897397769522423,298.00000527565334,1.2117329396377026,0.6666560571420099,3.411825969593178e-21,0.08005735932233314,8.632082005862686e-19,0.050768504462975754,0.2025172057847218,3.0136754493639797e-10,3.7693939051537083e-41,0.0,9.07758995412606e-16,3.515992678300972e-27,0.0,8.728868992458699e-07,0.0,1.5439551092175718e-19,4.653950359515044e-14,0.0,7.384945431828993e-11,1.7985377075619392e-12,1.5517550823899724e-30,0.0,2.908552811174639e-20,0.0,1.6345458906409022e-34,1.9591149068441486e-44,3.895407701906701e-13,4.5956139224664755e-48,7.064225437225328e-38,7.834099031516138e-16,8.86828824848652e-28,0.0,7.35210911300329e-34,1.5954549050709433e-13,1.354348574666715e-14,0.0,1.2535751977999739e-30,0.0,0.0,0.0,0.0,2.320117644813291e-11,3.7216661425124816e-14,6.043825187623645e-15,5.1817400905064026e-15,7.011393525944694e-15,0.0,0.0,0.0,8.785965459553328e-15,3.924129708011038e-33,1.763952758093574e-30,0.0,0.0,0.0,5.987749450274139e-19,0.0,2.853787694899057e-31,0.0,2.865138574900358e-20,1.2279108549256518e-50,2.2777118501141267e-29,1.699361244022621e-30,1.9138065884134766e-23,0.0,0.0,0.0,5.9631884199067614e-18,3.9998881131878307e-28,0.0,7.863016990189747e-18,2.4711514406725353e-40,6.711410571220649e-14,3.8411878095838156e-29,0.0,0.0,0.0,0.0,0.0,1.4525222574971786e-14,2.1382177549352182e-15,8.996659906518047e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.2834438409337023e-38,2.90832179947675e-16,2.9454297257054e-18,2.9735372874441814e-23,1.3514012849294907e-14,8.153415147547223e-31,0.0,5.13202672268631e-37,0.0,0.0,1.5542213974432705e-28,0.0,0.0,1.1234065715214713e-14,5.402601331728073e-23,5.109528633642713e-15,0.0,0.0,0.0,0.0,9.808424457451179e-17,1.1568117103972083e-15,4.320013300929206e-18,0.0,0.0,0.0,7.000871417289025e-41,0.0,0.0,0.0,0.0,5.817437170084623e-17,2.018711130818958e-15,0.0,2.7477721475779994e-32,2.2007237135469684e-15,0.0,0.0,6.183420523868292e-16,0.0,5.001679878244829e-15,0.0,0.0,0.0,0.0,2.0882553103451355e-15,3.659590919430684e-16,3.7154219346897635e-14,3.813430396629111e-22,0.0,0.0,0.0,0.0,0.0,5.662996689673276e-37,3.469628146418832e-15
0.052000000000000005,0.15897794001361065,298.00004553848964,1.2117027387707904,0.6666543651815318,3.4117192215057496e-21,0.08005764336589774,6.932788745199227e-18,0.050768354312627176,0.20251691902177985,2.640005497280331e-09,2.778489643312002e-41,0.0,9.07786381944478e-16,8.781096410612251e-26,0.0,2.7145872549459265e-06,0.0,1.5437480036018823e-19,3.737120033844408e-13,3.4137437581704022e-15,6.590929675922492e-10,2.070794441381281e-11,1.9555703283269e-29,1.2509755733163412e-35,2.335987143871269e-19,7.355593101589882e-15,0.0,1.69899202120919e-42,4.220946251003857e-12,3.398762942499167e-47,3.342159033867527e-36,6.540692593638282e-15,2.9639086029046505e-26,0.0,5.100355682074987e-32,1.6929933922507775e-12,4.416870202739254e-14,6.746757187449386e-31,0.0,0.0,6.41313862974091e-32,0.0,0.0,2.0381101368562052e-10,4.47734141574661e-13,7.612431515730344e-14,8.101368449789624e-14,5.85388983712136e-14,0.0,0.0,0.0,8.338835970845173e-14,1.0050838102581439e-31,2.0254142591417437e-28,0.0,0.0,2.412556226209251e-14,8.851960653223597e-16,2.1844483489592237e-18,4.302274490228814e-30,0.0,2.3010222359691293e-19,1.5829072898364836e-48,2.2776864565457049e-29,1.6993425494218703e-30,1.9368595112077338e-23,0.0,0.0,0.0,5.963210643790814e-18,3.9998181886277276e-28,0.0,7.863218814696669e-18,2.471258030623454e-40,6.711440330194207e-14,3.8413254787054624e-29,0.0,0.0,0.0,0.0,0.0,1.4525321916771917e-14,2.675275377569352e-15,7.147859578019003e-25,0.0,0.0,2.506016767580079e-21,0.0,0.0,0.0,2.2834291668339488e-38,2.90833448413611e-16,3.0021787839402047e-18,2.9735496540519104e-23,1.3514009324730876e-14,8.15346220856409e-31,0.0,4.284688299159102e-36,0.0,0.0,1.5420180473632673e-28,0.0,0.0,1.123414791710787e-14,5.402748576291852e-23,5.162925119778006e-15,0.0,0.0,0.0,0.0,9.808465986248638e-17,1.1568845724929116e-15,4.426373158947485e-18,0.0,0.0,0.0,3.3042476189595506e-39,0.0,0.0,0.0,8.498899635466515e-31,5.120756876094494e-16,2.01920418560186e-15,0.0,2.7586494083976433e-32,2.200760341090222e-15,0.0,0.0,6.369515838547339e-16,0.0,5.001753525718368e-15,0.0,0.0,0.0,0.0,2.0882631568274716e-15,3.673947244892005e-16,3.716260443293767e-14,3.8135491068189165e-22,0.0,0.0,0.0,0.0,0.0,7.06434413164781e-36,3.4696432732766615e-15
