grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_C3H4(9074)
0.0,0.3685027547553261,298.0,1.13006090180858,0.7246720963306231,0.0,0.0,1.9269972919341953e-20,0.05518666598229859,0.22014123768651783,2.806658504313639e-17,1.8013037974424912e-22,6.804275760295104e-20,0.0,0.0,7.024052247690368e-24,5.605654928082719e-13,2.876400378046839e-70,8.172254937355633e-29,5.97497693497327e-20,0.0,5.512271844652282e-18,1.4044417351370888e-19,3.3597424931914467e-28,1.0887641383782953e-21,3.6743409321647953e-20,8.858340872661441e-21,0.0,5.683210749614065e-45,1.21896070206342e-21,2.5116728571662508e-20,3.6970852758025126e-37,0.0,2.106412053625031e-31,0.0,0.0,6.129600887416279e-21,0.0,0.0,2.6012640346739722e-36,1.1130922199594455e-35,0.0,0.0,5.281678513809323e-22,3.961346112581029e-24,0.0,0.0,1.7990940331849135e-21,0.0,0.0,1.968723378165157e-22,1.222467430531919e-23,1.4107100001013352e-28,2.7406451320566305e-21,0.0,1.8618575539389869e-23,2.3524862156141563e-21,5.525735816417281e-21,6.516558352601733e-26,5.4804237505705585e-40,0.0,0.0,0.0,3.1586418737195796e-61,2.168819438427493e-53,0.0,2.7673014247940506e-45,1.0885880217037434e-39,1.3794787293799272e-31,3.411531715946808e-20,0.0,0.0,1.1065021606991096e-20,0.0,1.3327005924126214e-20,0.0,0.0,0.0,4.517870312698271e-30,0.0,0.0,6.2627506198083826e-21,0.0,2.6466145641666806e-21,4.7042039820859825e-43,4.581237095117054e-34,0.0,0.0,0.0,0.0,0.0,4.47969044893013e-23,2.114700917250218e-22,0.0,0.0,0.0,5.382794118291272e-22,0.0,4.6641554162881035e-32,0.0,2.2718403664668807e-22,1.8447870584523506e-28,2.3866076016826416e-21,0.0,0.0,0.0,0.0,0.0,8.776150881252349e-22,0.0,5.7151712017788285e-22,0.0,1.7304851112430455e-21,0.0,0.0,1.1139937445985538e-22,2.498732521871726e-43,7.727135347454221e-41,0.0,0.0,3.645147754623127e-30,1.4621382384253796e-40,4.66607672334546e-21,1.2443823898223168e-60,0.0,0.0,0.0,8.467302546589517e-25,4.5183817767864067e-29,2.8428724724659536e-25,0.0,6.834676050711572e-22,2.6779430835860138e-21,0.0,0.0,0.0,3.3423176182821464e-21,0.0
0.008,0.36850275485790684,298.00000000007174,1.1300609014940033,0.7246720963150595,0.0,0.0,6.26728117294341e-23,0.05518666598022245,0.2201412376822099,3.959053976075047e-15,1.4222381592735746e-29,1.3714905776700462e-26,0.0,0.0,6.056698444577013e-22,2.2503405712465558e-11,6.46506847109604e-69,8.172255020900482e-29,8.608123078866125e-18,5.079997033041564e-19,7.974175332898111e-16,2.6833499296471518e-17,6.386812201994712e-26,5.760353211586768e-28,6.398214792694441e-24,1.6980562668683395e-18,0.0,1.0099601884859946e-42,3.648161984912575e-19,1.3309279913093519e-26,5.091354561993594e-35,6.153923951227687e-19,4.069274976931089e-29,0.0,0.0,1.1408263389973886e-18,7.648942146628393e-19,0.0,5.0066795314137e-34,2.472873524909793e-33,0.0,2.384592376938358e-21,1.3271644065318021e-28,5.619778232048752e-22,0.0,0.0,1.7990940447983986e-21,0.0,0.0,1.967181684425032e-22,3.535127268995055e-21,1.4107100026062557e-28,2.094342604723856e-23,0.0,1.8611122351690095e-23,2.352493756517787e-21,5.525735816755095e-21,6.516558352980563e-26,1.577967151135353e-37,0.0,0.0,0.0,1.8417754798574985e-61,1.2373764720367394e-50,0.0,0.0,0.0,5.129817497322342e-29,6.482129572066875e-18,0.0,0.0,1.1064965642745095e-20,0.0,1.3327005924690993e-20,0.0,4.743700166879277e-40,0.0,9.982086212142282e-28,0.0,0.0,6.2627506175924384e-21,0.0,5.55907997821012e-19,8.8458130749163e-41,1.7137548726250964e-31,0.0,0.0,0.0,0.0,0.0,4.479689252951369e-23,2.1147011278183864e-22,0.0,0.0,0.0,4.203477490079105e-27,0.0,0.0,0.0,2.271667102611187e-22,7.602626071021547e-26,2.3866076017145327e-21,0.0,0.0,0.0,0.0,0.0,8.776110180898742e-22,0.0,5.715171201908657e-22,0.0,1.730499941771447e-21,0.0,0.0,1.1139937446298546e-22,8.699350805447202e-41,3.153003631555863e-38,4.225439950889309e-33,0.0,3.645147755110291e-30,5.822456989694229e-38,4.666076314266654e-21,4.609340317120971e-58,0.0,0.0,0.0,4.726101789964712e-22,2.5499185981255757e-26,1.581560125965745e-22,0.0,6.834676051029531e-22,2.6779430836116275e-21,0.0,0.0,0.0,3.3432645629858455e-21,0.0
0.016,0.3685027589843354,298.00000000977184,1.1300608888397818,0.7246720956903681,0.0,0.0,1.2233062478983158e-23,0.055186665896498,0.22014123750907336,5.584584369961965e-13,0.0,2.7750739988171316e-33,0.0,0.0,1.461016760362839e-20,9.033793356127479e-10,1.2995240551166536e-68,8.17225471381319e-29,1.2536785695473062e-15,1.1049723424289242e-16,1.153507199247785e-13,5.126024372624642e-15,9.520569307654754e-32,0.0,8.043185811966203e-25,3.291461254102677e-16,0.0,2.32969243593753e-49,6.553038815439289e-17,7.065645928292081e-33,0.0,1.2149359824743328e-16,3.7322085383804516e-29,1.0603668375096466e-18,0.0,1.8525015925994999e-16,1.5998201041545376e-16,0.0,4.402157617781877e-34,1.997750478882762e-33,0.0,5.452660054947189e-19,3.7193263440450434e-33,5.619935161885934e-22,0.0,0.0,1.7990940460390443e-21,0.0,6.492798188952077e-32,1.9658173574003298e-22,3.56210915656902e-21,1.4107100037668712e-28,1.6027879762766085e-25,0.0,1.8605142192688906e-23,2.3524998427931226e-21,5.525735822811341e-21,6.51655836071564e-26,1.3489339617227064e-37,0.0,0.0,0.0,1.7622617358218843e-61,1.9564771914342576e-56,0.0,0.0,0.0,5.128169136346314e-29,6.48212970446451e-18,0.0,0.0,1.1064981650005234e-20,0.0,1.332700594931737e-20,0.0,3.796618350994175e-40,0.0,2.87274784679678e-34,0.0,0.0,6.262750622189321e-21,0.0,8.00512360942566e-17,1.580930908957189e-38,1.907212947338648e-31,0.0,0.0,0.0,0.0,0.0,4.479689256528497e-23,2.1147013417756653e-22,0.0,0.0,0.0,1.587127664197087e-30,0.0,0.0,0.0,2.271527726198933e-22,7.602638107689211e-26,2.3866076048433085e-21,0.0,0.0,0.0,0.0,0.0,8.776110189469352e-22,0.0,5.715171209867442e-22,0.0,1.7305147745220048e-21,0.0,0.0,1.1139937465007813e-22,8.699356268051141e-41,3.9673199868147783e-38,4.225521276525622e-33,0.0,3.64514776130917e-30,5.822456661454942e-38,4.666075988877101e-21,4.566553777468455e-58,0.0,0.0,0.0,4.311994704559303e-22,2.399407203979607e-26,1.9957292767203618e-22,0.0,6.834676061246787e-22,2.677943086947956e-21,0.0,0.0,0.0,3.587949626712335e-21,2.2426282561725042e-42
0.02,0.3685028220468105,298.0000005027225,1.1300606954506611,0.7246720862121877,0.0,0.0,4.927104941878778e-22,0.05518666460726112,0.2201412348694957,2.9959267935334306e-11,0.0,1.1316332184169237e-39,0.0,9.170382138546836e-32,6.230801785197714e-19,1.427423464656241e-08,1.7096479446318639e-68,8.172247990472868e-29,6.866789388328129e-14,8.683565409435456e-15,6.343998902357882e-12,3.7110843985877496e-13,0.0,0.0,3.317777464216284e-23,2.390822378555376e-14,5.908062610463239e-33,1.1005196103805352e-49,4.453441677520207e-15,7.529869051202586e-39,0.0,8.9827435405051e-15,5.15755852741847e-28,8.955804027127029e-17,0.0,1.3057545674694093e-14,1.2244339956121472e-14,4.4300967445209355e-35,1.7322673340977857e-33,3.7354559213188064e-33,0.0,4.622603188764034e-17,3.684651685867052e-33,5.620012823889193e-22,0.0,0.0,1.7990940617509877e-21,0.0,6.460421634927831e-32,1.965174661354829e-22,3.5623383314768225e-21,1.4107100188207484e-28,2.4417863096292212e-27,0.0,1.8602438282329832e-23,2.3525026270410934e-21,5.525735914687402e-21,6.516558477031295e-26,1.202747845382879e-37,0.0,0.0,0.0,1.7960666989191416e-61,9.804571440022358e-58,0.0,0.0,0.0,5.127422907680938e-29,6.4821300348905655e-18,0.0,0.0,1.1064989024836452e-20,0.0,1.3327006320802451e-20,0.0,3.3746352710387307e-40,3.0421965044306705e-38,0.0,0.0,0.0,6.262750727099826e-21,0.0,6.352003523238496e-15,4.320636503955726e-37,1.8552736319780129e-31,0.0,0.0,0.0,0.0,0.0,4.479689357934083e-23,2.1147014961340904e-22,0.0,0.0,0.0,1.5231955597278367e-30,0.0,0.0,0.0,2.271465647307248e-22,7.602643321338307e-26,2.3866076522097187e-21,0.0,0.0,0.0,0.0,0.0,8.776110388040677e-22,0.0,5.715171330391359e-22,0.0,1.7305222262771855e-21,0.0,0.0,1.1139937744593972e-22,8.699356622481813e-41,4.1347374934182457e-38,4.2255213977275426e-33,0.0,3.645147919997385e-30,5.822456970043428e-38,4.666075923292083e-21,4.5511125087182746e-58,0.0,0.0,0.0,4.2259483950387484e-22,2.326443621728405e-26,2.0817823314843862e-22,0.0,6.834676217035311e-22,2.6779431384109977e-21,0.0,0.0,0.0,2.732797313199051e-20,0.0
0.024,0.3685041483541053,298.0000340686091,1.1300566281755693,0.7246718914471346,0.0,0.0,2.5782305140443136e-20,0.05518663689777559,0.22014117968798624,2.118293385274727e-09,0.0,0.0,0.0,9.957112899555579e-29,3.2597784543706e-17,2.8934073475037504e-07,2.5180499706599037e-68,8.172122923426024e-29,4.957996360606862e-12,9.025083153766352e-13,4.599844971891082e-10,3.5516537316125464e-11,4.878158822951603e-29,3.9116636080987756e-31,1.7358166830323096e-21,2.295634149882668e-12,3.068185747112089e-29,5.713689814219567e-46,3.998624067137685e-13,7.395021122058588e-45,2.0149038396440882e-38,8.780634096520534e-13,3.085284757619509e-24,9.958259928868856e-15,1.254815511735857e-34,1.2173332102992576e-12,1.239189294396635e-12,3.8032949841202997e-31,6.836656791687886e-30,1.1860295161801472e-29,2.9289899808145685e-28,5.1865410658802235e-15,3.6833405804256125e-33,5.620089215070841e-22,0.0,0.0,1.799094383050381e-21,0.0,5.756477089744751e-32,1.9645675445198242e-22,3.5623053484059136e-21,1.410710326767415e-28,3.7374563813699763e-29,0.0,1.8598732147070587e-23,2.3525070926047185e-21,5.5257377971306365e-21,6.516560865278047e-26,1.0719519346238906e-37,0.0,0.0,0.0,1.8055265786998404e-61,9.759614266576286e-58,0.0,0.0,0.0,5.126381511762601e-29,6.4821562018607966e-18,0.0,0.0,1.1065000483014839e-20,0.0,1.3327013969591991e-20,0.0,2.9981644434453633e-40,1.5829917087014829e-34,6.779067995272486e-31,0.0,0.0,6.2627529083550364e-21,0.0,6.68364955935124e-13,2.982424887336204e-36,1.9735958576794583e-31,0.0,0.0,0.0,0.0,0.0,4.479691457396403e-23,2.1147026223957394e-22,0.0,0.0,0.0,1.5101256530741683e-30,0.0,0.0,0.0,2.271411205108923e-22,7.602661350351417e-26,2.3866086290225252e-21,0.0,0.0,0.0,0.0,0.0,8.776114522545044e-22,0.0,5.715173814734007e-22,0.0,1.7305303866606787e-21,0.0,0.0,1.1139943506963198e-22,8.69927824896967e-41,4.2036426463508955e-38,4.225522900748056e-33,0.0,3.6451657080311966e-30,5.822486305402183e-38,4.666077489321272e-21,4.540668144249096e-58,0.0,0.0,0.0,4.1901639278701357e-22,2.255709869351978e-26,2.117576963632801e-22,0.0,6.834679420771536e-22,2.6779441996748914e-21,7.045810536413349e-20,0.0,0.0,3.1063444145501615e-18,0.0
0.025,0.36850884464482825,298.0003943261601,1.1300422266909467,0.7246712489436913,0.0,0.0,2.3967477028539665e-19,0.05518653319500232,0.22014098664952744,2.5491369657266963e-08,0.0,0.0,0.0,3.883904987105324e-27,2.980518243915987e-16,1.1993042880520578e-06,2.8313287185815644e-68,8.17176272715151e-29,6.082435701260956e-11,1.5546961740086783e-11,5.664916952467362e-09,5.661619481307332e-10,7.026636045100222e-27,5.547805938391352e-29,1.600257539076178e-20,3.6707100983858354e-11,4.220490045168565e-27,7.971731873988302e-44,6.004393355484746e-12,0.0,4.899233434017025e-36,1.4277787261434145e-11,3.0869498591037597e-21,1.8283655893284466e-13,1.8187208198017357e-32,1.8934494949888985e-11,2.0818951883441345e-11,5.939419013231189e-29,1.0233863741724545e-27,2.1916058177768032e-27,4.1765965824546014e-26,9.604752443135245e-14,3.6825887886898375e-33,5.620107482384907e-22,0.0,0.0,1.7990954551867443e-21,0.0,5.577742863347276e-32,1.9644200324915633e-22,3.5622610047757795e-21,1.4107113884992757e-28,2.2300845903209306e-30,0.0,1.8597538573967513e-23,2.352510613036054e-21,5.5257440468588895e-21,6.516568798183373e-26,1.0388038630009317e-37,0.0,0.0,0.0,1.807974994821611e-61,9.74912109330685e-58,0.0,0.0,0.0,5.125982095439752e-29,6.48244882298987e-18,0.0,0.0,1.106501893619186e-20,0.0,1.3327039311234035e-20,0.0,2.9016252240247515e-40,2.174035010583327e-32,9.614680061674757e-29,6.283316959621915e-30,0.0,6.262760141850488e-21,0.0,1.1649049604325578e-11,3.9042916783701033e-35,2.6030777372514375e-31,0.0,0.0,0.0,0.0,0.0,4.479698443767068e-23,2.1147060257778152e-22,0.0,0.0,0.0,1.5077853424750418e-30,0.0,0.0,0.0,2.27140094556654e-22,7.602783090642154e-26,2.386611866588068e-21,0.0,0.0,0.0,1.2360611378188535e-19,0.0,8.776128233780235e-22,0.0,5.715182051508872e-22,0.0,1.730534713330984e-21,0.0,0.0,1.113996258906367e-22,8.698952965707761e-41,4.2162518826631094e-38,4.225527747135949e-33,0.0,3.645705285148833e-30,5.822787083909691e-38,4.666083092522778e-21,4.538617680768364e-58,0.0,0.0,0.0,4.1835626910533567e-22,2.238169217388979e-26,2.124191094351422e-22,0.0,6.834690045846964e-22,2.6779477186773345e-21,1.4621150625033382e-18,0.0,0.0,6.579214476699292e-17,0.0
0.026,0.36854182611754105,298.0067961743736,1.1299410971739616,0.7246674844731296,0.0,0.0,3.75818945363326e-18,0.05518572517501465,0.22013964816234902,4.5807638064256754e-07,0.0,1.9045014303652965e-39,0.0,3.1369601073780594e-25,3.705899443508451e-15,6.561866467949859e-06,3.3606570568816914e-68,8.169937683816848e-29,1.115724003755771e-09,4.0822528097210515e-10,1.0434140083434634e-07,1.3703931754191741e-08,2.0963392063215027e-24,1.6228196815176288e-26,2.254386643211052e-19,8.913753589529559e-10,1.1913227750600766e-24,2.822431029166942e-41,1.3647126214638257e-10,0.0,1.4364504753399237e-33,3.5288371170084015e-10,1.2963396850185785e-18,5.132161505114538e-12,6.733762803080315e-30,4.4661633130426116e-10,5.325058676938005e-10,2.1875526788465422e-26,3.2459118711486445e-25,8.569038946306032e-25,1.2246541396862813e-23,2.7203179942618254e-12,3.681217103322804e-33,5.620178161126828e-22,0.0,0.0,1.7991019614179344e-21,0.0,5.325539772190959e-32,1.9642859186811079e-22,3.5616393071250224e-21,1.4107189192245963e-28,1.3421775462635106e-31,0.0,1.859152788728532e-23,2.3525297584267532e-21,5.525781129595312e-21,6.516616100165829e-26,9.929289446246902e-38,0.0,0.0,0.0,1.8149798565372994e-61,9.744664644719286e-58,0.0,0.0,0.0,5.123827598802684e-29,6.48771556658239e-18,0.0,0.0,1.1065120830439074e-20,0.0,1.332718954929819e-20,0.0,2.753053370383361e-40,6.1415477177564654e-30,2.8122447922550815e-26,2.422333350046958e-28,0.0,6.262802900789866e-21,0.0,3.096659002639361e-10,8.760180718871652e-34,1.8159509504906962e-30,0.0,0.0,0.0,0.0,0.0,4.4797399709242616e-23,2.1147261255840795e-22,0.0,0.0,0.0,1.5073448168131681e-30,0.0,0.0,0.0,2.2714073315479355e-22,7.604791506720402e-26,2.3866311117238938e-21,0.0,0.0,0.0,4.761800978456507e-18,0.0,8.776209644945092e-22,0.0,5.715231003712243e-22,3.478495529863627e-70,1.7305512390894204e-21,0.0,0.0,1.114007546860349e-22,8.695215409684115e-41,4.2249659294607755e-38,4.22555685244204e-33,0.0,3.674408478522641e-30,5.828050971804844e-38,4.666116591292458e-21,4.5412571945512825e-58,0.0,0.0,0.0,4.1787176927335804e-22,2.2207735979694944e-26,2.1291044940447845e-22,0.0,6.834753140681178e-22,2.677968644559063e-21,4.43362966497277e-17,0.0,0.0,2.145390854070258e-15,4.136224417321366e-38
0.026499999999999996,0.36865421205193366,298.05024026912275,1.1295966294265098,0.7246587811854567,0.0,0.0,6.271812095654731e-17,0.0551825873092522,0.22013503858450242,3.5142587094880303e-06,3.672466310555298e-57,5.6496453361651936e-37,0.0,1.01111720349594e-23,2.0617922613879354e-14,1.9082756757381912e-05,3.784398366764576e-68,8.1663498769769e-29,8.719963197993473e-09,4.403286924356052e-09,8.181640361268217e-07,1.3731281242115303e-07,1.2031447939215239e-22,8.82569801813697e-25,2.6828878853979064e-18,8.957799058227593e-09,6.285381635569019e-23,4.395681802831105e-39,1.2916258022460935e-09,0.0,7.844723075510774e-32,3.603634480585556e-09,2.0509079391340403e-16,5.888199176068853e-11,1.0975593255992099e-27,4.371310882225086e-09,5.610684196155937e-09,2.958189791927877e-24,2.4426801097843755e-23,6.868162277466071e-23,6.682164234207682e-22,3.146922967937909e-11,3.689777599842456e-33,5.620712374059272e-22,0.0,0.0,1.7991186621846045e-21,0.0,4.966811430073167e-32,1.9642409945485352e-22,3.558830422353559e-21,1.4107509292027492e-28,1.3152558908570117e-32,0.0,1.8564940751960655e-23,2.3525785130328626e-21,5.525868492902202e-21,6.516731096051258e-26,9.317342019823033e-38,0.0,0.0,0.0,1.846320002956092e-61,9.785718905664143e-58,0.0,0.0,0.0,5.114783218736615e-29,6.523815900860022e-18,0.0,0.0,1.1065361129706416e-20,0.0,1.3327547294812165e-20,0.0,2.4888825977234255e-40,3.231949476372947e-28,1.529326403332348e-24,3.569526521350079e-27,0.0,6.26290118103849e-21,0.0,3.379767558549155e-09,8.244550212806187e-33,1.3223759519977773e-29,0.0,0.0,0.0,0.0,0.0,4.4798399980616716e-23,2.1147743589082018e-22,0.0,0.0,0.0,1.5153765826497763e-30,0.0,0.0,0.0,2.2714555944605032e-22,7.618121410181979e-26,2.386677261346983e-21,0.0,0.0,0.0,6.984966724897286e-17,0.0,8.776404276040333e-22,0.0,5.7153483620569875e-22,2.616026958933894e-69,1.7305872263675444e-21,1.1594238072995925e-52,0.0,1.11403367604019e-22,8.679485932056839e-41,4.22689660516746e-38,4.225631504381317e-33,0.0,4.255292849764672e-30,5.863705906475982e-38,4.6661969518076596e-21,4.575067245359994e-58,0.0,0.0,0.0,4.176775600388744e-22,2.2121077595194785e-26,2.1312065295663445e-22,0.0,6.8349041246594045e-22,2.6780188976125958e-21,5.449866600034402e-16,0.0,0.0,2.8274888973442038e-14,2.044370237207292e-35
0.026999999999999996,0.3693612487548961,298.4571494848061,1.1274343390421249,0.7246290340576728,0.0,0.0,2.951816100945942e-15,0.05516098682910286,0.22010433243162902,3.328976242328972e-05,2.308818708314466e-52,3.0503102088831566e-34,0.0,1.174846676107646e-21,1.389068252185512e-13,6.219985732440974e-05,4.330056206610394e-68,8.156139158820917e-29,8.437419788353419e-08,5.980690660856741e-08,7.93472631913114e-06,1.7276275256983787e-06,1.370687584940702e-20,7.287941476977641e-23,1.0465930902505194e-16,1.1304591995641908e-07,5.037113229908077e-21,2.5363108493932354e-36,1.53001446465525e-08,0.0,7.145527251284088e-30,4.625378390284217e-08,2.3040158080605506e-14,8.542648942821652e-10,6.378946185008873e-25,5.36513404790496e-08,7.443246761091015e-08,1.5847267223014928e-21,6.587618127009436e-21,1.1777968413757707e-20,5.551599594843675e-20,4.605282937932295e-10,3.8238446150421374e-33,5.626353983848635e-22,0.0,0.0,1.7991927876592164e-21,0.0,3.7230949669467857e-32,1.9641993444014462e-22,3.536185128449152e-21,1.4110831596205544e-28,0.0,0.0,1.8333900347414294e-23,2.3527205955967067e-21,5.526153757585413e-21,6.51718114743225e-26,7.395628597877608e-38,0.0,0.0,0.0,2.134332700611289e-61,1.025436014047077e-57,0.0,0.0,0.0,5.040316606765864e-29,6.879618187243068e-18,0.0,0.0,1.1066226082003071e-20,0.0,1.3328851039295169e-20,0.0,1.290292481123079e-40,2.5615728509347066e-26,1.2629760162798772e-22,6.966933956431333e-26,0.0,6.2631728244180896e-21,0.0,4.6527799444512234e-08,9.489911563837655e-32,1.4646021772301624e-28,0.0,0.0,0.0,0.0,0.0,4.480224773217621e-23,2.1149579305381925e-22,0.0,0.0,0.0,1.5977992502440115e-30,0.0,0.0,0.0,2.2718409106634457e-22,7.742953542973349e-26,2.3868471756513564e-21,0.0,0.0,0.0,1.3081026227165157e-15,0.0,8.777117259718416e-22,0.0,5.715782093314742e-22,2.412830379032333e-68,1.7307153325543042e-21,9.880585769624183e-52,0.0,1.1141032679701542e-22,8.570516604089169e-41,4.215970277979685e-38,4.2259977570883234e-33,0.0,2.0120435082644122e-29,6.207269131822057e-38,4.6664886143903755e-21,4.953040893994875e-58,0.0,0.0,0.0,4.1757029496937483e-22,2.203196852417155e-26,2.1328599913044587e-22,0.0,6.835460273045247e-22,2.6782049132934497e-21,8.498896330988028e-15,0.0,0.0,4.742736636028342e-13,3.185247544103366e-32
0.027249999999999996,0.37148067269796015,299.9312108405341,1.1210019415904775,0.7245858291067002,0.0,0.0,6.587964885612863e-14,0.055094384322959815,0.2200038299779148,0.00014528849489719303,9.019644328785411e-49,2.3747663273738322e-32,0.0,5.700109641109525e-20,5.265794847426372e-13,0.00012306781558691382,4.5849606033476825e-68,8.144589438173329e-29,3.790992072858311e-07,3.5068733018831393e-07,3.532633520615364e-05,9.56700491303634e-06,7.192098027318686e-19,1.492465813720343e-21,2.298009066730868e-15,6.274591082379429e-07,1.0262916969948904e-19,3.468446881749647e-34,8.049028174355599e-08,2.8480174567439664e-39,4.275332927856331e-28,2.604793653548638e-07,9.90004759104979e-13,5.347613426982804e-09,7.969831049789984e-23,2.9085740985656315e-07,4.313085735185836e-07,2.0971991740139579e-19,6.856005281557536e-19,9.161841986943912e-19,1.1631868828683284e-18,2.9046628551626595e-09,4.4249931366840815e-33,5.648279901656697e-22,0.0,0.0,1.7993694572395817e-21,0.0,2.529237269627838e-32,1.9636802052956437e-22,3.483451218830022e-21,1.412864878869484e-28,0.0,0.0,1.7728612114547012e-23,2.3520161009549816e-21,5.526320996554463e-21,6.518087069810243e-26,6.395702792308295e-38,0.0,0.0,0.0,3.521984769836846e-61,1.2380795453702329e-57,0.0,0.0,0.0,4.842493494309503e-29,8.437737669170035e-18,0.0,0.0,1.1067458481455612e-20,0.0,1.3330959753043114e-20,0.0,0.0,4.988211597703968e-25,2.589833353148712e-21,6.324504996121767e-25,0.0,6.262911575646711e-21,0.0,2.7830324567231664e-07,4.589939982680993e-31,5.649979150952866e-28,0.0,7.978130818148934e-34,1.7986062777354587e-42,0.0,0.0,4.481020067401301e-23,2.115323029683177e-22,0.0,0.0,0.0,1.93342944556853e-30,8.111778723684196e-33,0.0,0.0,2.2741266910206157e-22,8.208195863515452e-26,2.3871160865310222e-21,0.0,0.0,0.0,1.025758079356184e-14,0.0,8.77824519288142e-22,0.0,5.7164913647861255e-22,2.0042342384221282e-67,1.7309024331245504e-21,0.0,0.0,1.1139013291914259e-22,8.332561226383165e-41,4.184753276952755e-38,4.2272417190490676e-33,0.0,1.8387319236086272e-28,7.618328030220672e-38,4.666907321914532e-21,7.078458135205072e-58,0.0,0.0,0.0,4.176602010266292e-22,2.197736965031317e-26,2.1328785411814353e-22,0.0,6.8363698546447715e-22,2.6785057780195886e-21,5.6678849075217556e-14,0.0,0.0,3.3722424133781358e-12,1.0511273465477195e-29
