grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_C2H3F2(66),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_CF2O2(848),Y_S(961),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3687),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(6705),Y_S(6716),Y_S(7175),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074),Y_S(11306),Y_S(11379),Y_S(11400),Y_S(11401),Y_S(11405),Y_S(11595)
0.0,0.15978128835422437,298.0,1.2117471981534984,0.6666568594891156,0.0,0.08005722468839692,1.3144843151001333e-14,0.05076857466397795,0.20251734115788644,1.1504270149966037e-16,3.685376647725076e-14,0.0,2.5113636568370847e-15,3.104051144811695e-16,0.0,3.2349833619691244e-14,3.6797012206911306e-68,0.0,0.0,1.08642339043646e-14,4.817798441296323e-16,0.0,0.0,0.0,0.0,2.930529114071255e-17,0.0,0.0,0.0,0.0,0.0,4.18185655939163e-17,0.0,0.0,4.666083479759571e-15,0.0,0.0,3.638542860611081e-14,0.0,1.15540132799615e-30,6.108097126711483e-24,1.0774293264694974e-16,0.0,0.0,3.689252776483314e-16,6.917023939068727e-17,0.0,0.0,0.0,2.004692849892679e-16,1.6285059426809898e-17,5.196648235926992e-15,0.0,3.2369109688099542e-15,4.117256003343143e-15,1.0280442512409962e-17,0.0,1.9977927948006477e-17,0.0,0.0,1.6751248832990077e-31,7.676706405024158e-22,0.0,4.0845165214733963e-32,3.011538889914688e-33,0.0,9.413570052823905e-23,3.702791108059322e-17,2.0980880426610556e-23,1.8408699593100355e-14,0.0,6.298204715883686e-16,1.3273681073876808e-19,0.0,1.2548782984300136e-13,0.0,2.1422152592130395e-29,5.291183176605997e-28,0.0,0.0,2.3770772169763e-16,0.0,3.5874832314224646e-14,5.542912773231585e-18,4.951083255287349e-18,0.0,1.33235128255532e-20,2.198556350542489e-49,0.0,0.0,0.0,0.0,1.618543757950551e-19,0.0,0.0,9.261116463460465e-17,0.0,0.0,9.442527347046037e-21,1.1422634107515046e-16,0.0,2.3351415725905394e-16,0.0,1.5384255374188646e-13,5.0587241056140616e-17,1.0467135038312068e-14,0.0,4.035340055566316e-19,0.0,0.0,1.9942459659682874e-19,1.6091893349876062e-15,1.3078079599729995e-20,0.0,0.0,2.232270474779121e-15,0.0,2.2485938834308173e-14,0.0,0.0,0.0,6.099551665513459e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1143178435007231e-25,6.905562985499447e-14,1.8087995498502525e-19,8.631164030721076e-24,8.357825357772644e-20,0.0,0.0,0.0,0.0,2.9520009504827482e-15,0.0,1.5027922605389157e-18,1.0765113790840753e-20,4.731537503721108e-27,2.7811097920682022e-14,4.917006899180672e-20,0.0,0.0,0.0,1.8002879324571117e-19,6.1678378017622235e-19,7.748458285870367e-18,0.0
0.016,0.15978128835763308,298.00000000191244,1.211747198127642,0.6666568594881468,0.0,0.0800572246882554,8.373354795983857e-18,0.050768574663893506,0.20251734115765618,1.4491378274721086e-14,2.145851526377355e-21,0.0,2.511363656714302e-15,0.0,1.4351879111781172e-18,1.1451597545388327e-12,8.522730171616841e-67,0.0,0.0,1.0874535351569456e-14,6.187019508839137e-14,0.0,0.0,0.0,7.8291188548513e-21,5.019422848442283e-15,0.0,0.0,0.0,0.0,0.0,4.181856720664644e-17,8.965289795248189e-28,0.0,9.403841106094078e-22,0.0,0.0,8.633989513207065e-20,0.0,2.408362968953488e-28,1.2193820095885792e-21,1.0774598050230434e-16,0.0,0.0,3.689252804183283e-16,6.917029016869159e-17,0.0,0.0,0.0,1.6096150506519246e-16,4.202997111962675e-15,5.196648237245731e-15,1.6219010852900455e-35,5.455893123797183e-18,9.223636186420423e-15,2.5848208974702027e-15,0.0,1.9969552191912895e-17,0.0,0.0,2.1180576167661102e-38,2.696400726428171e-19,0.0,2.2777289982278565e-29,1.6993740004831527e-30,0.0,4.1029235879976595e-20,1.5923441190080073e-14,7.027985852099101e-21,5.963268516809045e-18,0.0,2.608539964881644e-13,4.9858321285737524e-17,0.0,1.2548785279803657e-13,0.0,9.387544270416114e-27,1.0517688256351147e-25,0.0,0.0,5.046298978731277e-14,0.0,3.587483231486669e-14,3.251001230822652e-24,9.499406676342484e-16,0.0,4.489104002439906e-18,7.724373451088481e-47,1.0544593355738241e-32,0.0,0.0,0.0,0.0,0.0,0.0,2.2204183756369794e-23,0.0,0.0,9.393226937029918e-21,1.9737867615707765e-22,0.0,2.1665102083993915e-16,0.0,1.582642838624745e-13,3.440858336102427e-22,1.0467135038411453e-14,0.0,4.041634535741343e-19,0.0,0.0,1.05006377168415e-16,1.6089554476804942e-15,6.5397244490803185e-18,0.0,0.0,2.2322656328080063e-15,0.0,2.2485938822543164e-14,0.0,8.404338586702325e-36,3.35321941886979e-33,6.099551660791742e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8489120377372177e-23,6.905562985607588e-14,9.166569842448625e-17,4.466687456309254e-21,4.221946620470128e-17,0.0,0.0,0.0,0.0,4.6348939841595295e-21,0.0,6.059423631698388e-16,3.874748521787812e-18,1.7486640281862723e-24,2.7811051307858314e-14,1.2679440935805651e-17,0.0,0.0,0.0,9.275941006457493e-17,3.140573223063568e-16,3.04035049996633e-15,0.0
0.032,0.15978128844256212,298.0000000019037,1.2117471974835592,0.6666568594518381,0.0,0.0800572246943539,0.0,0.050768574660736844,0.20251734115154174,1.3869195752237744e-14,1.2542650178821416e-28,0.0,2.511363657071805e-15,0.0,9.068876828018394e-23,4.063571448327039e-11,8.542751668078505e-67,0.0,0.0,1.087453537602017e-14,6.187395752815195e-14,0.0,0.0,0.0,0.0,5.019424106182048e-15,0.0,0.0,0.0,0.0,0.0,4.1818574706028394e-17,2.2528199540668677e-30,0.0,1.899129959150534e-28,0.0,0.0,2.0526360778876438e-25,0.0,2.9980661904333223e-28,5.620014255863491e-27,1.0774597580181754e-16,2.552777677934315e-27,0.0,3.689255840115331e-16,6.917031740134549e-17,0.0,0.0,8.532098593101362e-28,1.3597042644702421e-16,4.210513090208111e-15,5.19664825331835e-15,0.0,9.211763752530613e-21,8.990590688559758e-15,2.518165381534291e-15,0.0,1.9962072828016033e-17,0.0,0.0,2.950577173954826e-45,0.0,0.0,2.2777289973948838e-29,1.699374004420808e-30,0.0,3.9971205299649463e-20,1.5513304787893743e-14,6.846753169861595e-21,5.96318838887951e-18,3.998573984681154e-28,2.539163214791843e-13,4.9858322193948234e-17,0.0,1.254878757690489e-13,0.0,5.932003625997882e-31,2.0381127147745872e-25,0.0,0.0,5.046310904421641e-14,0.0,3.587483231804771e-14,0.0,0.0,0.0,4.057564634867841e-19,7.52932078537668e-47,0.0,2.716072880026443e-32,0.0,0.0,0.0,0.0,0.0,6.20193023999071e-30,0.0,0.0,9.342457163106103e-21,3.237281600974074e-25,0.0,2.0100471997142628e-16,0.0,1.5826456301135043e-13,3.425715363151025e-22,1.046713503916228e-14,0.0,4.050083509544625e-19,0.0,0.0,1.0500640231838787e-16,1.6089554466361688e-15,6.463211287762296e-18,0.0,0.0,2.2322599709784803e-15,0.0,2.248593881416238e-14,0.0,5.050493670730538e-36,2.571631912706262e-33,6.09955165689613e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643187093787841e-23,6.905562986193432e-14,8.863395563908726e-17,3.4714193456120136e-21,4.5252412024096374e-17,0.0,0.0,0.0,0.0,4.0768000134582486e-23,0.0,1.4548741090332203e-16,7.033694837156723e-18,1.6797602962402087e-24,2.7811004692825006e-14,2.4570147704222963e-17,0.0,0.0,0.0,2.8047163575562966e-17,3.1447701853997656e-16,3.532469846784538e-15,0.0
0.04,0.159781289583454,298.00000000191466,1.2117471888312812,0.6666568589641098,0.0,0.08005722477618084,0.0,0.050768574618325846,0.20251734106939256,1.43734379532827e-14,1.4887743376408928e-35,0.0,2.5113636598658885e-15,0.0,0.0,5.711006238046094e-10,1.0266853113962676e-66,0.0,0.0,1.0874536073286083e-14,6.205602496274758e-14,0.0,0.0,0.0,0.0,5.019424679528035e-15,0.0,0.0,0.0,0.0,0.0,4.181890164788914e-17,0.0,0.0,6.508694025222076e-35,0.0,0.0,1.2659343146089758e-30,0.0,2.8515879757710737e-28,5.417282294095307e-32,1.0774597505554726e-16,2.409757805182735e-27,0.0,3.6894582392439355e-16,6.917228471929814e-17,0.0,0.0,0.0,1.276413288381549e-16,4.210782880011746e-15,5.19664941019957e-15,0.0,3.126426565804804e-23,8.875325890202251e-15,2.4848125967304664e-15,0.0,1.9958558272984903e-17,0.0,0.0,0.0,0.0,0.0,2.2777289857917315e-29,1.699373995763605e-30,0.0,3.9441791446223677e-20,1.5307833105031098e-14,6.7560687298111235e-21,5.963188386468533e-18,3.999928229489785e-28,2.505469873570185e-13,4.9858322055185246e-17,9.40980483040152e-41,1.2548788741200222e-13,0.0,0.0,2.5159463970196195e-25,0.0,0.0,5.0463109151929936e-14,0.0,3.5874832352433275e-14,0.0,0.0,0.0,6.736740179102691e-20,7.432790356188032e-47,0.0,3.256699609869027e-32,0.0,0.0,0.0,0.0,0.0,8.729030758433582e-31,0.0,0.0,9.316708159039542e-21,3.2249241423077965e-25,0.0,1.9347466600373216e-16,0.0,1.5826456314793501e-13,3.4257153531956197e-22,1.0467135049160889e-14,0.0,4.054307999135235e-19,0.0,0.0,1.0500640245060281e-16,1.6089554478185849e-15,6.425387035282e-18,0.0,0.0,2.232256938722939e-15,0.0,2.2485938833196302e-14,0.0,3.403653965675581e-36,1.850828825678486e-33,6.099551670724326e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.544167851505727e-23,6.905562992950706e-14,8.843069429697807e-17,3.0367508202928457e-21,4.545610550297224e-17,0.0,0.0,0.0,0.0,1.9711634807679844e-23,0.0,8.023859834405879e-17,8.449809191352438e-18,1.6448605464413998e-24,2.7810981358622485e-14,3.033059316613955e-17,0.0,0.0,0.0,1.3038877273171231e-17,3.1397072776000083e-16,3.605357911473739e-15,0.0
0.044,0.15978129753145756,298.0000000022756,1.21174712855533,0.6666568555664402,0.0,0.08005722534619295,0.0,0.050768574322847745,0.2025173404971009,3.383769339448385e-14,3.582158435926486e-42,0.0,2.5113636765818215e-15,0.0,0.0,4.266505750453437e-09,3.2060914456085237e-66,0.0,0.0,1.0874559594739819e-14,6.649912760110153e-14,0.0,0.0,0.0,0.0,5.0194400228537605e-15,0.0,0.0,0.0,0.0,0.0,4.18295223172752e-17,0.0,0.0,0.0,0.0,0.0,2.8270463740704003e-31,0.0,2.7795351809089503e-28,4.093886549697668e-33,1.077459942625434e-16,2.348975965548486e-27,0.0,3.696322758431318e-16,6.924500835596347e-17,0.0,0.0,0.0,1.2442189821450747e-16,4.210921126378945e-15,5.196696625438768e-15,0.0,2.129224086469319e-25,8.8185424428394e-15,2.4683545869977208e-15,0.0,1.9957034621207103e-17,0.0,0.0,1.964099149109846e-41,0.0,0.0,2.2777289050619872e-29,1.6993739355350555e-30,0.0,3.918054939099137e-20,1.5206441845016085e-14,6.711319953334659e-21,5.963188369892205e-18,3.999928125051992e-28,2.4888906956086377e-13,4.9858322337648054e-17,2.4702341686301856e-40,1.254878942512673e-13,0.0,0.0,2.751018735393487e-25,0.0,0.0,5.0463109573825585e-14,0.0,3.5874832666182657e-14,0.0,0.0,0.0,1.9229237785518132e-20,7.385236084267189e-47,0.0,3.49223579860391e-32,0.0,0.0,0.0,0.0,0.0,8.729004031367056e-31,0.0,0.0,9.303743505975476e-21,3.2233210300138815e-25,0.0,1.8978177122454173e-16,0.0,1.582645641943753e-13,3.425715372659817e-22,1.0467135123408838e-14,0.0,4.0564202729222155e-19,0.0,0.0,1.0500640332998526e-16,1.6089554592614547e-15,6.406752056018718e-18,0.0,0.0,2.2322553899679685e-15,0.0,2.2485938984053505e-14,0.0,2.5930120040590592e-36,1.4653261689499283e-33,6.099552628734878e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4956068794697208e-23,6.905563039022831e-14,8.840672119059558e-17,2.8341279200978422e-21,4.5480281820214886e-17,0.0,0.0,0.0,0.0,1.3058859843618328e-23,0.0,6.566910019418852e-17,9.118479723459032e-18,1.6273141843055315e-24,2.7810970605761634e-14,3.3164469122161084e-17,0.0,0.0,0.0,8.284566093412298e-18,3.1360476575643e-16,3.6224480261123285e-15,0.0
0.048,0.15978137400985942,298.0000000137886,1.211746548559862,0.6666568228751941,0.0,0.08005723083070374,0.0,0.05076857147905022,0.20251733499034621,6.659116769558902e-13,0.0,0.0,2.511363832600032e-15,0.0,0.0,3.982297113136029e-08,1.060346051090111e-65,0.0,0.0,1.0875657243650751e-14,2.1255060902069375e-13,8.725665723136709e-16,0.0,0.0,0.0,5.020105154344994e-15,0.0,2.4202874177011283e-47,2.7764055080090653e-16,0.0,0.0,4.229992442794886e-17,0.0,0.0,0.0,0.0,0.0,2.8273792797230417e-31,0.0,2.7081550104915194e-28,3.978046005333067e-33,1.0774695843805787e-16,2.3029074707076396e-27,4.4609658851747796e-14,4.0091242235587506e-16,7.28549597037539e-17,0.0,0.0,0.0,1.2198259341038055e-16,4.211178036605657e-15,5.199293421257468e-15,0.0,1.4656648193206673e-27,8.762861009528045e-15,2.4522027855563684e-15,0.0,1.9967915500577105e-17,0.0,0.0,0.0,0.0,0.0,2.2777281312736554e-29,1.6993733582965998e-30,0.0,3.892415353588831e-20,1.5106931383945407e-14,6.667400723309299e-21,5.963188216513377e-18,3.999926382038469e-28,2.472640910999053e-13,4.985832571947319e-17,2.4702624251286657e-40,1.2548791068743027e-13,0.0,0.0,2.9822921705395384e-25,0.0,0.0,5.0463119409180366e-14,0.0,3.587484193746175e-14,0.0,0.0,0.0,5.490334406065726e-21,7.3386047220669835e-47,0.0,3.708889737723256e-32,0.0,0.0,0.0,0.0,0.0,8.728228692757543e-31,0.0,0.0,9.290694584574388e-21,3.222436822702767e-25,0.0,1.8615891955916517e-16,0.0,1.5826457434674892e-13,3.4257156065792744e-22,1.0467136201919888e-14,0.0,4.0585328846769434e-19,0.0,0.0,1.0500641192123857e-16,1.608955576227784e-15,6.388467899090798e-18,0.0,0.0,2.232254166362557e-15,0.0,2.2485940428768113e-14,0.0,1.8189075035606202e-36,1.086019743345931e-33,6.099618815843707e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4479680619069245e-23,6.905563479013077e-14,8.84011323388651e-17,2.6451362971522128e-21,4.5486070477763894e-17,0.0,0.0,0.0,0.0,8.842805578599772e-24,0.0,5.904924500687855e-17,9.749649729801079e-18,1.6096872133158138e-24,2.781100909110199e-14,3.595254798214919e-17,0.0,0.0,0.0,5.26728245721026e-18,3.131680514882575e-16,3.630769883157406e-15,0.0
0.049,0.15978149617905182,298.0000000719168,1.2117456220565592,0.6666567706641336,0.0,0.08005723959025227,0.0,0.05076856693357242,0.20251732619378676,3.9083766682219585e-12,0.0,0.0,2.5113640844012395e-15,0.0,0.0,9.66122526069738e-08,1.4098666106530268e-65,0.0,0.0,1.0883773503661846e-14,9.763888177998382e-13,1.2303687061679815e-14,0.0,0.0,0.0,5.024689531823328e-15,0.0,1.2375447492832746e-46,3.0343938574966648e-15,3.577777866621684e-50,0.0,4.560067367593696e-17,0.0,0.0,0.0,0.0,0.0,2.8274981753539598e-31,0.0,2.6890972826684055e-28,3.9457186132006674e-33,1.0775465569170048e-16,2.2922819025360004e-27,2.918112347202699e-13,6.265609779599582e-16,1.0119302460141204e-16,0.0,0.0,0.0,1.2142116007359715e-16,4.212378435114954e-15,5.221860930098891e-15,0.0,4.045731233593291e-29,8.749604594860888e-15,2.448323834647921e-15,0.0,2.0104740710795174e-17,0.0,0.0,0.0,0.0,2.4896937826231858e-55,2.277726910122776e-29,1.6993724475799396e-30,0.0,3.886255691289577e-20,1.508302464037145e-14,6.65684869644759e-21,5.963188001771355e-18,3.999923619382077e-28,2.468724400792815e-13,4.985833132851258e-17,2.4702697155434285e-40,1.254879290982385e-13,0.0,0.0,3.0398654829306547e-25,0.0,0.0,5.0463188427540346e-14,0.0,3.587492588314535e-14,0.0,0.0,1.445647430277698e-30,3.393016533873915e-21,7.327502942508715e-47,0.0,3.759560417202846e-32,0.0,0.0,0.0,0.0,0.0,8.729017402825447e-31,0.0,0.0,9.28746620138136e-21,3.222244725173251e-25,0.0,1.8525772866381575e-16,0.0,1.5826459061046287e-13,3.425715999832262e-22,1.0467142611062515e-14,0.0,4.0590627383627906e-19,0.0,0.0,1.050064255287202e-16,1.6089557636050429e-15,6.3840508980567246e-18,0.0,0.0,2.2322572689418683e-15,0.0,2.2485942857376197e-14,0.0,1.7722508250580153e-36,1.0447793529408234e-33,6.100343892182823e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436119475247516e-23,6.90556418319377e-14,8.840038507508976e-17,2.5987442293274984e-21,4.548688115551681e-17,0.0,0.0,0.0,0.0,7.924045844507878e-24,0.0,5.777866258695124e-17,9.90504792664831e-18,1.6052767529040917e-24,2.7811462183419392e-14,3.6646613391034966e-17,0.0,0.0,0.0,4.609482655957529e-18,3.1305498448064866e-16,3.6324203310170586e-15,0.0
0.05,0.15978188184954795,298.00000057628665,1.211742697228676,0.6666566059283794,0.0,0.08005726723010657,0.0,0.05076855256455742,0.20251729842483773,3.2461597662153054e-11,2.0141089784894864e-44,0.0,2.5113649197604736e-15,0.0,0.0,2.758083549600956e-07,1.923268012469763e-65,0.0,0.0,1.0984679605004702e-14,7.82640531836519e-12,1.4483590509693926e-13,0.0,0.0,0.0,5.0780075390274926e-15,0.0,0.0,3.306549600999326e-14,3.900882592955329e-49,0.0,8.464010487380805e-17,0.0,0.0,6.005571854302366e-35,9.856085502420824e-15,0.0,2.8277444913363833e-31,0.0,2.659528839269712e-28,3.904417951103692e-33,1.0785814665611625e-16,2.2825456934615964e-27,2.4744918477291765e-12,3.3664044234475857e-15,4.741220281306845e-16,0.0,0.0,0.0,1.2090980221321786e-16,4.23234029461215e-15,5.54921591240449e-15,0.0,1.2789172185667387e-31,8.741538012883847e-15,2.445700201406395e-15,0.0,2.259146511974761e-17,0.0,0.0,1.832908014437814e-41,0.0,2.4919517396233694e-55,2.2777231756530176e-29,1.6993696645023516e-30,0.0,3.882083101507543e-20,1.5066827354532395e-14,6.649698229758004e-21,5.963187568277688e-18,3.999915065811508e-28,2.465951026331316e-13,4.9858349142645e-17,2.470278964160403e-40,1.254879841646754e-13,0.0,0.0,3.0972007375709237e-25,0.0,0.0,5.04641337132561e-14,0.0,3.587641726418928e-14,0.0,0.0,2.8676261074955367e-29,2.101079257427692e-21,7.320747721167674e-47,0.0,3.805251791416511e-32,0.0,0.0,0.0,0.0,0.0,8.729044330956194e-31,0.0,0.0,9.285031285994415e-21,3.2220750902386e-25,0.0,1.8436094403718085e-16,0.0,1.5826464201354274e-13,3.42571729214404e-22,1.046725901189844e-14,0.0,4.0596240780479983e-19,0.0,0.0,1.050064685518669e-16,1.6089564460975103e-15,6.3808468658235185e-18,0.0,0.0,2.2323304121883254e-15,0.0,2.2485952801029044e-14,0.0,3.23927525834097e-36,1.906578590946741e-33,6.113533629106321e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4243331262964475e-23,6.905566411837597e-14,8.840001207676577e-17,2.5531779987718582e-21,4.5487354139842705e-17,0.0,0.0,0.0,0.0,7.121266388121773e-24,0.0,5.679480971869702e-17,1.005813766675181e-17,1.6008648212486823e-24,2.7818431584510382e-14,3.733780736119191e-17,0.0,0.0,0.0,4.034526042431329e-18,3.1293864834092854e-16,3.633745899933483e-15,0.0
0.051000000000000004,0.15978310030616122,298.0000049525307,1.2117334568532494,0.6666560862130807,0.0,0.08005735444336054,3.4855882788718835e-19,0.050768507014709925,0.2025172106948194,2.839004910520703e-10,0.0,2.9283214184747385e-54,2.5113685055078717e-15,1.3581316983466821e-27,1.1097367660454096e-23,8.412560668213048e-07,2.6627356630567825e-65,0.0,1.8722836457962775e-14,1.2239210029972262e-14,6.925681511170677e-11,1.6814172969989146e-12,0.0,6.783287515423497e-36,1.1733412631552979e-20,5.698126829334729e-15,0.0,8.00395764724771e-45,3.602149172353062e-13,0.0,1.6441052101950554e-37,5.463806080297195e-16,1.1446834504477918e-27,0.0,3.6042473938752756e-34,1.3724523224460042e-13,7.126368040878548e-16,3.579215578612144e-31,0.0,2.5366544696755654e-28,3.346202899507103e-33,1.09250875787062e-16,2.2755166881156592e-27,2.174666620799581e-11,3.6633922282472074e-14,5.38188525382633e-15,0.0,0.0,1.064236571820875e-28,1.205511467188103e-16,4.5735519731185005e-15,1.0297750029510959e-14,9.12822747174336e-34,0.0,8.777121965015744e-15,2.4539563494706235e-15,0.0,6.766646349823548e-17,0.0,1.130914065558901e-31,6.666641471939474e-42,1.1566275531415192e-20,2.049335697412935e-50,2.277712422615049e-29,1.6993616691404314e-30,0.0,3.895162410682902e-20,1.5117563518576544e-14,6.6720923799209704e-21,5.9631883183670085e-18,3.9998895030695447e-28,2.473046494373039e-13,4.985841120094695e-17,2.4703005126991923e-40,1.2548815494308318e-13,0.0,7.258706350972368e-32,3.154300579676408e-25,0.0,0.0,5.0477475437831134e-14,0.0,3.5903619644803123e-14,3.7487179682421075e-26,0.0,3.263468387849766e-28,1.3940777243477448e-21,7.350550485162444e-47,9.255385706381753e-33,3.823590417500701e-32,0.0,0.0,0.0,0.0,0.0,8.730654479211691e-31,0.0,0.0,9.2994673917369e-21,3.2219379494639414e-25,0.0,1.8346863510696254e-16,0.0,1.5826480773321556e-13,3.4257221498770227e-22,1.0469658822539618e-14,0.0,4.060913904731868e-19,0.0,0.0,1.0500660445672424e-16,1.6089608357766145e-15,6.3881916600090716e-18,0.0,0.0,2.2339536783910658e-15,1.6158197311030166e-40,2.248603330583541e-14,0.0,2.1348068501050173e-35,2.710103779471461e-32,6.353559763722929e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4126198179199918e-23,6.905573654411886e-14,8.839991173385041e-17,2.508424403014362e-21,4.5487672117357595e-17,0.0,0.0,0.0,0.0,6.419794544450614e-24,0.0,5.603031014134521e-17,1.0208948301787205e-17,1.5964586883034167e-24,2.792524821517275e-14,3.802614944961665e-17,5.4200112959421035e-37,0.0,0.0,3.5319730964895465e-18,3.128196642196471e-16,3.634820915198781e-15,0.0
0.052000000000000005,0.1597869580603224,298.00004292178653,1.2117042018394686,0.6666544469890437,0.0,0.08005762963076826,6.187962940866853e-18,0.05076836160172953,0.20251693291062428,2.4980873434750798e-09,1.0665804757527511e-40,9.714684548556156e-53,2.5113993919549932e-15,7.576175643336344e-26,1.5754067480178518e-23,2.6255307397638297e-06,3.739273671785136e-65,0.0,3.3347648178104707e-13,1.749328032168938e-14,6.201661251876564e-10,1.9496761563537028e-11,2.0479642723643637e-32,2.326085850405891e-35,2.084838227148935e-19,1.2910573027587745e-14,0.0,1.4169537456377094e-42,3.9241175063240436e-12,1.564530934427665e-47,3.414406169267618e-36,6.0076956293068604e-15,2.956837871275029e-26,0.0,4.262057908716531e-32,1.5757276553053154e-12,2.9612239278281407e-14,1.273775635245323e-30,0.0,2.451905847639813e-28,5.765219262186315e-32,1.279962101453232e-16,2.3057605380137044e-27,1.9191399082449972e-10,4.4057650459075675e-13,6.99689377816992e-14,6.859905424103242e-14,2.847778083762024e-14,1.5108320967187108e-28,1.221967639118252e-16,1.0415796044550941e-14,7.917968149886212e-14,8.520986472711592e-32,1.6722713178513282e-28,9.161257755781471e-15,2.5539085684839127e-15,1.1083758819411466e-14,8.845977230743065e-16,1.6445760873059926e-18,3.7517027656173476e-30,5.6006335113233864e-42,2.0537758673469325e-19,1.5571938034728654e-48,2.277687436473074e-29,1.6993432642097188e-30,0.0,4.053729875833574e-20,1.5732743683724384e-14,6.94367648087395e-21,5.9632090596380156e-18,3.9998212266502007e-28,2.5612882321845033e-13,4.985874971728521e-17,2.4703898553519943e-40,1.2548869104883225e-13,0.0,1.0304400306898714e-31,3.2111824051201197e-25,0.0,0.0,5.066694567315895e-14,0.0,3.6402077176889165e-14,6.385878279140035e-25,2.4141902988132386e-14,3.7134670443660174e-27,3.672466709242132e-21,7.67227473910763e-47,8.213424037035864e-32,3.815752829841577e-32,0.0,0.0,0.0,0.0,0.0,8.731609679888979e-31,0.0,2.0844011157353372e-36,9.671407897894163e-21,3.221887822665306e-25,0.0,1.8258101359545472e-16,0.0,1.5826536405938236e-13,3.425750570981772e-22,1.0520183782462665e-14,0.0,4.0794567202381153e-19,0.0,0.0,1.0500703417123697e-16,1.6090310513796306e-15,6.483864870946669e-18,0.0,0.0,2.2700860302762197e-15,3.373992146341233e-39,2.248732874469535e-14,0.0,2.231837033241131e-34,9.433515418259155e-31,1.0721928395554353e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4010186344266423e-23,6.905601060871789e-14,8.840016889653662e-17,2.4644669874388823e-21,4.5488007594312563e-17,0.0,0.0,0.0,0.0,5.8063580512080864e-24,0.0,5.543327787726761e-17,1.0357555292067658e-17,1.5920825992353618e-24,2.9562673849035386e-14,3.8711740278016146e-17,1.151371066889875e-35,0.0,0.0,3.0923227628694743e-18,3.1269901961169437e-16,3.635709369282079e-15,0.0
