grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_C2H3F2(66),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_CF2O2(848),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3687),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074)
0.0,0.20806293619635663,298.0,1.1915340069556177,0.6802720322227584,0.0,0.06126917861604358,0.0,0.051805424287052475,0.20665336487402347,0.0,0.0,3.855615984318566e-15,0.0,1.5777789228777387e-16,1.0193088944056572e-14,7.616862998025856e-16,0.0,0.0,6.253120619392614e-16,3.2980732004684036e-16,1.3895108814827834e-16,6.712224698924473e-17,8.719041960471393e-23,5.030354074178749e-15,0.0,1.2992115858718097e-18,0.0,0.0,0.0,1.7886943456389846e-14,4.200575831468913e-31,0.0,1.8195104258107585e-29,2.0350108322006996e-15,1.525808142198606e-17,3.124802789196643e-17,2.8114757310073433e-16,0.0,0.0,0.0,2.0048473658149602e-26,7.817864818276063e-17,0.0,0.0,0.0,0.0,1.121862804024104e-15,3.596123361136239e-15,0.0,3.4909899347174845e-17,1.955001976246822e-17,6.281838100942755e-16,0.0,5.035829586665743e-15,1.8746653512881537e-16,2.426791003119536e-17,1.3572533652971388e-15,0.0,0.0,5.686843386512507e-27,6.287128497309801e-33,0.0,0.0,1.8263705483854597e-32,1.3465691947713902e-33,1.354571007544708e-14,0.0,0.0,0.0,4.303470167940516e-15,0.0,6.519323630138447e-17,4.1886057837116535e-20,0.0,7.118039533181085e-16,0.0,1.1700213486132832e-30,0.0,5.094152440590994e-24,0.0,0.0,2.871934298025861e-17,0.0,0.0,0.0,4.980138775135422e-33,7.071112382331854e-22,0.0,0.0,3.42187571246876e-32,0.0,0.0,9.48452057138072e-18,0.0,0.0,7.25331415368072e-18,0.0,7.028273601459906e-40,0.0,3.778633359587301e-15,0.0,0.0,2.4138164618303672e-14,7.468525771142447e-18,0.0,0.0,4.55080431966151e-19,0.0,0.0,1.2179991332565088e-20,1.2342462550240512e-15,0.0,1.4773069553668844e-16,0.0,0.0,9.286750756887082e-35,4.2828497702209156e-15,0.0,0.0,0.0,0.0,1.0811642620204986e-17,3.704867530282021e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.6132448578837617e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255213999657647e-16,0.0,0.0,0.0,0.0,2.774050289713783e-33
0.016,0.20806293619673474,298.00000000043053,1.1915340069534626,0.6802720322227361,0.0,0.06126917861599451,0.0,0.05180542428704787,0.20665336487392236,0.0,0.0,2.2092956899130776e-22,0.0,5.138194191973155e-22,1.3409669703919484e-19,3.0181386491072805e-14,0.0,0.0,1.0354442561948724e-13,0.0,2.3116439956686078e-14,1.4767100129898328e-14,1.91030872994423e-20,7.162716113727384e-22,0.0,2.849242375092434e-16,0.0,0.0,0.0,2.7016097362504136e-21,6.260657163510056e-29,0.0,3.8343218947775704e-27,2.032315604021411e-15,3.5180288183067785e-24,6.684650940230909e-15,2.813230185360819e-16,0.0,0.0,0.0,4.561759908034624e-24,7.817824849661861e-17,0.0,0.0,0.0,0.0,1.1218628262898281e-15,3.596124601990907e-15,0.0,2.8245813245587237e-17,6.520603888597709e-15,6.281838100458029e-16,0.0,1.100726661383426e-17,0.0,0.0,1.3573262326352802e-15,0.0,0.0,1.8971557658744728e-24,1.0071414600922342e-39,0.0,0.0,1.311835936230803e-29,9.787379827250502e-31,1.5388664901700973e-20,0.0,0.0,0.0,6.084999156155148e-18,0.0,3.481269825129067e-14,2.0250848466584686e-17,0.0,7.118141065147456e-16,0.0,6.600810741560661e-28,0.0,1.2289461385205316e-21,0.0,0.0,1.721590671347774e-14,0.0,0.0,0.0,1.8948686830742037e-30,3.0728458115229194e-19,0.0,0.0,2.1027090347429986e-29,0.0,0.0,8.635048092755848e-18,0.0,0.0,2.2436881686558712e-24,0.0,2.6411874147234772e-37,0.0,1.131384707116596e-20,0.0,0.0,2.437943734302057e-14,1.3960948901796096e-22,0.0,0.0,4.554706581688937e-19,0.0,0.0,8.219808747888563e-18,1.2377802313356645e-15,0.0,1.4773069568127944e-16,0.0,0.0,4.491783691365133e-32,4.282849770176085e-15,0.0,0.0,0.0,0.0,5.095223838459392e-15,3.721635965922688e-21,0.0,0.0,4.6286317478302415e-52,0.0,0.0,0.0,1.6132448578286166e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255238280228859e-16,0.0,0.0,0.0,0.0,8.261315749376246e-31
0.032,0.20806293620043856,298.00000000041945,1.1915340069322509,0.6802720322215666,0.0,0.06126917861612468,1.6524508279975285e-18,0.051805424286935055,0.2066533648736929,0.0,0.0,1.2702048994770407e-29,0.0,3.0823872728440446e-28,5.015892691810809e-24,1.3747290671273578e-12,0.0,0.0,1.1714780874675078e-13,0.0,2.311647086416607e-14,1.476710345509435e-14,1.204202607799806e-26,1.0221835657678358e-28,5.567972981107749e-20,2.8492438124048915e-16,3.025457272244584e-33,6.550359600801938e-46,0.0,4.087066817566864e-28,1.0820787601966395e-35,0.0,4.8590421301266745e-27,2.023970284658723e-15,7.980069744871417e-31,6.684646577797992e-15,2.810727499553808e-16,0.0,2.3036123215743335e-29,0.0,2.3609969863739038e-29,7.817824867217068e-17,4.281721695807375e-28,0.0,0.0,0.0,1.1218628284758057e-15,3.596126334177677e-15,2.99318240699435e-29,2.2827699691041897e-17,6.5216381858535376e-15,6.281838095257525e-16,0.0,2.4090964415639196e-20,1.3367565145994091e-16,6.154743812025934e-17,1.3573324534021416e-15,0.0,0.0,8.284383876043612e-31,3.0260326094036634e-46,4.128259231540161e-20,0.0,1.311835936225288e-29,9.787379844677235e-31,2.2611708636603966e-23,7.35205729739449e-22,2.8530350963302445e-16,1.6791331803980027e-22,6.0849749394155174e-18,3.0707272573814594e-28,5.776806827435497e-14,2.0250854613029194e-17,0.0,7.118242597528169e-16,2.7988217113490573e-31,2.469094903903902e-32,0.0,2.829205413908157e-28,0.0,0.0,1.721592572677806e-14,0.0,1.274910225822961e-25,0.0,2.5165694381929724e-30,3.516459455333722e-20,1.1193931464404476e-48,0.0,2.4729000792467194e-35,1.6682681016152443e-40,0.0,7.785599061067658e-18,0.0,0.0,7.625931577191509e-31,0.0,2.6411886903146768e-37,0.0,3.4258904027138085e-26,0.0,0.0,2.4379446250968752e-14,1.3914159328139126e-22,0.0,0.0,4.55968910735257e-19,0.0,0.0,8.219811285234272e-18,1.2377802349807119e-15,0.0,1.477306956928457e-16,0.0,0.0,1.8213009042164924e-38,4.282849770058263e-15,0.0,0.0,0.0,0.0,5.095239020210789e-15,3.7216359689734325e-21,0.0,0.0,4.061773450885978e-52,0.0,0.0,0.0,1.6132448577782194e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.2552634318802e-16,0.0,0.0,0.0,0.0,3.625251503109178e-35
0.04,0.20806293626456873,298.0000000004189,1.1915340065649893,0.6802720322013677,0.0,0.061269178618756,1.7203183379095659e-18,0.05180542428501685,0.20665336486993305,1.0265673997663772e-15,0.0,1.4801877349185635e-36,0.0,0.0,0.0,2.460199663437244e-11,0.0,0.0,1.2199043243178575e-13,0.0,2.3116953698227764e-14,1.476710500842648e-14,0.0,2.8845904501708003e-35,5.796954019836051e-20,2.8492442977679234e-16,2.664049668099251e-33,6.761835299876907e-46,0.0,1.2445992475377824e-34,3.892901594396834e-37,0.0,4.264059426860655e-27,2.0187560303368693e-15,2.9894185279691412e-34,6.684646766680875e-15,2.809762241679989e-16,0.0,2.030722140174531e-29,0.0,5.517699481286275e-34,7.81782487175919e-17,3.9007783035399455e-28,0.0,0.0,0.0,1.1218628341695065e-15,3.59612737110847e-15,0.0,2.0697110340900628e-17,6.513493032948975e-15,6.281838088171326e-16,0.0,1.0577055353079458e-22,4.477925008070165e-16,1.7032413888887627e-16,1.3573357340325507e-15,0.0,0.0,2.491997798848232e-31,4.542670615011429e-50,4.298131447837895e-20,0.0,1.3118359359336563e-29,9.787379842500931e-31,2.259482749373167e-23,2.034581662118661e-21,7.896049374273663e-16,4.646771600404522e-22,6.0849749393042595e-18,3.071626531412592e-28,6.97204303662277e-14,2.0250855510987322e-17,5.799442536882258e-41,7.118293364515215e-16,2.175381375462642e-30,0.0,0.0,0.0,0.0,0.0,1.721592579827672e-14,0.0,1.3276430556108034e-25,0.0,2.7912579499483467e-30,7.212214273636777e-21,3.7500123977299076e-48,0.0,4.2124961311876355e-36,1.2965998086275993e-39,0.0,7.360885408911506e-18,0.0,0.0,6.804234474663546e-32,0.0,2.6411894510702532e-37,0.0,4.492565227418692e-28,0.0,0.0,2.4379439726611622e-14,1.3914159937969075e-22,0.0,0.0,4.5621803791368105e-19,0.0,0.0,8.219811281645543e-18,1.2377802366563467e-15,0.0,1.477306957271232e-16,1.8151840876285762e-70,0.0,2.89973062120375e-40,4.282849769973567e-15,0.0,0.0,0.0,0.0,5.095239020751743e-15,3.721635969413795e-21,0.0,0.0,3.801513598958962e-52,0.0,0.0,0.0,1.613244857733484e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255276470136888e-16,0.0,0.0,0.0,0.0,0.0
0.044,0.2080629368345387,298.0000000004213,1.1915340033008865,0.6802720320218499,0.0,0.061269178642241844,1.7480287959326974e-18,0.05180542426797682,0.20665336483656144,1.6737316836925238e-15,1.1690199743744325e-41,3.4954783388936125e-43,0.0,3.3772899918287506e-31,0.0,2.3103612424898997e-10,0.0,0.0,1.2395984972726163e-13,0.0,2.3132133236778522e-14,1.476716841380636e-14,0.0,0.0,5.890244389813754e-20,2.8492454512281576e-16,2.5196769325149015e-33,6.4184439909636556e-46,0.0,7.628831300400478e-41,3.679433627581842e-37,0.0,4.020741006361553e-27,2.015896465775565e-15,2.9134222174212514e-34,6.684653360065363e-15,2.8093408602901444e-16,1.4070338744799028e-31,1.9211833576037007e-29,0.0,3.1822757851842146e-34,7.817824879424088e-17,3.7288237702092456e-28,0.0,0.0,0.0,1.121862908809007e-15,3.596128290668669e-15,0.0,1.978473937406596e-17,6.5090136423071655e-15,6.281838339113586e-16,0.0,9.294957611987014e-25,6.073816355682565e-16,2.255863220431759e-16,1.3573374229181102e-15,0.0,0.0,2.532529301508376e-31,1.0816324190542346e-41,4.3673671209884226e-20,0.0,1.3118359333461766e-29,9.78737982319659e-31,2.2594833117113683e-23,2.6947078626855873e-21,1.0458069943406358e-15,6.1544306387261105e-22,6.084974938323445e-18,3.071626590225863e-28,7.579349618314513e-14,2.0250855977659247e-17,1.891379904714897e-40,7.118318750520066e-16,2.175383242107144e-30,0.0,0.0,0.0,0.0,0.0,1.721592585045149e-14,0.0,1.3491524099449298e-25,0.0,2.921555235585557e-30,2.4504576453104615e-21,5.0865162350462134e-48,0.0,4.2625535652624036e-36,1.2966009510509262e-39,0.0,7.148531309694204e-18,0.0,0.0,6.804885268980253e-32,0.0,2.641190118717385e-37,0.0,4.493851155101888e-28,0.0,0.0,2.4379436878089574e-14,1.3914160258674718e-22,0.0,0.0,4.563426015966915e-19,0.0,0.0,8.21981129043049e-18,1.2377802381361332e-15,0.0,1.4773069633902678e-16,1.302457754284053e-69,0.0,2.740403659044456e-40,4.282849771090743e-15,0.0,0.0,0.0,0.0,5.095239024852953e-15,3.7216359696801434e-21,0.0,0.0,3.681328994755815e-52,0.0,0.0,0.0,1.6132448580877716e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255283205001018e-16,0.0,0.0,0.0,0.0,0.0
0.048,0.20806294377875872,298.0000000004872,1.1915339635327487,0.6802720298347121,0.0,0.061269178928447715,1.7700382675934664e-18,0.05180542406037156,0.20665336443000754,5.306826974724423e-15,0.0,8.448928233682685e-50,0.0,2.0784687719887847e-29,0.0,2.746113180776552e-09,0.0,0.0,1.2552375652398503e-13,0.0,2.377373910640065e-14,1.477070491337993e-14,0.0,0.0,5.964332297023495e-20,2.849298503735499e-16,2.3827738471373472e-33,6.092551035473416e-46,0.0,4.69204169353313e-47,3.4829932177630753e-37,0.0,3.796714100305256e-27,2.012793903010331e-15,2.840957209827858e-34,6.685009940846663e-15,2.809046571645799e-16,1.3214179167570192e-31,1.8172892715001824e-29,0.0,3.1446320112972128e-34,7.81782532979326e-17,3.5842076544064622e-28,0.0,0.0,0.0,1.1218675236996187e-15,3.5961477254682626e-15,0.0,1.9017431654139998e-17,6.504151740429859e-15,6.281857064631592e-16,0.0,8.241327783593797e-27,7.68963042443336e-16,2.8153888396701853e-16,1.3573395004332939e-15,0.0,0.0,2.5695573423175235e-31,0.0,4.422358809535562e-20,0.0,1.3118359018330358e-29,9.78737958808447e-31,2.2594877464468424e-23,3.363080789436072e-21,1.305209834343791e-15,7.680924285286667e-22,6.084974926403573e-18,3.071626496064437e-28,8.194312589364346e-14,2.0250856539545934e-17,1.891389112801252e-40,7.118344180002402e-16,2.1753835368452966e-30,0.0,0.0,0.0,0.0,0.0,1.7215925964925915e-14,0.0,1.3662636736395421e-25,1.269462469331165e-15,3.045338461992384e-30,8.251327119425658e-22,6.43970501577024e-48,0.0,4.308308859290169e-36,1.2966011540021389e-39,0.0,6.936179946983565e-18,0.0,0.0,6.805526487485257e-32,0.0,2.641204298402393e-37,0.0,4.497036049737336e-28,0.0,0.0,2.437943449816099e-14,1.3914160644847934e-22,0.0,0.0,4.564671675863821e-19,0.0,0.0,8.219811294074475e-18,1.2377802444295565e-15,0.0,1.477306954100135e-16,1.1997714562145878e-69,0.0,2.593861504676762e-40,4.282849789104352e-15,0.0,0.0,0.0,0.0,5.095239050725476e-15,3.7216359948403425e-21,0.0,0.0,3.568280267743942e-52,0.0,0.0,0.0,1.6132448649693533e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255291420976484e-16,0.0,0.0,0.0,0.0,2.8544584692852253e-39
0.049,0.20806295764942126,298.00000000089847,1.19153388409829,0.6802720254661161,0.0,0.06126917950012901,1.7752528938477037e-18,0.05180542364567249,0.2066533636179489,2.5476346271518036e-14,3.746577417869576e-44,1.388326510500087e-55,0.0,6.172025824120438e-29,0.0,7.769758393894954e-09,0.0,0.0,1.258943488761802e-13,0.0,2.8071325025285152e-14,1.4801871146821613e-14,0.0,0.0,5.981885154504187e-20,2.84976729374241e-16,2.349060014325377e-33,6.019043456535527e-46,0.0,0.0,3.436168758096016e-37,0.0,3.743175187340585e-27,2.012012209039077e-15,2.823091459708105e-34,6.688066281992832e-15,2.809637736221169e-16,1.3002834889169087e-31,1.791702358200808e-29,0.0,3.135595957409005e-34,7.817829990716065e-17,3.549787518463403e-28,8.437116610582638e-16,0.0,0.0,1.1219161356414122e-15,3.5963045169734914e-15,0.0,1.8834820779825453e-17,6.502912640873069e-15,6.282066343369082e-16,0.0,2.9695859123444898e-28,8.094820920229057e-16,2.955693966291277e-16,1.357344356111584e-15,0.0,0.0,2.5874640993202424e-31,9.437280491475215e-48,4.435387528202587e-20,2.986703192788859e-52,1.3118358389487924e-29,9.787379118930825e-31,2.259496331138022e-23,3.530679988467177e-21,1.3702569218467416e-15,8.063703176492313e-22,6.084974902811951e-18,3.0716263081536588e-28,8.348519635842148e-14,2.0250856868716448e-17,1.8913912448804177e-40,7.118350606302495e-16,2.1753835904036522e-30,0.0,0.0,0.0,0.0,0.0,1.7215926200354832e-14,0.0,1.3703195566792683e-25,1.6293344695476206e-15,3.0766168658481288e-30,5.52559369186108e-22,6.779038152387693e-48,0.0,4.330436395026568e-36,1.2966011991416963e-39,0.0,6.883092344896786e-18,0.0,0.0,6.805683771846375e-32,0.0,2.6413192664306212e-37,0.0,4.49782376046593e-28,0.0,0.0,2.4379434125476314e-14,1.391416087126631e-22,0.0,0.0,4.564983124858343e-19,0.0,0.0,8.219811409807671e-18,1.2377802573733367e-15,0.0,1.477306990477194e-16,1.1749076347143001e-69,0.0,2.558928483856251e-40,4.282849824691818e-15,0.0,0.0,0.0,0.0,5.0952391096697455e-15,3.721636027982998e-21,0.0,0.0,3.5394609742637454e-52,0.0,0.0,0.0,1.613244878069445e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255294590684101e-16,0.0,0.0,0.0,0.0,1.4690615680621823e-38
0.05,0.20806301030251997,298.0000000053621,1.1915335825648234,0.6802720088836927,0.0,0.0612691816701496,1.7810491590408007e-18,0.05180542207127706,0.20665336053540762,2.477970902124364e-13,7.27842345012779e-43,4.8513568587767285e-56,0.0,2.175382136482182e-28,0.0,2.683881158759317e-08,0.0,0.0,1.2630598887306307e-13,0.0,7.670748473232835e-14,1.5260039134785754e-14,0.0,0.0,6.001398171903099e-20,2.8566824582455305e-16,2.3160342776097174e-33,6.0382140952584106e-46,0.0,0.0,3.392614526566428e-37,0.0,3.693195511524603e-27,2.0113762860571575e-15,2.8087886811346695e-34,6.731826706397306e-15,2.8200506574355324e-16,1.2795846776607105e-31,1.7666374371494912e-29,0.0,3.1314701138317263e-34,7.817909566712708e-17,3.517013944692915e-28,1.3107679014374437e-14,0.0,0.0,1.1227666183419648e-15,3.598485501590657e-15,0.0,1.8660997697485007e-17,6.5016702545541695e-15,6.285929036102162e-16,0.0,1.299359409663763e-29,8.501501357576385e-16,3.0964962100607655e-16,1.357437924222213e-15,0.0,0.0,2.6352884201037183e-31,4.032674178461109e-43,4.449867905477815e-20,1.1561116158247559e-51,1.3118356008674454e-29,9.787377342807169e-31,2.259528884992302e-23,3.698872398254621e-21,1.4355342258457174e-15,8.447836575881149e-22,6.084974815514774e-18,3.071625595951217e-28,8.503264714583081e-14,2.025085774530914e-17,1.891393428127962e-40,7.118357262856299e-16,2.175383583123098e-30,0.0,0.0,0.0,0.0,0.0,1.7215926982168187e-14,0.0,1.3748247249563007e-25,1.9912933328237432e-15,3.1178669968703386e-30,3.684736799193344e-22,7.119619030366679e-48,0.0,4.389533973381398e-36,1.2966012303337703e-39,0.0,6.830005110778479e-18,0.0,0.0,6.805839391764719e-32,0.0,2.6429203856016815e-37,0.0,4.498604756701954e-28,0.0,0.0,2.4379434372515313e-14,1.3914161476097861e-22,0.0,0.0,4.56529470554574e-19,0.0,0.0,8.219811788964638e-18,1.2377803041992284e-15,0.0,1.4773070836776226e-16,1.1508163263353416e-69,0.0,2.5264300665790334e-40,4.2828499656015646e-15,0.0,0.0,0.0,0.0,5.095239304663089e-15,3.7216361791045506e-21,0.0,0.0,3.49836141828303e-52,0.0,0.0,0.0,1.6132449302810933e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255300103174432e-16,0.0,0.0,0.0,0.0,5.901117807386313e-38
0.051000000000000004,0.20806321018825324,298.0000000538543,1.1915324378617453,0.6802719459405769,0.0,0.061269189907205306,1.797024422744464e-18,0.05180541609249449,0.20665334883359518,2.713074106002466e-12,1.7603812872028225e-42,4.74745253461475e-56,0.0,8.154067337770643e-28,0.0,9.922230251899142e-08,0.0,0.0,1.2743562997173303e-13,0.0,6.271274730076657e-13,2.1995495595768343e-14,0.0,0.0,6.055209338600604e-20,2.958666633799228e-16,2.286381700748434e-33,7.336155503929559e-46,1.1494086161604684e-15,0.0,3.3768360086668347e-37,0.0,3.672370891921962e-27,2.013454826779282e-15,2.844692582434419e-34,7.35840243179014e-15,2.9822701469142844e-16,1.2615146914554548e-31,1.744155083301809e-29,0.0,3.1958227490688613e-34,7.819269420829959e-17,3.485836806617748e-28,1.4964556299587015e-13,0.0,0.0,1.137653211463041e-15,3.6288568337725365e-15,0.0,1.8495838085125462e-17,6.50085230450292e-15,6.357211830274611e-16,0.0,2.816930879718426e-30,8.913146653278648e-16,3.238847976986617e-16,1.3594054328346087e-15,0.0,0.0,2.809734483697509e-31,2.869466583397888e-42,4.489768333808122e-20,4.39756567974249e-51,1.3118347038705078e-29,9.787370652212429e-31,2.2596537034334817e-23,3.868913332726081e-21,1.5015287084048822e-15,8.836190536805342e-22,6.084974508641385e-18,3.0716229049556847e-28,8.659611697708328e-14,2.025086070845644e-17,1.891395862563764e-40,7.118364799871107e-16,2.175383373977545e-30,0.0,0.0,0.0,0.0,0.0,1.721592980311252e-14,0.0,1.3871889598757683e-25,2.36915808863726e-15,3.30843180983289e-30,2.4416678293296595e-22,7.464357224928548e-48,0.0,4.6051039568079455e-36,1.2966012374939393e-39,0.0,6.776918785402206e-18,0.0,0.0,6.805998079707153e-32,0.0,2.665223996719308e-37,0.0,4.499382620387809e-28,0.0,0.0,2.437943691514284e-14,1.391416353921787e-22,0.0,0.0,4.565607106470578e-19,0.0,0.0,8.219813120972941e-18,1.237780480142435e-15,0.0,1.4773079422755358e-16,1.1298479140770563e-69,0.0,2.5145959216744625e-40,4.282850539590385e-15,0.0,0.0,0.0,0.0,5.095240033089827e-15,3.721637090282705e-21,0.0,0.0,3.3224497984803045e-52,0.0,0.0,0.0,1.6132451310043594e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255346926728359e-16,0.0,0.0,0.0,0.0,2.2510188016364213e-37
0.051500000000000004,0.20806351979036258,298.0000002574923,1.1915306648406865,0.6802718484815429,0.0,0.06126920266172058,1.8498375773055728e-18,0.05180540682478292,0.20665333071003184,1.327820086552719e-11,5.368274354632989e-42,4.724864233098889e-56,0.0,1.7891773889138797e-27,0.0,2.1130448536189658e-07,0.0,0.0,1.3113965626069533e-13,0.0,3.0318642961778367e-12,5.996879444518432e-14,0.0,0.0,6.233159301951885e-20,3.535428182571933e-16,2.2848479937469277e-33,1.4844757209410712e-45,8.248861318496252e-15,0.0,3.4864897661590313e-37,0.0,3.784420539113385e-27,2.031842782124866e-15,3.1350458626886085e-34,1.080104964876855e-14,3.9435133520341227e-16,1.2640732978018506e-31,1.7431595912507462e-29,0.0,3.5950098077906674e-34,7.828160139575779e-17,3.470934355004353e-28,7.367548242185932e-13,2.680976119206902e-16,0.0,1.2372315178323803e-15,3.791267335406854e-15,0.0,1.841717197925705e-17,6.504101441030932e-15,6.859424619377253e-16,0.0,2.501830550934179e-30,9.131042678960654e-16,3.3134769115194614e-16,1.3752366052069788e-15,0.0,0.0,3.132686903058226e-31,3.9865174765547225e-48,4.6216295460945305e-20,9.713282232312507e-51,1.311833342326679e-29,9.787360501284462e-31,2.259857018631272e-23,3.958055027741634e-21,1.5361242223402869e-15,9.039778136366391e-22,6.0849741332634644e-18,3.0716187903336376e-28,8.741083558695362e-14,2.0250865257728245e-17,1.891397534988441e-40,7.118369809390869e-16,2.1753831047407434e-30,0.0,0.0,0.0,0.0,0.0,1.721593417546031e-14,0.0,1.4279796762457261e-25,2.635850370945787e-15,4.196484987594516e-30,1.9658517532727753e-22,7.646834337572074e-48,0.0,5.004195088636959e-36,1.2966013288787115e-39,0.0,6.7503767089803316e-18,0.0,0.0,6.806085745103074e-32,0.0,2.7845024677861014e-37,0.0,4.499765437603026e-28,0.0,0.0,2.4379441465950986e-14,1.391416677861121e-22,0.0,0.0,4.565768080141135e-19,0.0,0.0,8.219815262610696e-18,1.2377807670916239e-15,0.0,1.477315629331622e-16,1.1231838419287346e-69,0.0,2.5961220504748695e-40,4.282851785373211e-15,0.0,0.0,0.0,0.0,5.095241349252377e-15,3.721642272166645e-21,0.0,0.0,2.7196546333669493e-52,0.0,0.0,0.0,1.6132454426711723e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.255638897712871e-16,0.0,0.0,0.0,0.0,4.821186648266135e-37
