grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CH2CF2(58),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1881),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_C3H3(6704),Y_S(7931),Y_S(8019),Y_C#CC(8822),Y_S(8869),Y_C3H4(9074)
0.0,0.05399512127013206,298.0,1.2912478848644566,0.6172421631052465,1.3427911697900593e-16,0.14824626533506666,0.0,0.047005448765989805,0.18750612123877947,2.5419368766751075e-14,5.918006264516723e-15,0.0,6.799269667732009e-15,0.0,7.432742182007381e-15,1.5547599539575182e-09,0.0,0.0,0.0,8.91880884860789e-15,1.234258256619108e-14,2.098637630656474e-16,0.0,1.3443087240004185e-15,7.618700003629486e-15,3.0387017267451123e-16,0.0,0.0,2.96184874491968e-15,0.0,1.0925885669742114e-31,5.126668422635738e-15,9.71990439993526e-28,0.0,1.694750995367925e-14,0.0,0.0,5.416502952988738e-17,0.0,2.358751959141935e-30,2.1907571189275556e-23,0.0,0.0,6.633450710624652e-15,1.045416092332735e-15,3.2870572882888103e-15,9.4153313237169e-16,0.0,0.0,0.0,2.3707160668002476e-18,0.0,0.0,0.0,0.0,1.026890663797824e-19,2.050648265405061e-16,5.689652522483982e-16,3.7924607846293356e-27,0.0,0.0,2.0463460050765136e-46,4.228051562396573e-31,3.1176491093553363e-32,2.1416826262569178e-15,0.0,0.0,0.0,5.482357185665768e-17,4.585271603170657e-30,4.323758417702448e-16,0.0,3.8193683309298054e-42,0.0,0.0,1.4432862600952383e-29,6.910775378264161e-32,1.3198692317084542e-24,0.0,2.0239077319269345e-18,0.0,0.0,9.823252002401376e-17,0.0,3.0697688245439352e-33,9.56722399473182e-21,0.0,5.675506017356289e-33,1.703223013221973e-32,0.0,0.0,0.0,0.0,7.243371018916468e-15,0.0,0.0,0.0,5.855684771106299e-16,1.3034444368629612e-21,0.0,6.070485526762104e-15,0.0,9.566011583774462e-15,0.0,1.0221680322593953e-17,0.0,0.0,0.0,0.0,6.48282610679997e-19,7.207981297312817e-16,6.031761331029309e-68,0.0,6.26451870013749e-35,1.7736683922384623e-16,0.0,4.3102832274960116e-36,1.7586344065682102e-33,2.6841062555666428e-15,6.2518943369529205e-18,9.35502429873608e-21,1.0369669465576165e-34,9.594383989468503e-16,0.0,0.0,2.9597678162891275e-30,1.4138544451586826e-15,0.0,0.0,0.0,0.0,3.8313200981460263e-19,1.1741122463539269e-14,0.0,1.003822670046301e-24,1.3799862920046933e-31,0.0,4.7005778965501455e-24,4.177826241524894e-33
0.016,0.05399513537276298,298.0000000229154,1.2912475476115657,0.6172421428887946,1.3427911391891208e-16,0.14824627115665337,0.0,0.04700544739948829,0.18750611860102373,1.6870871534964676e-12,1.1670025221933672e-22,0.0,6.79927001851121e-15,0.0,1.709404710218814e-19,1.9951328966846872e-08,0.0,0.0,0.0,8.922143932486354e-15,5.557292460400325e-13,1.2737887972389008e-14,0.0,5.379660367919014e-23,0.0,1.8561635139592116e-14,0.0,0.0,7.282943278443847e-15,0.0,4.6128065392546206e-30,5.126764351323143e-15,5.839189377516589e-26,0.0,1.202034422862386e-21,0.0,0.0,1.1575746808229168e-24,0.0,1.6178138805057144e-28,1.5586664542182082e-21,0.0,0.0,2.9415155018997497e-13,1.232288722086631e-15,3.3246154133972883e-15,9.814824820553637e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.338780526788781e-17,2.051330869388043e-16,5.689693644359429e-16,3.6173919332548437e-25,0.0,0.0,2.6840980810028904e-44,8.322734365858214e-29,6.20944741200802e-30,0.0,0.0,0.0,0.0,5.521178188622795e-18,7.307722105232974e-28,6.351596950910067e-14,0.0,4.947132218470115e-40,1.9323869173995088e-19,0.0,2.2063213624027734e-27,2.955463847641884e-30,9.080522795060293e-23,0.0,7.713980949695572e-17,0.0,0.0,1.9271224418008167e-23,0.0,5.168662991538976e-31,1.1222913009662092e-18,0.0,5.602102481282377e-31,3.541720938212194e-30,0.0,0.0,0.0,0.0,7.242041736291353e-15,0.0,0.0,0.0,4.7198290758640535e-22,8.424009242629117e-22,0.0,9.161420201851635e-15,0.0,9.566019805722999e-15,0.0,1.0226297744585733e-17,0.0,0.0,0.0,0.0,1.1359206563293782e-16,7.208001625263431e-16,7.866263399619498e-66,0.0,8.677790925777052e-33,1.7736798707074023e-16,0.0,4.7539686501157126e-34,2.2661627166729883e-31,2.6843360986846534e-15,8.041888510903143e-16,9.366886497900278e-21,1.1968131650542559e-32,9.59438460010182e-16,0.0,0.0,1.1227705689471946e-28,1.413854549037574e-15,0.0,0.0,0.0,0.0,3.831386316089229e-19,1.1741123307962212e-14,0.0,7.275732154104835e-23,7.86723877106719e-30,0.0,3.5629138558966876e-22,3.3528598446428722e-31
0.032,0.05399531647639324,298.0000010489444,1.2912432166821568,0.6172418835005545,1.3427908355407456e-16,0.14824634586071034,0.0,0.04700542979080391,0.18750608470752628,7.605089610402776e-11,2.3257031944642765e-30,0.0,6.799274332199673e-15,0.0,1.88571223738089e-24,2.5602506578033963e-07,0.0,0.0,0.0,8.973695233984917e-15,2.5167634660939608e-11,5.294653865108099e-13,5.072443040192851e-28,2.1651548195680544e-30,0.0,1.856291121878637e-14,0.0,0.0,2.4815814841045574e-13,0.0,4.323019925538002e-36,5.132626949068487e-15,1.9238202208280852e-26,0.0,8.569351072331261e-29,3.092073992512656e-14,0.0,0.0,0.0,1.3532849757581625e-27,2.528678494795043e-27,0.0,0.0,1.3202993716878108e-11,1.2959933369403659e-14,5.901845343050591e-15,3.8668070120909105e-15,0.0,3.5960762730480904e-29,0.0,1.8520142969289346e-16,0.0,0.0,0.0,0.0,1.2117505866872953e-15,2.1182374408659889e-16,5.693897031424348e-16,0.0,1.0938427130610152e-46,0.0,4.438933261847382e-49,8.322716255399327e-29,6.2094339234906724e-30,0.0,0.0,0.0,0.0,5.521177842616187e-18,7.30777074129736e-28,0.0,0.0,4.563127308632733e-40,4.414536937747362e-19,2.814053995277055e-30,2.4339238882187873e-32,5.0160557358855816e-30,5.839560033268923e-30,0.0,7.846803387845349e-17,0.0,0.0,0.0,0.0,0.0,3.630990180863285e-20,0.0,3.2094834066360604e-31,0.0,1.633893356872424e-39,0.0,0.0,0.0,7.240714763687426e-15,0.0,0.0,0.0,3.851662549467082e-28,5.116098918474003e-22,0.0,9.161458224482656e-15,0.0,9.56692617152271e-15,0.0,1.0230998327782382e-17,1.9648822007078978e-27,0.0,0.0,0.0,1.1164820044234552e-16,7.210481322578331e-16,3.2420861982401775e-69,0.0,8.96920356026259e-39,1.7749799596461339e-16,0.0,8.54098052853147e-34,4.1269594451042155e-31,2.706689927004384e-15,8.041934449109192e-16,9.367392736083318e-21,1.1968152151190852e-32,9.594399348916335e-16,0.0,0.0,6.818797449957952e-29,1.413862946640468e-15,0.0,0.0,0.0,0.0,3.831429722339255e-19,1.1741175481967303e-14,0.0,9.336259676553799e-23,5.6096615917823225e-30,0.0,6.047029471900466e-22,1.545126076412058e-35
0.04,0.05399621283769506,298.0000183705654,1.2912217814500886,0.6172406033433351,1.3427894158934447e-16,0.14824671467391023,0.0,0.04700534176424683,0.18750591662926647,1.321874484738927e-09,9.678847972726288e-38,0.0,6.799300395680673e-15,0.0,0.0,1.4215749366340353e-06,0.0,0.0,0.0,9.603615984264104e-15,4.4390994256088574e-10,1.2185930597494858e-11,1.2163724999442654e-27,1.3603586531487277e-35,0.0,1.859186649854825e-14,0.0,0.0,5.311817122879864e-12,0.0,3.039894713304136e-36,5.267777682515617e-15,1.4716572593048199e-26,0.0,0.0,8.341850326784886e-13,0.0,6.318859389360249e-32,0.0,2.035503738004601e-27,4.575747791123498e-32,0.0,0.0,2.2950376227214627e-10,2.904271232531224e-13,7.254297836449918e-14,8.237490720637843e-14,0.0,0.0,0.0,9.86997657582472e-15,1.0157047744851317e-13,0.0,0.0,0.0,4.090646861677875e-14,4.549265073805727e-16,5.856143054699855e-16,0.0,0.0,0.0,1.773405075708925e-48,8.322643420100828e-29,6.209379977067137e-30,0.0,0.0,0.0,0.0,5.521185109200035e-18,7.307677736766012e-28,0.0,0.0,4.5573287571748364e-40,5.655596681336423e-19,4.489264014703208e-30,0.0,5.847473959191364e-30,0.0,0.0,1.158592171482634e-16,0.0,0.0,0.0,0.0,0.0,2.2502818351045733e-21,0.0,3.290048297929823e-31,0.0,2.6438333914078746e-39,0.0,0.0,0.0,7.24006243085821e-15,0.0,0.0,0.0,0.0,3.74153260752094e-22,0.0,9.161487901167272e-15,0.0,9.60562444382915e-15,0.0,1.023948145309018e-17,2.8347832155281188e-27,0.0,0.0,0.0,1.1086329577634387e-16,7.324438811246892e-16,2.867257117214623e-69,4.944813139988183e-17,5.930306523514826e-39,1.8305855358532888e-16,0.0,1.019234545858825e-33,4.940399036667441e-31,3.5248837953561686e-15,8.043723894759754e-16,9.392629837357888e-21,1.1968659514175668e-32,9.59475544033554e-16,0.0,0.0,4.9865439438856616e-29,1.414207268752501e-15,0.0,0.0,0.0,0.0,3.8334582205218616e-19,1.1743130251975671e-14,0.0,9.46590665367018e-23,4.548508999343021e-30,0.0,7.049302430869348e-22,7.678228979749127e-35
0.044,0.053998668456293406,298.00016888340514,1.2911630624197468,0.6172371262076879,1.342785676377703e-16,0.1482477173249565,0.0,0.04700509425167356,0.18750545338079463,1.2068096248536535e-08,0.0,0.0,6.799485579053053e-15,0.0,0.0,4.5903353843716445e-06,0.0,0.0,0.0,1.7314490879487064e-14,4.110873247513851e-09,1.4657729366830861e-10,1.4258385004914674e-27,1.368679402667158e-35,0.0,1.892681618535894e-14,0.0,0.0,5.98027425973919e-11,0.0,3.115732732960089e-36,6.859507143456017e-15,1.5120067786288428e-26,9.257728114122714e-15,0.0,9.822411142772684e-12,5.831508741978532e-14,0.0,0.0,2.3817497529142504e-27,2.0133249959740493e-35,0.0,0.0,2.0957876581959383e-09,3.6421899886163984e-12,9.508113536909036e-13,1.1701026521682189e-12,0.0,0.0,0.0,1.777779794080771e-13,1.6206055574501197e-12,0.0,0.0,0.0,7.082652216910225e-13,4.951563848243166e-15,9.029454480770739e-16,0.0,2.8234557649522733e-41,0.0,5.758948155419412e-48,8.322585318754201e-29,6.209340058542035e-30,0.0,0.0,0.0,0.0,5.521277615445233e-18,7.3075216861950175e-28,0.0,0.0,4.554476455487539e-40,6.276163584277663e-19,4.488689929036093e-30,0.0,6.215163959802642e-30,0.0,0.0,6.51566778264038e-16,0.0,8.475261212710717e-15,0.0,7.967841174734493e-15,0.0,5.793051340548619e-23,0.0,3.7039052373751975e-31,0.0,2.656076377423124e-39,0.0,0.0,0.0,7.23976636929827e-15,0.0,0.0,0.0,0.0,3.119214108491604e-22,0.0,9.16178280383629e-15,0.0,1.0444292312911164e-14,0.0,1.0391725878355884e-17,3.3421883153421175e-27,0.0,0.0,0.0,1.1074455337058981e-16,9.97244323857771e-16,3.129479038495683e-69,1.219671447218903e-15,6.078047855171482e-39,3.0341937405637042e-16,0.0,1.1334537455927048e-33,5.493798613560657e-31,1.870372298450882e-14,8.087011947655126e-16,1.0036166226954941e-20,1.1977163139470907e-32,9.601130522670641e-16,0.0,0.0,4.156269702921642e-29,1.4216610467206237e-15,0.0,0.0,0.0,0.0,3.8853956886368053e-19,1.1783364455498203e-14,0.0,9.345533875642843e-23,4.0371912310035755e-30,7.080755386667114e-14,7.492354303061437e-22,2.5945984352852656e-34
0.048,0.05400860611178894,298.00196220018006,1.2909254866799527,0.6172233876375478,1.342771141779623e-16,0.1482516880620198,7.447887842567727e-18,0.04700402939413642,0.18750354571173006,1.3925350113024998e-07,0.0,0.0,6.803457066837648e-15,6.3434106951200925e-25,0.0,1.7134179757961126e-05,0.0,0.0,2.16074104252212e-13,1.4782054083316495e-13,4.815280920848394e-08,2.257465967076788e-09,1.6608035954854518e-27,5.963014976819735e-35,2.509443152807892e-19,2.420532394183315e-14,0.0,3.89665890440988e-40,8.598810847363899e-10,1.0280911303298573e-44,1.3822572653621632e-35,3.2387737041775586e-14,6.27332300143976e-26,2.2123610922321387e-13,4.943439082170864e-30,1.46929475009017e-10,1.2218180514053306e-12,2.446353726713209e-29,0.0,2.7758605363509403e-27,6.470246585404252e-30,0.0,2.6377245108327887e-28,2.4189947519083323e-08,5.874889703586299e-11,1.6677792996381485e-11,2.16281401585108e-11,0.0,5.697801698499059e-31,1.392485519716992e-17,4.11550210199027e-12,3.169599243704022e-11,4.4371839903967156e-26,2.9094567204692804e-14,0.0,1.5891608582863268e-11,1.1736621209633717e-13,9.285219670453956e-15,4.5694969242142063e-29,1.7905053662310586e-40,4.877926122256205e-19,9.072514610447567e-47,8.323975663719184e-29,6.210418244262492e-30,0.0,0.0,0.0,0.0,5.522486286211687e-18,7.308024760377804e-28,5.2178447054924927e-14,0.0,4.548560233870583e-40,6.898254748916242e-19,4.489203046406888e-30,0.0,6.539693037448057e-30,0.0,0.0,1.1064567121823489e-14,0.0,3.958920349068601e-13,1.5629494412725074e-24,9.314080294701026e-13,0.0,7.180570442795457e-22,0.0,1.3365220172069247e-30,0.0,2.6751530229797467e-39,0.0,0.0,0.0,7.239588158483652e-15,0.0,2.6286461386944957e-21,0.0,0.0,2.553988588322e-22,0.0,9.169203848064547e-15,0.0,3.49692722842657e-14,0.0,1.5370693761315355e-17,1.6095175492251102e-26,0.0,0.0,0.0,1.132557847151814e-16,9.290653027759696e-15,1.7275594266857383e-68,3.72728936479332e-14,2.696014975644119e-38,3.817663133393428e-15,0.0,1.958486948751325e-33,9.314072648433807e-31,3.9924858830443333e-13,9.509519897413065e-16,3.2157807719847684e-20,1.2188417669793313e-32,9.765171045691073e-16,0.0,2.8074919657071884e-15,3.3980330065757473e-29,1.6404364768576798e-15,0.0,0.0,0.0,0.0,5.689344882450775e-19,1.291230301375182e-14,0.0,9.080856022329989e-23,3.543392300730682e-30,1.5786167457063305e-12,7.882023237015654e-22,9.647841220034449e-34
0.049,0.05401608912134396,298.00546743398866,1.2907466509561327,0.6172136342355674,1.3427610869626052e-16,0.1482545219774797,2.43160865179212e-17,0.0470031282739058,0.187502045972655,3.863768306821501e-07,0.0,0.0,6.820599852077087e-15,3.1888598145528505e-24,3.0204210289750128e-28,2.6069617003803227e-05,0.0,0.0,7.057714118368669e-13,5.053613524745355e-13,1.3493211543951425e-07,7.635847977723221e-09,1.9068188483878942e-27,2.8350184357115433e-34,8.19299883017078e-19,3.7697985535167766e-14,7.00810262285427e-31,4.196443802629643e-39,2.7703917969282083e-09,3.3163339707122006e-44,6.576564317165779e-35,9.875216892297159e-14,2.9775536831197414e-25,8.42583538227978e-13,5.487988616956864e-29,4.865656688310478e-10,4.324796769361288e-12,2.889860911630281e-28,5.3652481337291894e-27,3.434958285078347e-27,7.123306197676175e-29,1.691212757896297e-16,1.876478642918808e-27,6.713044147905902e-08,2.0547713355710634e-10,6.21541458502476e-11,8.366549521680512e-11,0.0,9.517260519445523e-30,9.922069699557837e-17,1.8913252003356465e-11,1.2755377461011936e-10,5.645866222748138e-25,2.0739659920069726e-13,6.399247731484893e-15,7.128846257907924e-11,5.670033796452307e-13,4.4666315143671035e-14,2.2469020911479405e-28,1.99930997170632e-39,1.5922143007178558e-18,6.479240781906819e-46,8.327981795280936e-29,6.2134870998412225e-30,1.3539673043713383e-23,2.003527657498606e-19,7.774008680593362e-14,1.71595695331443e-20,5.524915163568905e-18,7.3104684158939995e-28,1.749766321815646e-13,0.0,4.540347355501791e-40,7.065166655739806e-19,4.496564103598648e-30,3.946477250383314e-36,6.618384037251153e-30,0.0,0.0,4.366584565085966e-14,0.0,1.9591324523849056e-12,5.037239520264758e-24,3.452456516558899e-12,6.48542498124958e-24,3.8871288373516705e-20,0.0,6.546586070188602e-30,2.986841934951492e-32,2.69823177780595e-39,0.0,0.0,0.0,7.239621710845889e-15,0.0,6.145214646139754e-20,0.0,2.489764268591594e-28,2.416300615662643e-22,0.0,9.20343302380714e-15,0.0,1.4932823849285256e-13,4.975833578427923e-19,4.1468626331115584e-17,2.1844972947047117e-26,0.0,0.0,0.0,1.1567707165363025e-16,5.065180217348932e-14,8.46864234354428e-68,2.1429076369455967e-13,1.2825029793134257e-37,2.0178953884397513e-14,0.0,3.6959545288956935e-33,1.67140248199953e-30,1.9255765862186152e-12,1.6953262824139522e-15,1.5305775519738723e-19,1.305108554754182e-32,1.0445684690325554e-15,0.0,5.042263857913763e-14,3.2070182229724657e-29,2.664906764000198e-15,0.0,0.0,0.0,0.0,1.565524829034075e-18,1.7973933608337758e-14,0.0,9.006112568414883e-23,3.4179159458325966e-30,6.637592787077456e-12,7.97581457739447e-22,1.4077944295727258e-33
0.05,0.05403037282914508,298.0185255492326,1.2904054235416147,0.6171967298609116,1.3427442769636922e-16,0.14825947515696875,8.887503780192953e-17,0.04700115618971619,0.18749898359265016,1.3029521589360774e-06,2.3822177008073775e-40,2.1421350238456115e-52,6.953631284596298e-15,1.882578617214823e-23,0.0,4.161620028839779e-05,0.0,0.0,2.5844477305286554e-12,2.2872532412925195e-12,4.605960383954914e-07,3.2789736736093356e-08,6.036110733320627e-27,9.55950258448896e-34,2.99467421934888e-18,1.0097923294592053e-13,1.4783602159262196e-29,6.259496904610235e-38,1.1216444690436107e-08,1.3379050388988512e-43,5.838275547012552e-34,4.1462088952409446e-13,2.6998754696862376e-24,4.129552385791045e-12,8.464250314960033e-28,2.0365425206794364e-09,1.942785044318027e-11,4.78794908219043e-27,1.1466020819915354e-25,1.4776592094986392e-26,1.0976923378149128e-27,1.151629418165629e-15,1.287428980186454e-26,2.2643101651963293e-07,9.186312206848635e-10,2.99847944586325e-10,4.218957545015593e-10,4.291816000572157e-15,0.0,6.820485000082836e-16,1.1676946940156762e-10,6.739223512307145e-10,1.0060650725479688e-23,1.3481009279514014e-12,6.733852939741433e-14,4.279241952413121e-10,3.714411061911541e-12,3.0484868525726093e-13,1.3063651040488815e-27,0.0,5.817001247931045e-18,9.21053245653736e-45,8.344391318550804e-29,6.226028553090922e-30,9.897651599881504e-23,2.107318671570057e-18,8.172657718015257e-13,1.805152331570204e-19,5.534046911801617e-18,7.321243821774024e-28,6.201596545984535e-13,0.0,4.543528251790117e-40,7.384671884219558e-19,4.5409824667465516e-30,0.0,6.693052393102333e-30,1.9843394045024725e-34,0.0,2.2654241204045893e-13,0.0,1.2989752789511918e-11,1.8341733455460866e-23,1.6154943639068152e-11,2.957653312892542e-22,8.907855060487286e-19,1.1337312121992565e-44,8.81374328854168e-29,3.695365059530085e-31,2.9282478377062995e-39,0.0,5.634104957889553e-18,0.0,7.239750039246595e-15,0.0,9.09737844441454e-19,0.0,3.378316862831555e-26,2.281675678040052e-22,4.265325991899416e-30,9.481755492125425e-15,0.0,1.0711746156513618e-12,6.525016462142206e-18,2.760613124519331e-16,4.958299330028395e-25,0.0,0.0,1.655698013565794e-15,1.2446566332223226e-16,4.055222501591231e-13,5.98632669191334e-67,1.7112040548137135e-12,1.1380218915587489e-36,1.5187684727115275e-13,0.0,4.427524076111716e-33,5.73642889033143e-30,1.2636789960803285e-11,8.375106313123022e-15,1.2828335392128295e-18,1.9269821051034676e-32,1.5376425853769203e-15,0.0,4.278913088379827e-13,2.9960816194024364e-29,1.0956256052214538e-14,0.0,0.0,0.0,1.4968571078466966e-15,1.0973419268213329e-17,5.732874308497574e-14,0.0,8.934199513022835e-23,3.285189733692507e-30,3.683207217934519e-11,8.068049634221751e-22,1.9662264823399345e-33
0.051000000000000004,0.05405993407174957,298.06712686210534,1.28969979964933,0.6171674546611866,1.3427168377509002e-16,0.14826819437569316,3.348983146766462e-16,0.04699633521705304,0.18749192223954458,4.7024304085748205e-06,0.0,3.997851002951353e-51,7.990956030077954e-15,1.1968617357914755e-22,0.0,6.866668784862673e-05,0.0,0.0,9.768599080430629e-12,1.1179224758985927e-11,1.682739473663964e-06,1.5042764482134763e-07,1.2421207563944141e-25,2.865651727295783e-32,1.12864008789472e-17,3.977620509807048e-13,3.0091884957727844e-28,1.0274310193264716e-36,4.855443536607401e-08,5.8855379466913126e-43,7.849639718448876e-33,1.917980497951722e-12,3.710522099452463e-23,2.1517133642647303e-11,1.4311954500729914e-26,9.109913034558991e-09,9.293677295738607e-11,8.692747843817657e-26,2.2663299164239254e-24,3.227575673982989e-25,1.857207703368886e-26,6.390993684636623e-15,8.796071055193086e-26,8.173951793444584e-07,4.384728276324405e-09,1.542170221376419e-09,2.265866262469416e-09,2.6604160995189353e-14,3.420481887175411e-27,4.662233686074133e-15,7.638534753538656e-10,3.787981187647932e-09,1.92827337830277e-22,8.73095552111282e-12,5.980670776309501e-13,2.723774775377266e-09,2.5744699728818e-11,2.2180486416544717e-12,8.239100729687549e-27,2.3422779862187968e-38,2.189280180402393e-17,2.1363692198270922e-43,8.408309757079275e-29,6.2748391642465506e-30,6.518052009279095e-22,1.869185194398666e-17,7.235424123347028e-12,1.6022891451268393e-18,5.5682890397789535e-18,7.364399599111211e-28,2.2029299365331734e-12,0.0,6.394139687999098e-40,9.862954172382048e-19,4.805235563318448e-30,0.0,6.754760432020411e-30,4.690150347384346e-32,0.0,1.2523404362565686e-12,0.0,9.082053699076147e-11,6.914493318533621e-23,8.025951479395952e-11,1.1413763748584592e-20,2.0015669002221637e-17,7.437801067671535e-44,2.051830302497554e-27,2.667293386320292e-29,1.8824009663028628e-38,0.0,9.310701675723262e-17,0.0,7.240056580638875e-15,0.0,1.3284085466233131e-17,0.0,1.5428391784741128e-24,2.1503119622138115e-22,7.503547833981859e-29,1.175093400972163e-14,0.0,8.501733495874198e-12,7.737268143816586e-17,2.384697101025821e-15,3.652095322926721e-23,0.0,0.0,5.6757138618144495e-14,1.5585600153635916e-16,3.450060042128144e-12,3.3363496628323354e-65,1.4368815390064847e-11,1.527924048913439e-35,1.2119010023438955e-12,0.0,8.353118968148572e-32,1.128324460094957e-28,8.780017184278164e-11,6.831447533873326e-14,1.1839619438078219e-17,6.450913033081528e-32,5.11067558442087e-15,0.0,3.4200892366738265e-12,2.6773906802141934e-29,7.805769090397955e-14,0.0,0.0,0.0,2.6105022834502657e-14,9.977980320462728e-17,3.6330773525966113e-13,5.910369215218319e-15,8.956674545398024e-23,3.1276525852518238e-30,2.1704085771056534e-10,8.173628980957397e-22,5.257610549800884e-33
0.051500000000000004,0.05408948420447719,298.1409651730096,1.2889952117616776,0.6171447564562608,1.3426975662538516e-16,0.1482751328449461,7.183003434541197e-16,0.0469907946759894,0.18748394113461905,9.854446920920528e-06,0.0,5.332491486302752e-50,1.1156212173910212e-14,3.437568871297961e-22,0.0,8.969804973594345e-05,0.0,0.0,2.0982554880130068e-11,2.8907305140534188e-11,3.555119333545448e-06,3.713964174438486e-07,1.0837981376762477e-24,1.3805204707407974e-31,2.4214526637046762e-17,9.566901657769719e-13,1.753466331179796e-27,5.26548777886264e-36,1.1510710228888432e-07,1.4399315892501927e-42,3.4792814133859423e-32,4.7884318792098524e-12,1.7224415915097779e-22,5.8173425914813494e-11,7.463170474824434e-26,2.20962304593719e-08,2.3626222389408253e-10,4.783790370364635e-25,1.3116076490130028e-23,2.8660051685365746e-24,9.692828602116388e-26,1.752059150140129e-14,2.9046872065744056e-25,1.7132230808901292e-06,1.1133792761260926e-08,4.131767060496341e-09,6.265282078447589e-09,6.675834830691732e-14,2.1143728669746037e-26,1.5341529921740814e-14,2.4488925980022135e-09,1.083133441160143e-08,1.121550987693888e-21,2.768313166431323e-11,2.454301198771912e-12,8.551594522727926e-09,8.630750335789568e-11,7.731311054099511e-12,2.3667235068153917e-26,0.0,4.687960845016894e-17,1.310756861540852e-42,8.50801109098071e-29,6.350963036060784e-30,1.888348542113585e-21,7.657372850835047e-17,2.955539047564756e-11,6.571367674738441e-18,5.620778402951474e-18,7.4323692459595535e-28,4.262085172972246e-12,0.0,1.811519373749793e-39,2.2572509071130347e-18,5.4059733847872074e-30,0.0,6.77815688979919e-30,2.3132785297661858e-31,0.0,3.5377260857270255e-12,9.839241481147778e-15,3.0642838237633875e-10,1.4862903472407925e-22,2.0969136231407016e-10,1.107969333317423e-19,1.8169258521614294e-16,2.4030328511223733e-43,1.4401155051123478e-26,4.81925881573026e-28,2.926331355421608e-37,0.0,4.1508858764570233e-16,0.0,7.240357000227364e-15,0.0,8.252668897586776e-17,0.0,1.6987690661559398e-23,2.0875461929213433e-22,3.2264873929691514e-28,1.8974124118539127e-14,0.0,3.1884223752126585e-11,3.7685879258902063e-16,9.753682445089124e-15,5.897992502832824e-22,0.0,0.0,2.598922070182642e-13,1.9635479825135365e-16,1.3622712637764457e-11,1.269505533584066e-63,5.6075506825284416e-11,6.759063229275768e-35,4.542985890224631e-12,1.490175181131116e-14,6.986189481712214e-31,1.019938280244142e-27,2.949301928367798e-10,2.7744043658324894e-13,5.013949196076982e-17,1.9456719960164272e-31,1.526436838860171e-14,0.0,1.2686187543317612e-11,2.328850114925508e-29,2.9002953841373626e-13,0.0,0.0,0.0,1.1071635380497547e-13,4.25144889121308e-16,1.2934090902600124e-12,2.658334206687774e-14,9.315364085108139e-23,3.0382867304360966e-30,6.427890347571035e-10,8.280109729476837e-22,3.241878861890673e-32
