grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_BROH(8),Y_H(9),Y_O(10),Y_H2(11),Y_Ar(12),Y_He(13),Y_HO2(14),Y_H2O2(15),Y_CO(16),Y_CO2(17),Y_HCO(18),Y_CH2(T)(19),Y_CH3(20),Y_CH2O(21),Y_HCCO(22),Y_C2H(23),Y_C2H2(24),Y_H2CC(25),Y_CH2(S)(26),Y_CH3OH(27),Y_CH3O(28),Y_CH2CO(29),Y_C2H3(30),Y_C2H4(31),Y_C2H6(32),Y_C2H5(33),Y_CH2OH(34),Y_CH3CO(35),Y_CH2CHO(36),Y_CH3CHO(37),Y_F(38),Y_HF(39),Y_CH3F(40),Y_CH2F2(42),Y_CHF3(43),Y_CF2(44),Y_CF3(46),Y_CF3O(49),Y_CF2O(50),Y_CHF2(83),Y_CF3CCH(85),Y_BR(91),Y_HBR(93),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(273),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1665),Y_S(1731),Y_S(1783),Y_S(1815),Y_S(1867),Y_S(1890),Y_S(2071),Y_S(2074),Y_S(2457),Y_S(2672),Y_S(2677),Y_FCBr(2959),Y_S(2962),Y_S(2970),Y_S(3150),Y_S(3216),Y_S(3404),Y_S(3990),Y_S(3991),Y_S(4154),Y_S(4185),Y_S(4186),Y_S(4543),Y_S(5257),Y_S(6448),Y_S(6456),Y_S(7931),Y_S(8019),Y_C#CC(8822)
0.0,0.10648917198105208,298.0,1.2517652341734826,0.64099857597268,3.237924109409521e-18,0.11546397436430618,0.0,0.048814594195643886,0.1947228554611403,0.0,0.0,2.743489173498332e-15,0.0,4.3863817797643604e-16,4.3889804969864346e-14,5.42351035185698e-12,1.4995042223978304e-72,0.0,7.914771761400063e-16,0.0,0.0,0.0,8.974188337707759e-23,0.0,1.2939302274594075e-13,0.0,0.0,6.689975308623415e-43,0.0,1.8349717261140525e-14,0.0,3.409463885354436e-16,2.284242119993972e-27,5.3510191395066105e-14,5.602333764125192e-16,5.308951794136686e-17,0.0,0.0,0.0,5.836100953797689e-29,7.282080930544205e-25,6.844834753023969e-16,1.1059681185547317e-14,1.4075496898242217e-16,9.136039992579276e-16,0.0,1.2020797102805458e-14,1.1242477188137827e-13,1.0325034555926565e-15,4.3002241326019694e-18,3.1360702460266097e-20,2.591646315608084e-18,2.1840272423623605e-16,0.0,6.926628908530557e-14,0.0,0.0,0.0,0.0,0.0,1.7847543214360853e-13,1.2891370544623372e-31,9.505231560057092e-33,0.0,0.0,0.0,0.0,0.0,3.569789263442795e-29,0.0,0.0,5.526028413140053e-29,1.870203867367209e-20,0.0,0.0,0.0,0.0,3.423615218472163e-27,0.0,0.0,0.0,3.37254121760028e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.831951688042977e-19,0.0,2.955888953074135e-14,1.4830537504694576e-16,1.0721961756518916e-18,2.1528674700571424e-16,0.0,0.0,0.0,0.0,0.0,2.7117279327133663e-14,2.6479646889838384e-18,1.9541358630922685e-18,0.0,1.4400384869679898e-14,4.656834309151138e-19,1.1504632738536417e-15,0.0,2.4005530863351665e-14,0.0,0.0,1.378317153991168e-16,6.901169490913581e-14,0.0,0.0,0.0,0.0,5.712112766015415e-20,0.0,0.0,0.0,5.480333449399685e-17,0.0,0.0,4.934288942034749e-19,2.1687477057274973e-23,2.3616462253109453e-19,0.0,0.0,0.0,1.9515401718065744e-16,3.327937177217309e-19,0.0
0.016,0.1064891721654052,297.9999999981379,1.2517652320072943,0.6409985758449649,3.237924113274765e-18,0.11546397439460855,0.0,0.048814594186017836,0.19472285544243045,0.0,0.0,8.205098808318989e-23,0.0,0.0,0.0,1.310443413798926e-10,2.842058212423175e-71,0.0,6.857172532064594e-14,0.0,0.0,0.0,1.0265457245855226e-20,0.0,2.309556798699884e-18,0.0,0.0,0.0,0.0,1.4316175252017004e-21,0.0,3.4094683222656703e-16,2.7601278954335416e-25,5.3522645555092306e-14,7.798226123426629e-23,5.943249505950159e-15,0.0,0.0,0.0,0.0,1.011176711522439e-22,6.84483418145123e-16,4.079298085707353e-22,1.2015876462038658e-14,9.137370451201505e-16,0.0,1.202082299191118e-14,1.1242626222037498e-13,3.3101275952918917e-22,7.830549118669739e-16,5.536395585475597e-18,2.9563654963141013e-21,0.0,0.0,6.926572706142986e-14,0.0,0.0,0.0,0.0,0.0,1.3582378432338973e-21,4.8944608028694034e-29,3.651672124448231e-30,0.0,0.0,0.0,0.0,5.733610885937577e-18,1.0983060967620605e-26,0.0,0.0,1.4140071129186085e-26,9.271669711814478e-20,0.0,0.0,0.0,0.0,7.303760718202619e-25,0.0,0.0,0.0,4.30015601622863e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.441227528777999e-18,0.0,2.955593139905758e-14,2.410225631192907e-23,2.3789134343571487e-16,2.5163943882249864e-22,0.0,0.0,0.0,0.0,0.0,2.7117279338925587e-14,8.415686007286123e-16,1.9568116721494026e-18,0.0,1.4399245327271834e-14,1.6834211867265771e-16,1.1309740050033063e-15,0.0,2.400553086933821e-14,0.0,0.0,1.3783171512638286e-16,6.901169492844658e-14,0.0,0.0,0.0,0.0,5.702972197850459e-20,0.0,0.0,0.0,5.4803337690130357e-17,0.0,0.0,1.7103468993712728e-16,7.595216770896173e-21,8.159582134038575e-17,0.0,0.0,0.0,1.8594888548247448e-16,9.519025094312079e-18,0.0
0.032,0.10648917663671142,297.999999999897,1.2517651794476699,0.6409985727698907,3.2379241148808628e-18,0.11546397511055118,2.936179116628919e-18,0.04881459395435984,0.19472285499782602,1.2442782112461136e-13,0.0,2.469638893338763e-30,0.0,0.0,0.0,3.166237271486021e-09,2.4209572213085786e-71,0.0,1.0967289713687165e-13,0.0,0.0,0.0,3.364463522703063e-27,0.0,9.89985166600752e-20,0.0,0.0,1.0490252842285153e-45,0.0,1.1202697909933958e-28,0.0,3.409988488405445e-16,1.828771207579433e-26,5.352168521455211e-14,1.087942834063415e-29,6.009548238706278e-15,0.0,0.0,0.0,0.0,3.2167980635308016e-28,6.844836029116263e-16,2.0857653914631315e-26,2.608323738758283e-14,9.29877636186675e-16,0.0,1.2024431313123257e-14,1.1254948463669433e-13,0.0,1.1002676595985647e-15,8.599262372252474e-18,3.3806960056044155e-24,3.254475039643649e-15,0.0,6.926626665446977e-14,0.0,0.0,8.469390354804634e-31,0.0,1.452340955632204e-19,1.0349680844410057e-29,4.8944606594117713e-29,3.6516720029974e-30,0.0,0.0,0.0,0.0,5.7336772301682014e-18,5.732098864761041e-28,0.0,0.0,1.0797425408879048e-33,1.6673135138501238e-19,0.0,0.0,0.0,0.0,7.3192385397784215e-25,0.0,0.0,4.408744186558598e-25,4.4848296064547143e-13,0.0,0.0,2.725479982831045e-47,2.9012687570217005e-32,0.0,0.0,0.0,6.399072556128533e-18,0.0,2.955297375552335e-14,5.32961507981931e-30,3.84567188333913e-17,6.132894822498716e-25,0.0,0.0,0.0,0.0,0.0,2.71172813589558e-14,3.473822430793756e-16,1.958627859094086e-18,2.637276453872731e-29,1.4399245410984425e-14,1.6834214705511486e-16,1.1309740360101064e-15,0.0,2.4005531228707983e-14,0.0,0.0,1.3783182620704332e-16,6.901169540623216e-14,4.340009655914913e-34,1.9298673028074762e-31,0.0,0.0,5.702972320411094e-20,0.0,0.0,1.1280626516632276e-48,5.480410253006254e-17,0.0,0.0,1.6701118915413116e-16,5.3248695414509204e-21,8.562192205879262e-17,0.0,0.0,0.0,1.835114066115289e-16,1.1939254526661342e-17,0.0
0.04,0.10648921772270459,298.00000005683063,1.2517646964880473,0.6409985445248929,3.2379240600440825e-18,0.11546398168753032,3.3527852720924674e-18,0.04881459182276203,0.19472285091208144,3.9351250519287776e-12,0.0,1.524574021669212e-37,0.0,5.06595670394672e-28,0.0,3.104622821573263e-08,1.7747755378626127e-71,0.0,1.2519587443236576e-13,0.0,1.0613264499174092e-12,0.0,7.12936895226095e-30,0.0,1.1299412359554464e-19,0.0,0.0,2.8804682608476433e-45,8.125232380295084e-15,1.7748137072632852e-35,3.0371545376250675e-36,3.4330802708890137e-16,1.736142246292777e-26,5.352814380192312e-14,2.5181640876906834e-34,8.804849459820459e-15,0.0,0.0,0.0,0.0,0.0,6.845031070261315e-16,2.2291976385530222e-26,4.788477220936112e-13,1.666183019659416e-15,0.0,1.2213457716975837e-14,1.1760063105172092e-13,0.0,1.1767903835665181e-15,2.960806659652132e-17,7.813058432354234e-27,5.62502578156179e-15,0.0,6.932794853040899e-14,0.0,0.0,9.972504661928475e-31,0.0,1.658440658084638e-19,1.58549089798431e-37,4.894459374832884e-29,3.651671045358386e-30,0.0,0.0,0.0,0.0,5.733677151558926e-18,5.730118397896767e-28,0.0,0.0,5.063044832673805e-40,2.0373866772381065e-19,0.0,0.0,0.0,1.7569122550217062e-33,7.319238913448414e-25,0.0,0.0,5.052175340496396e-25,4.590300626274359e-13,0.0,0.0,4.710731967015205e-47,5.423030838141971e-32,0.0,0.0,0.0,7.877921226794069e-18,0.0,2.955149675531835e-14,1.4085168227081895e-30,1.0722546362875744e-17,6.119674738847584e-25,0.0,0.0,0.0,0.0,0.0,2.7117436479511698e-14,1.6985584613425418e-16,1.9595440752336113e-18,8.142471740212112e-29,1.4399246060418393e-14,1.683421574458617e-16,1.1309744658955124e-15,0.0,2.4005551790274155e-14,4.622097819139501e-19,4.4758495761323623e-39,1.3784095929677698e-16,6.901169983059959e-14,8.434253056469913e-34,3.920864107005033e-31,0.0,0.0,5.70298112020909e-20,0.0,0.0,2.2726722658054337e-48,5.486606140259258e-17,0.0,0.0,1.668220836153792e-16,4.391380601576471e-21,8.581201350261475e-17,0.0,0.0,0.0,1.830023842610518e-16,1.2443887783764541e-17,0.0
0.044,0.10648941692454104,298.0000009819825,1.2517623549058234,0.6409984077642051,3.237923722138931e-18,0.11546401353826362,3.525251315515467e-18,0.048814581446225955,0.1947228310926371,6.604550943749367e-11,0.0,1.9291108461023414e-44,0.0,2.845462640675839e-27,0.0,1.6606320932614573e-07,1.4937577476338568e-71,0.0,1.31643554743952e-13,0.0,1.9495469824487848e-11,6.145500040507434e-13,7.72272468231015e-30,5.833641899347822e-36,1.1880341155173774e-19,0.0,0.0,4.271836141083638e-44,1.9766835675767823e-13,5.691857115467047e-42,2.9296639571193995e-36,3.951415739549045e-16,1.6733082524332247e-26,5.369462140282524e-14,1.1914421418908842e-33,6.843192619564207e-14,0.0,0.0,0.0,0.0,0.0,6.850078198188551e-16,2.274263104425264e-26,7.878564604832361e-12,1.864475119946466e-14,2.893576732778345e-15,1.7211932722738205e-14,2.2238444471291103e-13,0.0,1.2006137807016045e-15,6.802508415420938e-16,5.441719193498723e-29,6.871116999031547e-15,0.0,7.13188634342521e-14,8.719970586369689e-17,0.0,1.165588749141294e-30,0.0,1.7437487739084965e-19,4.883002065387027e-45,4.894453670576322e-29,3.651666801910306e-30,0.0,0.0,0.0,0.0,5.7336772455236116e-18,5.730109300248292e-28,0.0,0.0,3.554289649541406e-40,2.2224234395685363e-19,0.0,0.0,0.0,1.796063852452613e-33,7.319241123913257e-25,0.0,0.0,5.319446745027797e-25,4.64938609622702e-13,0.0,0.0,5.754290942273659e-47,6.5649641544414e-32,0.0,0.0,0.0,8.617338873994849e-18,0.0,2.9550766290903905e-14,1.4085553479573181e-30,4.6850288629100076e-18,6.117578283903451e-25,0.0,0.0,0.0,0.0,0.0,2.7123823325198005e-14,1.0687408666643896e-16,1.960376861372516e-18,1.0830996845779659e-28,1.439924906933135e-14,1.6834220929907489e-16,1.1309920779465543e-15,0.0,2.4006415751891203e-14,5.633955047374518e-18,4.317313624915547e-39,1.3821988301993325e-16,6.901172342954713e-14,1.3203721633429127e-33,6.132043526766843e-31,0.0,0.0,5.703397343891261e-20,0.0,0.0,2.776928724220867e-48,5.739037541134562e-17,0.0,0.0,1.668060461695711e-16,3.97027063613736e-21,8.582856634816062e-17,0.0,0.0,0.0,1.8301441863963746e-16,1.2603245564924283e-17,0.0
0.048,0.10649077460448964,298.0000213366966,1.2517463958501165,0.6409974795176249,3.237921391843574e-18,0.11546422982286647,3.664147570079174e-18,0.048814509930575845,0.19472269576707532,1.4380284388963621e-09,0.0,2.547488670885259e-51,0.0,1.9271908657797975e-26,0.0,1.082886849962432e-06,1.3445199059023834e-71,0.0,1.36831141648378e-13,0.0,4.338665709665137e-10,1.9159244157219603e-11,1.8479104677048604e-29,6.838999287037984e-36,1.2348145475172188e-19,1.8051688006303503e-15,0.0,1.1903288178143477e-42,5.444363590231123e-12,6.58481367323574e-47,2.782780754453195e-36,1.963758086828235e-15,1.5887662393994708e-26,5.941704500065139e-14,2.905821195926611e-32,1.7842068379158581e-12,2.386231938481478e-14,0.0,0.0,0.0,4.7985155606778915e-33,7.025204640175641e-16,2.3106773562627693e-26,1.7159518371443106e-10,5.463225570995965e-13,1.415828392728763e-13,1.951140675424555e-13,3.155544648156362e-12,0.0,1.2200661150657275e-15,2.9686541381637844e-14,1.9342932172544546e-28,8.163008626430723e-15,0.0,1.5738338757700996e-13,4.3572093004297065e-15,1.0301339496470991e-17,2.0372710354848354e-30,1.7610404651512028e-40,1.8124338429302416e-19,8.141777615906839e-49,4.8944261328112146e-29,3.651646529243686e-30,0.0,0.0,0.0,0.0,5.733688168035471e-18,5.730058365710661e-28,0.0,0.0,3.554369908190433e-40,2.4074705531694377e-19,0.0,0.0,0.0,1.797781378720719e-33,7.319266393342308e-25,0.0,0.0,5.534934264659706e-25,4.828221433879926e-13,0.0,0.0,6.83624112806673e-47,7.573369889661932e-32,0.0,0.0,0.0,9.357471775798182e-18,0.0,2.955008752102815e-14,1.4086828045181307e-30,2.103052823728682e-18,6.1162152747037815e-25,0.0,0.0,0.0,0.0,0.0,2.747916755116394e-14,6.565377265205888e-17,1.9846125250204056e-18,1.486850657036543e-28,1.4399269405680997e-14,1.6834263111485137e-16,1.13214806209709e-15,0.0,2.4057680044028752e-14,2.8872369213807797e-16,4.100709750831884e-39,1.5932538144544306e-16,6.901205437306652e-14,1.084736363547391e-32,4.758308458143738e-30,2.0535225132714143e-15,0.0,5.730614689630922e-20,0.0,0.0,3.28814959398496e-48,1.9535682979256933e-16,0.0,0.0,1.6680382312605675e-16,3.589994375076665e-21,8.583171297083959e-17,0.0,0.0,0.0,1.9310621502463986e-16,1.3370003512552294e-17,1.3804627037072376e-14
0.049,0.10649235966865966,298.0000932167515,1.2517277644841454,0.6409964087342351,3.2379186707054498e-18,0.1154644796273308,3.698531285174307e-18,0.048814424050962424,0.19472253683206028,6.302195742848567e-09,0.0,0.0,0.0,3.848605572687051e-26,2.1976382941319034e-24,2.14160337204281e-06,1.3338516577722604e-71,0.0,1.3803868372655846e-13,0.0,1.928097929326073e-09,1.0673870096462563e-10,6.812906243931489e-29,1.3866837222347304e-35,1.2463970432488901e-19,1.0689569224007152e-14,0.0,6.313695516164839e-42,2.8628880479625626e-11,3.390579486763766e-46,2.7466015926874648e-36,9.528082260893621e-15,1.5694507730232158e-26,9.068748000307855e-14,1.5824966125009371e-31,9.659393615065757e-12,1.6521004926224003e-13,4.118913779332089e-31,0.0,0.0,1.744536218101776e-31,7.991104639698592e-16,2.3870375801795278e-26,7.529119508088091e-10,3.158255926244872e-12,8.888092890481221e-13,1.2011326177718533e-12,1.6259692298730718e-11,3.1627099024225965e-29,1.260651774033712e-15,2.3467980408196876e-13,1.1493219621317242e-27,8.484478542992338e-15,0.0,7.467469302391653e-13,3.647380767839905e-14,1.6674261800646852e-16,3.0198095867972093e-30,0.0,1.8294163320884053e-19,1.5906150398752708e-48,4.894432822478728e-29,3.651652483580408e-30,0.0,0.0,0.0,0.0,5.733736131299512e-18,5.730035066114443e-28,0.0,0.0,3.554480020139284e-40,2.4538790121157057e-19,0.0,2.1416385911019171e-32,7.74559864550401e-40,1.8097469581494167e-33,7.319330857653168e-25,0.0,2.7766226148449988e-15,5.588322807091079e-25,5.47278925875495e-13,0.0,0.0,7.105593248368547e-47,7.806429437836185e-32,0.0,0.0,0.0,9.55007722439201e-18,0.0,2.954997263306075e-14,1.4090363534435208e-30,2.8043008438530327e-18,6.1160342484534155e-25,4.781405523794391e-30,0.0,0.0,0.0,0.0,3.0604206396038205e-14,5.993364957307564e-17,2.2205290887471095e-18,2.9164063650536566e-28,1.4399292805333777e-14,1.6834407578876574e-16,1.144305628415094e-15,0.0,2.454052727243329e-14,2.8874038583751576e-15,4.0473174425737115e-39,3.4500316303324967e-16,6.901454257305472e-14,5.435162946480538e-32,1.9858171043914715e-29,2.6416742238036045e-14,0.0,6.012121792220991e-20,0.0,0.0,3.9214354746339194e-48,1.3865025436937176e-15,0.0,0.0,1.668040898805312e-16,3.4974976812770435e-21,8.583232482233974e-17,0.0,0.0,0.0,2.926977185150561e-16,1.994379263335954e-17,1.0464097448705023e-13
0.05,0.10649633704410824,298.00054244512523,1.2516810155405917,0.6409937926500237,3.2379119531049396e-18,0.11546509148041548,3.747774852081018e-18,0.048814196863822386,0.1947221320723718,3.681350093627478e-08,0.0,2.7319341327983797e-54,0.0,8.635532320302894e-26,7.641103045819748e-23,4.732992119998501e-06,1.341301076004201e-71,0.0,1.3916713326353554e-13,0.0,1.1445944760351835e-08,8.210622667452495e-10,0.0,2.2475492779479175e-34,1.2630168102255116e-19,8.337746414923107e-14,7.036800945984915e-32,4.613848857358182e-41,2.0646143457270394e-10,2.448937406243936e-45,2.7314034880685545e-36,7.243129475181292e-14,1.5728806355443776e-26,3.8286052820338995e-13,1.1984065184686297e-30,7.22191159043987e-11,1.3719203528406885e-12,3.262822395944021e-29,2.1977181900817873e-28,5.249961106000804e-28,1.5826732186943244e-30,1.7094699620499073e-15,3.262661121915515e-26,4.404331572743472e-09,2.5411654408371977e-11,7.778651907050642e-12,1.090715589872737e-11,1.1779377480733927e-10,1.0993556458841894e-27,1.7239316565903965e-15,2.675821488345344e-12,1.0095087967758002e-26,8.779019380817785e-15,0.0,7.55791307923234e-12,4.4195467177338555e-13,2.24946529351941e-15,5.4572919505692365e-30,9.517643431144074e-41,1.8537041886742737e-19,3.505480323897692e-48,4.894666647973768e-29,3.65183295734566e-30,0.0,0.0,0.0,0.0,5.734053226283406e-18,5.73017859776204e-28,0.0,0.0,3.5550370866343785e-40,2.503976534736797e-19,0.0,7.44625534152081e-31,2.1165105963399565e-37,2.168161590652919e-33,7.319687713722974e-25,0.0,2.8565473502417245e-13,5.665065523543523e-25,1.1100163034924618e-12,0.0,0.0,7.353112338480718e-47,8.003872486206659e-32,0.0,0.0,0.0,9.87003212578908e-18,0.0,2.954995898406203e-14,1.4116977037562062e-30,2.5771151829281825e-17,6.116404036130497e-25,0.0,0.0,0.0,0.0,0.0,7.645675831680529e-14,1.1339080642250698e-16,6.103523642692405e-18,2.4309764518600164e-27,1.4399350264882157e-14,1.6836926796303958e-16,1.3565098660325436e-15,0.0,3.211157010375187e-14,4.297845887817142e-14,4.0247228245425265e-39,3.0701041209859878e-15,6.906254165162585e-14,4.014261844299944e-31,1.4019881891401703e-28,3.350117769353099e-13,0.0,1.0841127884530737e-19,0.0,0.0,1.2199287164087203e-47,1.855556426813534e-14,0.0,0.0,1.6680780435344738e-16,3.40747826854527e-21,8.583438567147713e-17,0.0,0.0,0.0,1.909190333902071e-15,1.2745702605382506e-16,1.0743526430765583e-12
0.051000000000000004,0.10650668362030666,298.003349449626,1.251559421157128,0.6409874116400355,3.2378956132620894e-18,0.11546659255010294,3.9324763288890766e-18,0.04881354303934136,0.1947210388139199,2.2820620260201066e-07,0.0,1.020329508472755e-51,0.0,2.1339118581566285e-25,6.495599590893972e-22,1.1076085625417567e-05,1.3658877805161903e-71,0.0,1.4025719404813497e-13,2.1685809291137778e-13,7.207381432114054e-08,6.647442514698773e-09,0.0,1.124057350288101e-32,1.3256499984204675e-19,6.780901058766586e-13,3.175055956980951e-30,3.6842922503591576e-40,1.5705309861578346e-09,1.864307396545877e-44,2.9044809020402933e-36,5.955334713878606e-13,1.7818103844397606e-26,3.1128265910264247e-12,9.914372328129294e-30,5.692008302821994e-10,1.1674085970396082e-11,3.234735285009428e-28,3.490053318532115e-27,7.130639882352576e-27,1.6045113798111027e-29,1.0289830477718725e-14,1.3921627009583863e-25,2.734062029201878e-08,2.150131585512455e-10,7.13083586073999e-11,1.0455262812276126e-10,9.045248100386538e-10,9.347178695167355e-27,7.363394143182343e-15,3.174669185922023e-11,9.766283792614775e-26,8.889358978719716e-15,0.0,8.627506475640949e-11,5.561062415156063e-12,2.997759908694804e-14,1.1943709814039227e-29,0.0,1.944852452874292e-19,8.778755201414493e-48,4.8965979810650396e-29,3.6533115286372785e-30,0.0,0.0,0.0,0.0,5.7360772672521274e-18,5.73178315038528e-28,0.0,0.0,3.55819711387599e-40,2.6515552852750494e-19,0.0,6.329947941133658e-30,1.3715518318172592e-35,2.0881647679473877e-32,7.321803531533657e-25,0.0,3.892905683813889e-12,5.957324681146809e-25,6.111611037836293e-12,0.0,0.0,7.450881516978962e-47,8.029990076348548e-32,0.0,0.0,0.0,1.2411316620851827e-17,3.5812176901367257e-19,2.9550194005286795e-14,1.4349436216023652e-30,4.812971622675611e-16,6.121086038956685e-25,0.0,1.6643210081710993e-18,0.0,0.0,0.0,7.49256442172785e-13,1.1933576045785017e-15,7.004370236091063e-17,0.0,1.43994955109443e-14,1.6893565206055486e-16,5.06110306488213e-15,0.0,1.5083664061628408e-13,6.619594914251895e-13,4.278898639392142e-39,4.306596360808791e-14,7.003916679163295e-14,3.1133096280440542e-30,1.05012928084824e-27,4.243892772467133e-12,4.938927862192626e-16,9.368284746092147e-19,1.4204643122548775e-30,0.0,1.3947437316063566e-46,2.6603387972972e-13,2.2263683822101207e-25,0.0,1.668726311375961e-16,3.3206850033523257e-21,8.58673865146943e-17,0.0,6.3047585896886855e-18,9.290226170901907e-15,2.8139761393807236e-14,1.893709283228026e-15,1.14266353265305e-11
0.052000000000000005,0.1065358303686773,298.02088057180396,1.251217011500514,0.6409718876671817,3.237856561820067e-18,0.11547029319060681,5.207012530058759e-18,0.04881137992698691,0.19471769419855584,1.4288243470816554e-06,0.0,4.24325345866271e-49,1.682700514307954e-15,6.92386898992083e-25,5.0927299598159535e-21,2.660337775223855e-05,1.4039282262454885e-71,0.0,1.4180781546448496e-13,2.7943128157623337e-12,4.5828428201736785e-07,5.4171785025882387e-08,0.0,6.610173195361086e-31,1.7599851479805575e-19,5.544007926757835e-12,1.6906378146435037e-28,3.745789233110659e-39,1.2034041635015438e-08,1.4332793533943993e-43,4.871061953714092e-36,4.94576629045411e-12,4.27020226268283e-26,2.8621361703856896e-11,1.042892783283252e-28,4.5174124225763405e-09,9.963061615682913e-11,3.763888498872252e-27,4.488711197911353e-26,0.0,3.238615973255043e-28,9.116392132746581e-14,1.4370487483929977e-24,1.714196759078546e-07,1.8304890101272105e-09,6.571171896764707e-10,1.0080831464746607e-09,7.0006697291304655e-09,7.336659922444901e-26,7.610832077916909e-14,3.779518396465943e-10,1.2360176975590773e-24,8.05977804913336e-15,0.0,9.960343939000257e-10,7.018789356549648e-11,3.991401777555349e-13,3.660544702849975e-29,2.5541218710596307e-38,2.574405173869256e-19,3.5584353608656826e-47,4.909829262656349e-29,3.663418959489199e-30,0.0,0.0,0.0,0.0,5.7488365313465425e-18,5.74354820263759e-28,7.895272012038875e-14,0.0,3.575966501792506e-40,5.380772737232557e-19,0.0,4.96419315828776e-29,8.237927210623924e-34,1.1244517296741133e-30,7.334743118830547e-25,0.0,4.989332550911694e-11,8.050484508383714e-25,5.065788284387283e-11,0.0,0.0,6.785911426651081e-47,7.522974681027674e-32,0.0,0.0,0.0,5.3706180459747173e-17,1.2513002544777254e-17,2.955104959328457e-14,1.6875025830378897e-30,9.382178061841384e-15,6.185400261263044e-25,0.0,2.7840492016958463e-17,1.469775777350044e-28,0.0,0.0,1.0621505262886016e-11,1.96476600769082e-14,1.1229738588121625e-15,0.0,1.4399907405730625e-14,1.8208782653112738e-16,6.973712377250147e-14,0.0,2.012672198746733e-12,1.0222093826660703e-11,7.16696633105276e-39,6.300893470853157e-13,9.004246160479134e-14,2.1829924326436e-29,7.00422705799815e-27,5.3757460110999616e-11,1.9007587875858068e-14,1.5148627475054305e-17,1.4167155306417488e-29,0.0,0.0,3.833295798943755e-12,3.731353885484378e-24,0.0,1.6826788435658402e-16,3.255897916935134e-21,8.658135098375758e-17,5.195613017562884e-14,1.2373688362031172e-16,1.4123428015429913e-13,4.5372417039456086e-13,3.09776691935901e-14,1.219466924096322e-10
