cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
1632,-1.5179734331274696e-12,CF2O2(848) + S(140) <=> 2-BTP(1) + S(2432),"{'2-BTP(1)': 1.0, 'S(2432)': 1.0}","{'CF2O2(848)': 1.0, 'S(140)': 1.0}"
1353,-1.4703505566953637e-12,C2H3F2(66) + S(164) <=> CH2CF2(58) + S(140),"{'CH2CF2(58)': 1.0, 'S(140)': 1.0}","{'C2H3F2(66)': 1.0, 'S(164)': 1.0}"
682,1.4605888841847024e-12,O2(157) + S(1867) <=> O2(4) + S(1867),"{'O2(4)': 1.0, 'S(1867)': 1.0}","{'O2(157)': 1.0, 'S(1867)': 1.0}"
938,1.4126142233876994e-12,O2(4) + S(965) <=> S(4185),{'S(4185)': 1.0},"{'O2(4)': 1.0, 'S(965)': 1.0}"
1782,-1.39642315844569e-12,O2(157) + S(15170) <=> O2(4) + S(15170),"{'O2(4)': 1.0, 'S(15170)': 1.0}","{'O2(157)': 1.0, 'S(15170)': 1.0}"
1683,1.3925426895752663e-12,S(11229) + S(127) <=> 2-BTP(1) + S(11233),"{'2-BTP(1)': 1.0, 'S(11233)': 1.0}","{'S(11229)': 1.0, 'S(127)': 1.0}"
1470,1.350416882693968e-12,CH3CO(35) + S(6705) <=> CH2CO(29) + S(6456),"{'CH2CO(29)': 1.0, 'S(6456)': 1.0}","{'CH3CO(35)': 1.0, 'S(6705)': 1.0}"
485,-1.3328698465653943e-12,CF3CCH(85) + O2(157) <=> CF3CCH(85) + O2(4),"{'CF3CCH(85)': 1.0, 'O2(4)': 1.0}","{'CF3CCH(85)': 1.0, 'O2(157)': 1.0}"
1502,-1.3109776043763906e-12,2-BTP(1) + S(6705) <=> S(11401),{'S(11401)': 1.0},"{'2-BTP(1)': 1.0, 'S(6705)': 1.0}"
541,1.3036488003921409e-12,CH3CO(35) + S(130) <=> 2-BTP(1) + CH2CO(29),"{'2-BTP(1)': 1.0, 'CH2CO(29)': 1.0}","{'CH3CO(35)': 1.0, 'S(130)': 1.0}"
1776,-1.3021993220890723e-12,S(19899) <=> S(20107),{'S(20107)': 1.0},{'S(19899)': 1.0}
1610,-1.2853423872052444e-12,O2(4) + S(15615) <=> S(15694),{'S(15694)': 1.0},"{'O2(4)': 1.0, 'S(15615)': 1.0}"
1089,1.2649416724447373e-12,C2H3(30) + S(164) <=> C2H2(24) + S(140),"{'C2H2(24)': 1.0, 'S(140)': 1.0}","{'C2H3(30)': 1.0, 'S(164)': 1.0}"
985,-1.2551654227480113e-12,CHO2(230) + S(130) <=> 2-BTP(1) + CO2(17),"{'2-BTP(1)': 1.0, 'CO2(17)': 1.0}","{'CHO2(230)': 1.0, 'S(130)': 1.0}"
1473,-1.217520797909903e-12,S(641) + S(6705) <=> CF3CCH(85) + S(6456),"{'CF3CCH(85)': 1.0, 'S(6456)': 1.0}","{'S(641)': 1.0, 'S(6705)': 1.0}"
449,-1.2044997777901748e-12,2-BTP(1) + CH2O(21) <=> CH2O(21) + S(164),"{'CH2O(21)': 1.0, 'S(164)': 1.0}","{'2-BTP(1)': 1.0, 'CH2O(21)': 1.0}"
1547,1.1792536361878005e-12,S(14553) <=> S(14677),{'S(14677)': 1.0},{'S(14553)': 1.0}
901,1.1029318243000726e-12,S(164) + S(427) <=> S(140) + S(1783),"{'S(140)': 1.0, 'S(1783)': 1.0}","{'S(164)': 1.0, 'S(427)': 1.0}"
1773,1.0856198108663137e-12,S(19899) <=> S(19636),{'S(19636)': 1.0},{'S(19899)': 1.0}
1209,-1.0848381874917385e-12,HBR(93) + HCCO(22) <=> O(10) + S(129),"{'O(10)': 1.0, 'S(129)': 1.0}","{'HBR(93)': 1.0, 'HCCO(22)': 1.0}"
837,-1.083799344293851e-12,S(1508) <=> CF3O2(820) + S(164),"{'CF3O2(820)': 1.0, 'S(164)': 1.0}",{'S(1508)': 1.0}
570,-1.0774726617614497e-12,CH2CO(29) + O2(157) <=> CH2CO(29) + O2(4),"{'CH2CO(29)': 1.0, 'O2(4)': 1.0}","{'CH2CO(29)': 1.0, 'O2(157)': 1.0}"
1757,1.0705653937401283e-12,O2(4) + S(15165) <=> S(18987),{'S(18987)': 1.0},"{'O2(4)': 1.0, 'S(15165)': 1.0}"
1541,1.06802383667424e-12,S(14127) <=> S(11554),{'S(11554)': 1.0},{'S(14127)': 1.0}
431,1.0638319789723756e-12,2-BTP(1) + CF3CCH(85) <=> CF3CCH(85) + S(164),"{'CF3CCH(85)': 1.0, 'S(164)': 1.0}","{'2-BTP(1)': 1.0, 'CF3CCH(85)': 1.0}"
932,1.0619181685394247e-12,CH2Br(969) + S(787) <=> CBr(425) + S(965),"{'CBr(425)': 1.0, 'S(965)': 1.0}","{'CH2Br(969)': 1.0, 'S(787)': 1.0}"
1701,1.0446104623724762e-12,S(11378) <=> S(11306),{'S(11306)': 1.0},{'S(11378)': 1.0}
472,9.978823452664268e-13,2-BTP(1) + C2H4(31) <=> C2H4(31) + S(164),"{'C2H4(31)': 1.0, 'S(164)': 1.0}","{'2-BTP(1)': 1.0, 'C2H4(31)': 1.0}"
753,9.93513579231954e-13,CH2CO(29) + HO2(14) <=> CH3O2(428) + CO(16),"{'CH3O2(428)': 1.0, 'CO(16)': 1.0}","{'CH2CO(29)': 1.0, 'HO2(14)': 1.0}"
1423,-9.769573697676527e-13,S(641) + S(961) <=> CF3CCH(85) + S(2074),"{'CF3CCH(85)': 1.0, 'S(2074)': 1.0}","{'S(641)': 1.0, 'S(961)': 1.0}"
1586,9.672149597673399e-13,CF3(46) + S(14122) <=> CHF3(43) + S(14566),"{'CHF3(43)': 1.0, 'S(14566)': 1.0}","{'CF3(46)': 1.0, 'S(14122)': 1.0}"
871,-9.56037201169685e-13,2-BTP(1) + CF2O(50) <=> CF2(44) + S(200),"{'CF2(44)': 1.0, 'S(200)': 1.0}","{'2-BTP(1)': 1.0, 'CF2O(50)': 1.0}"
1112,-9.455983719207675e-13,FCBr(2959) + S(129) <=> CH2Br(969) + S(125),"{'CH2Br(969)': 1.0, 'S(125)': 1.0}","{'FCBr(2959)': 1.0, 'S(129)': 1.0}"
1590,-9.438819624565921e-13,C3H3(6704) + S(14122) <=> C#CC(8822) + S(14566),"{'C#CC(8822)': 1.0, 'S(14566)': 1.0}","{'C3H3(6704)': 1.0, 'S(14122)': 1.0}"
