cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
0,0.5791703716349229,H + O2 <=> O + OH,"{'O': 1.0, 'OH': 1.0}","{'H': 1.0, 'O2': 1.0}"
38,0.17019784421175516,HCO + M <=> CO + H + M,"{'CO': 1.0, 'H': 1.0}",{'HCO': 1.0}
1524,-0.1692678232051723,BR + HCO <=> CO + HBR,"{'CO': 1.0, 'HBR': 1.0}","{'BR': 1.0, 'HCO': 1.0}"
30,0.07559174874254691,CO + OH <=> CO2 + H,"{'CO2': 1.0, 'H': 1.0}","{'CO': 1.0, 'OH': 1.0}"
39,0.06676098250547322,H2O + HCO <=> CO + H + H2O,"{'CO': 1.0, 'H': 1.0, 'H2O': 1.0}","{'H2O': 1.0, 'HCO': 1.0}"
11,-0.050609574600515045,H + O2 (+M) <=> HO2 (+M),{'HO2': 1.0},"{'H': 1.0, 'O2': 1.0}"
154,0.0447985091650946,C2H3 (+M) <=> C2H2 + H (+M),"{'C2H2': 1.0, 'H': 1.0}",{'C2H3': 1.0}
1457,-0.04375378261150878,H + HBR <=> BR + H2,"{'BR': 1.0, 'H2': 1.0}","{'H': 1.0, 'HBR': 1.0}"
72,0.040030614442795286,CH2* + O2 <=> CO + H + OH,"{'CO': 1.0, 'H': 1.0, 'OH': 1.0}","{'CH2*': 1.0, 'O2': 1.0}"
88,-0.03852495707251204,CH3 + O <=> CH2O + H,"{'CH2O': 1.0, 'H': 1.0}","{'CH3': 1.0, 'O': 1.0}"
40,-0.038405249141708696,HCO + O2 <=> CO + HO2,"{'CO': 1.0, 'HO2': 1.0}","{'HCO': 1.0, 'O2': 1.0}"
58,0.03755486412081671,CH2 + O2 <=> HCO + OH,"{'HCO': 1.0, 'OH': 1.0}","{'CH2': 1.0, 'O2': 1.0}"
59,0.03437749718062616,CH2 + O2 <=> CO2 + 2 H,"{'CO2': 1.0, 'H': 2.0}","{'CH2': 1.0, 'O2': 1.0}"
1504,-0.03341679300690899,BROH (+M) <=> BR + OH (+M),"{'BR': 1.0, 'OH': 1.0}",{'BROH': 1.0}
8,-0.029203220490861503,H + OH + M <=> H2O + M,{'H2O': 1.0},"{'H': 1.0, 'OH': 1.0}"
104,0.02824459620696001,2 CH3 <=> C2H5 + H,"{'C2H5': 1.0, 'H': 1.0}",{'CH3': 2.0}
87,-0.027183650414560848,CH3 + H (+M) <=> CH4 (+M),{'CH4': 1.0},"{'CH3': 1.0, 'H': 1.0}"
1,0.024179181155120574,H2 + O <=> H + OH,"{'H': 1.0, 'OH': 1.0}","{'H2': 1.0, 'O': 1.0}"
34,-0.023548313502084865,H + HCO <=> CO + H2,"{'CO': 1.0, 'H2': 1.0}","{'H': 1.0, 'HCO': 1.0}"
95,0.022027885891462748,CH3 + HO2 <=> CH3O + OH,"{'CH3O': 1.0, 'OH': 1.0}","{'CH3': 1.0, 'HO2': 1.0}"
1475,-0.021840325119117956,BR + HO2 <=> HBR + O2,"{'HBR': 1.0, 'O2': 1.0}","{'BR': 1.0, 'HO2': 1.0}"
1481,-0.02182022153209889,CH3BR <=> BR + CH3,"{'BR': 1.0, 'CH3': 1.0}",{'CH3BR': 1.0}
157,0.02073083154558366,C2H2 + O <=> H + HCCO,"{'H': 1.0, 'HCCO': 1.0}","{'C2H2': 1.0, 'O': 1.0}"
47,-0.019597579343805422,CH + H2 <=> CH2 + H,"{'CH2': 1.0, 'H': 1.0}","{'CH': 1.0, 'H2': 1.0}"
248,0.019317212479521936,C2H4 + H (+M) <=> C2H5 (+M),{'C2H5': 1.0},"{'C2H4': 1.0, 'H': 1.0}"
1532,-0.018917974696934143,BR + C2H3 <=> C2H3BR,{'C2H3BR': 1.0},"{'BR': 1.0, 'C2H3': 1.0}"
103,-0.017234108094006297,2 CH3 (+M) <=> C2H6 (+M),{'C2H6': 1.0},{'CH3': 2.0}
148,0.016659645023078616,HCCO + O2 <=> 2 CO + OH,"{'CO': 2.0, 'OH': 1.0}","{'HCCO': 1.0, 'O2': 1.0}"
1460,-0.016063657920093934,BR + H + M <=> HBR + M,{'HBR': 1.0},"{'BR': 1.0, 'H': 1.0}"
49,0.016048439449766548,CH + O2 <=> HCO + O,"{'HCO': 1.0, 'O': 1.0}","{'CH': 1.0, 'O2': 1.0}"
91,0.015802934942140655,CH3 + OH <=> CH2* + H2O,"{'CH2*': 1.0, 'H2O': 1.0}","{'CH3': 1.0, 'OH': 1.0}"
124,-0.015654923445109322,CH4 + OH <=> CH3 + H2O,"{'CH3': 1.0, 'H2O': 1.0}","{'CH4': 1.0, 'OH': 1.0}"
122,-0.015627236114996574,CH4 + H <=> CH3 + H2,"{'CH3': 1.0, 'H2': 1.0}","{'CH4': 1.0, 'H': 1.0}"
943,0.01504229205607013,CF + O2 <=> CF:O + O,"{'CF:O': 1.0, 'O': 1.0}","{'CF': 1.0, 'O2': 1.0}"
1459,-0.01460519480491552,2 BR + M <=> BR2 + M,{'BR2': 1.0},{'BR': 2.0}
146,-0.014477724201680404,H + HCCO <=> CH2* + CO,"{'CH2*': 1.0, 'CO': 1.0}","{'H': 1.0, 'HCCO': 1.0}"
65,0.014043862201167179,CH2* + N2 <=> CH2 + N2,"{'CH2': 1.0, 'N2': 1.0}","{'CH2*': 1.0, 'N2': 1.0}"
187,-0.014029043744551401,C2H3 + H <=> C2H2 + H2,"{'C2H2': 1.0, 'H2': 1.0}","{'C2H3': 1.0, 'H': 1.0}"
3,0.01337655730326553,2 OH <=> H2O + O,"{'H2O': 1.0, 'O': 1.0}",{'OH': 2.0}
73,-0.012822459460158623,CH2* + O2 <=> CO + H2O,"{'CO': 1.0, 'H2O': 1.0}","{'CH2*': 1.0, 'O2': 1.0}"
1500,-0.011965724503522986,BROH + H <=> BR + H2O,"{'BR': 1.0, 'H2O': 1.0}","{'BROH': 1.0, 'H': 1.0}"
1499,-0.011828276133684406,BROH + H <=> HBR + OH,"{'HBR': 1.0, 'OH': 1.0}","{'BROH': 1.0, 'H': 1.0}"
78,-0.01169782071983602,CH2* + CO2 <=> CH2O + CO,"{'CH2O': 1.0, 'CO': 1.0}","{'CH2*': 1.0, 'CO2': 1.0}"
9,-0.01167195748395116,H + O + M <=> OH + M,{'OH': 1.0},"{'H': 1.0, 'O': 1.0}"
89,-0.010520080368061397,CH3 + OH (+M) <=> CH3OH (+M),{'CH3OH': 1.0},"{'CH3': 1.0, 'OH': 1.0}"
1027,-0.01002129229198438,CF3 + CH3 <=> CH2:CF2 + HF,"{'CH2:CF2': 1.0, 'HF': 1.0}","{'CF3': 1.0, 'CH3': 1.0}"
105,-0.009889447454989927,CH3 + HCCO <=> C2H4 + CO,"{'C2H4': 1.0, 'CO': 1.0}","{'CH3': 1.0, 'HCCO': 1.0}"
947,-0.009861674306978506,CF + OH <=> CO + HF,"{'CO': 1.0, 'HF': 1.0}","{'CF': 1.0, 'OH': 1.0}"
92,0.009613646998223178,CH3 + O2 <=> CH3O + O,"{'CH3O': 1.0, 'O': 1.0}","{'CH3': 1.0, 'O2': 1.0}"
117,0.009513996176792234,CH2OH + H <=> CH3 + OH,"{'CH3': 1.0, 'OH': 1.0}","{'CH2OH': 1.0, 'H': 1.0}"
44,-0.008918377283814985,CH + H <=> C + H2,"{'C': 1.0, 'H2': 1.0}","{'CH': 1.0, 'H': 1.0}"
22,-0.008802903179200973,HO2 + OH <=> H2O + O2,"{'H2O': 1.0, 'O2': 1.0}","{'HO2': 1.0, 'OH': 1.0}"
188,-0.008738412953193136,C2H3 + H <=> H2 + H2CC,"{'H2': 1.0, 'H2CC': 1.0}","{'C2H3': 1.0, 'H': 1.0}"
1461,-0.008519695472595968,CH3BR + H <=> CH3 + HBR,"{'CH3': 1.0, 'HBR': 1.0}","{'CH3BR': 1.0, 'H': 1.0}"
79,0.0084511914537852,CH2O + H (+M) <=> CH2OH (+M),{'CH2OH': 1.0},"{'CH2O': 1.0, 'H': 1.0}"
827,-0.008092617021599162,CH + HF <=> CF + H2,"{'CF': 1.0, 'H2': 1.0}","{'CH': 1.0, 'HF': 1.0}"
80,0.00787533673631802,CH2O + H (+M) <=> CH3O (+M),{'CH3O': 1.0},"{'CH2O': 1.0, 'H': 1.0}"
