cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
1076,0.01939144659352194,CF3CCH(85) + H(9) <=> C2H2(24) + CF3(46),"{'C2H2(24)': 1.0, 'CF3(46)': 1.0}","{'CF3CCH(85)': 1.0, 'H(9)': 1.0}"
96,0.018494930079507286,CH3(20) + HO2(14) <=> CH3O(28) + OH(2),"{'CH3O(28)': 1.0, 'OH(2)': 1.0}","{'CH3(20)': 1.0, 'HO2(14)': 1.0}"
1160,0.01783219771599547,CHF2(83) + O2(4) <=> CF2O(50) + OH(2),"{'CF2O(50)': 1.0, 'OH(2)': 1.0}","{'CHF2(83)': 1.0, 'O2(4)': 1.0}"
1286,-0.017791382089014436,C3H3(6704) + H(9) <=> C#CC(8822),{'C#CC(8822)': 1.0},"{'C3H3(6704)': 1.0, 'H(9)': 1.0}"
644,0.01743446042238529,2-BTP(1) + H(9) <=> S(140),{'S(140)': 1.0},"{'2-BTP(1)': 1.0, 'H(9)': 1.0}"
758,-0.017200639371051672,BROH(8) + H(9) <=> HBR(93) + OH(2),"{'HBR(93)': 1.0, 'OH(2)': 1.0}","{'BROH(8)': 1.0, 'H(9)': 1.0}"
13,-0.01697573129453696,2 H2O(5) <=> H(9) + H2O(5) + OH(2),"{'H(9)': 1.0, 'H2O(5)': 1.0, 'OH(2)': 1.0}",{'H2O(5)': 2.0}
776,0.016126106971407553,HBR(93) + O(10) <=> BR(91) + OH(2),"{'BR(91)': 1.0, 'OH(2)': 1.0}","{'HBR(93)': 1.0, 'O(10)': 1.0}"
512,0.015253136535688116,O2(4) + S(127) <=> O(10) + S(1329),"{'O(10)': 1.0, 'S(1329)': 1.0}","{'O2(4)': 1.0, 'S(127)': 1.0}"
94,-0.014547171545226126,CH3(20) + OH(2) <=> CH2O(21) + H2(11),"{'CH2O(21)': 1.0, 'H2(11)': 1.0}","{'CH3(20)': 1.0, 'OH(2)': 1.0}"
373,0.014251812232780504,C2H2(24) + H(9) <=> C2H3(30),{'C2H3(30)': 1.0},"{'C2H2(24)': 1.0, 'H(9)': 1.0}"
3,0.013955863087867457,H2(11) + OH(2) <=> H(9) + H2O(5),"{'H(9)': 1.0, 'H2O(5)': 1.0}","{'H2(11)': 1.0, 'OH(2)': 1.0}"
657,0.013767729985805674,BR(91) + CH3(20) <=> CH2(T)(19) + HBR(93),"{'CH2(T)(19)': 1.0, 'HBR(93)': 1.0}","{'BR(91)': 1.0, 'CH3(20)': 1.0}"
2,0.013701525821550889,H2(11) + O(10) <=> H(9) + OH(2),"{'H(9)': 1.0, 'OH(2)': 1.0}","{'H2(11)': 1.0, 'O(10)': 1.0}"
914,0.013062088996402814,CH3(20) + S(140) <=> CH3F(40) + S(1362),"{'CH3F(40)': 1.0, 'S(1362)': 1.0}","{'CH3(20)': 1.0, 'S(140)': 1.0}"
410,-0.012845836470222456,BR(91) + H(9) + M <=> HBR(93) + M,{'HBR(93)': 1.0},"{'BR(91)': 1.0, 'H(9)': 1.0}"
124,-0.012559931423585677,CH4(3) + OH(2) <=> CH3(20) + H2O(5),"{'CH3(20)': 1.0, 'H2O(5)': 1.0}","{'CH4(3)': 1.0, 'OH(2)': 1.0}"
1113,0.012254936895894086,CH2Br(969) + S(140) <=> FCBr(2959) + S(1362),"{'FCBr(2959)': 1.0, 'S(1362)': 1.0}","{'CH2Br(969)': 1.0, 'S(140)': 1.0}"
531,-0.012231990437849012,2-BTP(1) + H(9) <=> H2(11) + S(130),"{'H2(11)': 1.0, 'S(130)': 1.0}","{'2-BTP(1)': 1.0, 'H(9)': 1.0}"
163,0.011943844402670207,C2H2(24) + O(10) <=> CH2(T)(19) + CO(16),"{'CH2(T)(19)': 1.0, 'CO(16)': 1.0}","{'C2H2(24)': 1.0, 'O(10)': 1.0}"
1292,-0.010837651597223236,C#CC(8822) + OH(2) <=> C3H3(6704) + H2O(5),"{'C3H3(6704)': 1.0, 'H2O(5)': 1.0}","{'C#CC(8822)': 1.0, 'OH(2)': 1.0}"
56,0.010388216834591712,CH2(T)(19) + H2(11) <=> CH3(20) + H(9),"{'CH3(20)': 1.0, 'H(9)': 1.0}","{'CH2(T)(19)': 1.0, 'H2(11)': 1.0}"
15,0.010059361215182368,H(9) + HO2(14) <=> 2 OH(2),{'OH(2)': 2.0},"{'H(9)': 1.0, 'HO2(14)': 1.0}"
4,0.009926484571324928,2 OH(2) <=> H2O(5) + O(10),"{'H2O(5)': 1.0, 'O(10)': 1.0}",{'OH(2)': 2.0}
79,-0.009286976568234953,CH2(S)(26) + CO2(17) <=> CH2O(21) + CO(16),"{'CH2O(21)': 1.0, 'CO(16)': 1.0}","{'CH2(S)(26)': 1.0, 'CO2(17)': 1.0}"
1295,-0.008940405732217917,C3H3(6704) + H2(11) <=> C#CC(8822) + H(9),"{'C#CC(8822)': 1.0, 'H(9)': 1.0}","{'C3H3(6704)': 1.0, 'H2(11)': 1.0}"
803,-0.008737800791956631,CH2Br(969) + H(9) <=> BR(91) + CH3(20),"{'BR(91)': 1.0, 'CH3(20)': 1.0}","{'CH2Br(969)': 1.0, 'H(9)': 1.0}"
641,-0.00851698670788582,BR(91) + S(140) <=> 2-BTP(1) + HBR(93),"{'2-BTP(1)': 1.0, 'HBR(93)': 1.0}","{'BR(91)': 1.0, 'S(140)': 1.0}"
74,0.0084317565527056,CH2(S)(26) + H2O(5) <=> CH2(T)(19) + H2O(5),"{'CH2(T)(19)': 1.0, 'H2O(5)': 1.0}","{'CH2(S)(26)': 1.0, 'H2O(5)': 1.0}"
1391,-0.008393175647452402,C3H3(6704) + H(9) <=> C2H(23) + CH3(20),"{'C2H(23)': 1.0, 'CH3(20)': 1.0}","{'C3H3(6704)': 1.0, 'H(9)': 1.0}"
37,-0.00821281623010502,HCO(18) + O2(4) <=> CO(16) + HO2(14),"{'CO(16)': 1.0, 'HO2(14)': 1.0}","{'HCO(18)': 1.0, 'O2(4)': 1.0}"
536,-0.008126737912337395,CH4(3) + S(130) <=> 2-BTP(1) + CH3(20),"{'2-BTP(1)': 1.0, 'CH3(20)': 1.0}","{'CH4(3)': 1.0, 'S(130)': 1.0}"
14,-0.008041154427229765,H(9) + HO2(14) <=> H2(11) + O2(4),"{'H2(11)': 1.0, 'O2(4)': 1.0}","{'H(9)': 1.0, 'HO2(14)': 1.0}"
510,-0.008009633692355425,CF3CCH(85) + H(9) <=> S(127),{'S(127)': 1.0},"{'CF3CCH(85)': 1.0, 'H(9)': 1.0}"
1763,0.007857752291265875,O2(4) + S(17512) <=> BR(91) + S(19636),"{'BR(91)': 1.0, 'S(19636)': 1.0}","{'O2(4)': 1.0, 'S(17512)': 1.0}"
101,-0.007581493931152133,CH2(T)(19) + CH3(20) <=> C2H4(31) + H(9),"{'C2H4(31)': 1.0, 'H(9)': 1.0}","{'CH2(T)(19)': 1.0, 'CH3(20)': 1.0}"
217,-0.007534996304810426,C2H4(31) + O(10) <=> CH3(20) + HCO(18),"{'CH3(20)': 1.0, 'HCO(18)': 1.0}","{'C2H4(31)': 1.0, 'O(10)': 1.0}"
547,-0.007365633817381102,2-BTP(1) + OH(2) <=> H2O(5) + S(130),"{'H2O(5)': 1.0, 'S(130)': 1.0}","{'2-BTP(1)': 1.0, 'OH(2)': 1.0}"
692,-0.007057570739829649,BR(91) + C2H3(30) <=> C2H2(24) + HBR(93),"{'C2H2(24)': 1.0, 'HBR(93)': 1.0}","{'BR(91)': 1.0, 'C2H3(30)': 1.0}"
592,-0.006472795969033038,CBr(425) + H(9) <=> CH3(20) + HBR(93),"{'CH3(20)': 1.0, 'HBR(93)': 1.0}","{'CBr(425)': 1.0, 'H(9)': 1.0}"
60,-0.006242069870022494,CH2(T)(19) + O2(4) <=> CO2(17) + H2(11),"{'CO2(17)': 1.0, 'H2(11)': 1.0}","{'CH2(T)(19)': 1.0, 'O2(4)': 1.0}"
1210,-0.006221042096116734,CHF2(83) + HCO(18) <=> CH2F2(42) + CO(16),"{'CH2F2(42)': 1.0, 'CO(16)': 1.0}","{'CHF2(83)': 1.0, 'HCO(18)': 1.0}"
838,0.006172516880563759,CF3(46) + O2(4) <=> CF3O(49) + O(10),"{'CF3O(49)': 1.0, 'O(10)': 1.0}","{'CF3(46)': 1.0, 'O2(4)': 1.0}"
40,-0.006098341328575184,CH(7) + H(9) <=> C(6) + H2(11),"{'C(6)': 1.0, 'H2(11)': 1.0}","{'CH(7)': 1.0, 'H(9)': 1.0}"
376,0.006044120028640237,2 CH3(20) <=> C2H6(32),{'C2H6(32)': 1.0},{'CH3(20)': 2.0}
45,-0.005999034509580307,CH(7) + H2O(5) <=> CH2O(21) + H(9),"{'CH2O(21)': 1.0, 'H(9)': 1.0}","{'CH(7)': 1.0, 'H2O(5)': 1.0}"
80,-0.005575632498254103,CH2O(21) + H(9) <=> H2(11) + HCO(18),"{'H2(11)': 1.0, 'HCO(18)': 1.0}","{'CH2O(21)': 1.0, 'H(9)': 1.0}"
791,0.005523409952285869,CH2(T)(19) + OH(2) <=> CH3(20) + O(10),"{'CH3(20)': 1.0, 'O(10)': 1.0}","{'CH2(T)(19)': 1.0, 'OH(2)': 1.0}"
556,0.00539182138354131,CBr(425) + S(127) <=> 2-BTP(1) + CH3(20),"{'2-BTP(1)': 1.0, 'CH3(20)': 1.0}","{'CBr(425)': 1.0, 'S(127)': 1.0}"
11,-0.005190068349375118,H(9) + O(10) + M <=> OH(2) + M,{'OH(2)': 1.0},"{'H(9)': 1.0, 'O(10)': 1.0}"
