grid,velocity,T,density,Y_N2,Y_Ne,Y_2-BTP(1),Y_OH(2),Y_CH4(3),Y_O2(4),Y_H2O(5),Y_C(6),Y_CH(7),Y_H(8),Y_O(9),Y_H2(10),Y_Ar(11),Y_He(12),Y_HO2(13),Y_H2O2(14),Y_CO(15),Y_CO2(16),Y_HCO(17),Y_CH2(T)(18),Y_CH3(19),Y_CH2O(20),Y_HCCO(21),Y_C2H(22),Y_C2H2(23),Y_H2CC(24),Y_CH2(S)(25),Y_CH3OH(26),Y_CH3O(27),Y_CH2CO(28),Y_C2H3(29),Y_C2H4(30),Y_C2H6(31),Y_C2H5(32),Y_CH2OH(33),Y_CH3CO(34),Y_CH2CHO(35),Y_CH3CHO(36),Y_F(37),Y_HF(38),Y_CH2F2(41),Y_CHF3(42),Y_CF2(43),Y_CF3(45),Y_CF3O(48),Y_CF2O(49),Y_CH2CF2(57),Y_CHF2(82),Y_CF3CCH(84),Y_BR(90),Y_HBR(92),Y_CF2BR(96),Y_S(125),Y_S(127),Y_S(129),Y_S(130),Y_S(132),Y_S(136),Y_S(137),Y_S(140),Y_S(143),Y_S(144),Y_BrO2(145),Y_O2(157),Y_S(160),Y_S(161),Y_S(162),Y_S(164),Y_S(172),Y_S(186),Y_S(200),Y_C2H2O(215),Y_CHO2(230),Y_CH2O2(233),Y_S(257),Y_S(273),Y_C3H2O(285),Y_CBr(425),Y_S(427),Y_CH3O2(428),Y_S(495),Y_S(559),Y_C3HF3(637),Y_S(641),Y_S(651),Y_S(724),Y_S(730),Y_S(746),Y_S(774),Y_S(787),Y_S(788),Y_S(814),Y_CF3O2(820),Y_CF2O2(848),Y_S(965),Y_CH2Br(969),Y_S(985),Y_S(1324),Y_S(1329),Y_S(1331),Y_S(1362),Y_S(1508),Y_S(1538),Y_S(1620),Y_S(1732),Y_S(1838),Y_S(1853),Y_S(1900),Y_S(1914),Y_S(1931),Y_S(1993),Y_S(2391),Y_S(2407),Y_S(2432),Y_S(2612),Y_S(2617),Y_FCBr(2948),Y_S(2951),Y_S(3152),Y_S(3215),Y_S(3312),Y_S(3734),Y_S(3918),Y_S(4420),Y_S(4577),Y_S(4579),Y_C#CC(5272),Y_S(5883),Y_S(5927),Y_S(5929),Y_S(5991),Y_S(6009),Y_S(6010),Y_S(6180),Y_S(6375),Y_C3H3(6822),Y_C3H4(6823),Y_S(7035),Y_S(7352),Y_S(7874),Y_S(8847),Y_S(9069),Y_S(9115),Y_S(9794),Y_S(10637)
0.0,0.0686471683234694,298.0,1.2912479084997925,0.6172421645225513,1.86443680547505e-17,0.1482462649269702,2.4459557921822547e-15,0.04700544886165452,0.18750612142364467,6.593387959373907e-15,1.4546889155841495e-15,3.4310290513415133e-16,0.0,0.0,2.651176271480585e-10,1.0088831971746162e-70,0.0,0.0,0.0,1.70954760401649e-15,0.0,3.519996785049898e-24,0.0,0.0,8.47095638459337e-19,7.004620627820627e-35,3.708429128347339e-43,0.0,4.72606561839439e-16,0.0,2.4151277510244344e-15,5.41971405328825e-29,5.928913545771817e-15,1.6321991466339508e-16,1.2119763860623382e-17,0.0,0.0,6.747698814050624e-31,7.041448327596829e-30,2.1088797089903093e-25,1.3223115609613736e-16,2.4791284942433275e-16,8.630019004554219e-16,0.0,0.0,0.0,0.0,0.0,4.514037954883726e-15,7.3151874870115e-15,0.0,0.0,0.0,0.0,4.564162144749652e-22,0.0,0.0,0.0,1.3953303190913353e-22,0.0,3.3292312014895082e-31,2.4548432474364641e-32,0.0,0.0,0.0,0.0,0.0,3.4167771654083196e-30,0.0,0.0,2.7426665312892358e-42,1.332206503258425e-21,0.0,0.0,2.031693834688114e-29,0.0,0.0,0.0,0.0,2.4197700962620904e-16,0.0,0.0,0.0,9.019907141867361e-32,0.0,0.0,2.8144569982359263e-34,0.0,0.0,0.0,0.0,0.0,0.0,2.38962281243256e-15,0.0,0.0,0.0,0.0,6.026218401977141e-18,1.7409170391278063e-18,0.0,1.6980482943403925e-16,0.0,8.376780212549023e-16,0.0,1.1602986321885012e-18,0.0,0.0,0.0,0.0,7.900870391996615e-16,0.0,0.0,0.0,0.0,4.457546054966022e-17,0.0,0.0,0.0,2.19455956164232e-15,4.905546299455216e-20,0.0,0.0,2.0251450760585368e-47,1.9844291793605182e-14,0.0,1.765167527545799e-27,0.0,0.0,0.0,3.4600518475448067e-22,6.034722663282935e-19,4.431492461538216e-17,3.30663585007751e-16,0.0,0.0,0.0,7.854613772108647e-29,0.0,5.7029907714699475e-39,0.0,1.5492874341968264e-26,0.0,0.0,0.0,1.376538464347511e-21,0.0,1.8668982213768234e-46
0.016,0.06864717221014813,298.00000000352384,1.291247835391697,0.6172421601396377,1.8644368031652097e-17,0.1482462661890772,3.184109617490505e-19,0.0470054485655591,0.1875061208518732,2.827093447271836e-13,3.7728805813834954e-23,6.70428732763366e-24,0.0,0.0,4.253376069642028e-09,1.206746267631167e-69,0.0,0.0,0.0,9.744191653948056e-14,0.0,1.9744478700958078e-22,0.0,0.0,4.367294141486957e-17,3.17752275202204e-33,2.5402308289532997e-41,0.0,2.4498924353023525e-23,0.0,2.415167540479369e-15,3.893521804086035e-27,5.937877202916989e-15,1.2676062519540939e-23,8.867076234514401e-16,0.0,0.0,5.131697974874827e-29,6.250756292950872e-28,1.6435403291681274e-23,1.3223185990991784e-16,5.9580332178871974e-24,4.842398155955163e-14,0.0,0.0,0.0,0.0,0.0,4.514281017788379e-15,7.32798394153825e-15,0.0,0.0,0.0,3.497323677400212e-18,9.462318598353816e-20,0.0,0.0,0.0,2.123977111881434e-20,0.0,8.322749359664065e-29,6.2094351472113124e-30,0.0,0.0,0.0,0.0,5.521179270454441e-18,6.913848338308683e-28,0.0,0.0,4.50981034000438e-40,1.965694206293731e-19,0.0,0.0,1.7421979605339413e-27,0.0,0.0,0.0,0.0,2.4201920883006473e-16,0.0,0.0,0.0,1.1833498733320554e-29,0.0,0.0,3.423269669017114e-32,0.0,0.0,0.0,0.0,3.097562500608876e-19,0.0,2.3892519893391286e-15,0.0,0.0,0.0,0.0,6.178293642134958e-24,1.466734870701934e-18,0.0,1.682413689553163e-16,0.0,8.376812592681029e-16,0.0,1.163885581626399e-18,0.0,0.0,0.0,0.0,7.900884602040223e-16,0.0,0.0,0.0,0.0,4.457605610671746e-17,0.0,0.0,0.0,2.1946825120408766e-15,8.143685853644684e-18,0.0,0.0,4.116038036142233e-45,1.9844292007034097e-14,0.0,1.9481003081201043e-25,0.0,0.0,0.0,5.392652431298737e-20,6.034277665185607e-19,4.431492559441078e-17,3.306636243875101e-16,0.0,0.0,0.0,1.2528839164761676e-26,0.0,5.807624340573498e-37,0.0,0.0,0.0,0.0,0.0,2.1002792457924191e-19,0.0,2.149955590364013e-44
0.032,0.06864723459892116,298.000000206397,1.291246661864735,0.6172420898303695,1.864436715524574e-17,0.14824628643717888,0.0,0.047005443800598394,0.18750611166955808,1.5697731558438453e-11,9.869066951301768e-31,1.3228260596365568e-31,0.0,0.0,6.823835017751646e-08,1.4361136790980588e-69,0.0,0.0,0.0,5.304287498691319e-12,1.2872062236617548e-13,2.1325003510410808e-28,0.0,0.0,4.7094574121909676e-17,0.0,0.0,5.027643694196941e-14,1.2756875695783033e-30,0.0,2.418249599565427e-15,0.0,5.956728308252914e-15,9.711430472580528e-31,1.1113360764137225e-14,0.0,0.0,0.0,6.471387684073752e-28,2.8672196445816506e-29,1.3226218184275157e-16,0.0,2.7024017361391393e-12,0.0,2.0247697700516377e-16,8.565809112139005e-16,0.0,0.0,4.6259569977483706e-15,8.564001214172461e-15,0.0,0.0,0.0,4.997263318960519e-16,8.679252754353629e-18,0.0,0.0,0.0,0.0,0.0,8.322744349302935e-29,6.2094314137064035e-30,0.0,0.0,0.0,0.0,5.521179153980014e-18,6.9139273505557655e-28,0.0,0.0,4.568190954584223e-40,3.918063994236976e-19,0.0,0.0,3.219740897239292e-27,0.0,0.0,0.0,0.0,2.4699996230616936e-16,0.0,0.0,0.0,2.3089300168947595e-29,2.5445929867049342e-23,0.0,0.0,0.0,3.777147795337592e-33,0.0,0.0,6.805473941679504e-19,0.0,2.388881555373323e-15,0.0,0.0,6.185982523170968e-38,0.0,5.242938725486075e-29,1.235651984809141e-18,0.0,1.6823541280930162e-16,0.0,8.381487750334171e-16,0.0,1.1675765091278394e-18,0.0,0.0,0.0,0.0,7.903079741321428e-16,9.373154720052086e-70,3.8562057526928504e-19,0.0,0.0,4.466198382957472e-17,0.0,0.0,0.0,2.2098527663134847e-15,8.144175361756381e-18,0.0,0.0,3.548800295471094e-45,1.9844295330083713e-14,0.0,1.6411865375794919e-25,0.0,0.0,0.0,8.679220923152853e-20,6.033981577381553e-19,4.43150316263167e-17,3.3066900911005977e-16,0.0,0.0,0.0,1.125432274332519e-26,0.0,8.358987324981922e-42,0.0,0.0,0.0,0.0,0.0,3.8815067626422585e-19,0.0,2.1948496594832452e-44
0.04,0.068647618451929,298.000004533119,1.2912394416728765,0.6172416581586088,1.864436141317794e-17,0.14824641078539708,0.0,0.04700541426070312,0.18750605508401436,3.419060865510536e-10,5.339209551426297e-38,5.4225067539558254e-39,0.0,0.0,4.6118731597955995e-07,1.3637346708032832e-69,0.0,0.0,0.0,1.1722458491228268e-10,3.961243462899582e-12,1.7450016279369406e-28,0.0,0.0,1.451198501153699e-16,3.4926462483906762e-34,0.0,1.3909614394482327e-12,1.3529905088978528e-37,0.0,2.508167026274132e-15,0.0,6.5827485674117625e-15,0.0,2.94187170105834e-13,1.4275734269085352e-15,4.266183702420432e-33,2.6035022683522265e-30,6.715995635325504e-28,1.2377426629409123e-32,1.332800149625772e-16,0.0,5.88793907288914e-11,6.756443666334796e-16,3.707000683548752e-14,1.4313222649151286e-13,0.0,0.0,9.476325362168407e-15,5.34890733872152e-14,0.0,0.0,0.0,2.1329592755411493e-14,4.043056989112724e-16,0.0,0.0,6.460899041015218e-41,0.0,0.0,8.32271774730243e-29,6.2094116650893456e-30,0.0,0.0,0.0,0.0,5.521180539128404e-18,6.91389638454246e-28,0.0,0.0,4.568111820862329e-40,4.894247857789832e-19,0.0,0.0,3.896890994362695e-27,0.0,0.0,0.0,0.0,4.680551431657025e-16,0.0,0.0,0.0,0.0,2.5422650692931e-23,0.0,0.0,0.0,5.188236807093828e-33,0.0,0.0,8.661554548054129e-19,0.0,2.388698346173889e-15,0.0,0.0,1.0336540769555267e-35,0.0,4.71049375783953e-29,1.129988946683661e-18,0.0,1.6824900594362275e-16,0.0,8.63556529792859e-16,0.0,1.175787487570949e-18,0.0,0.0,0.0,0.0,8.031043993573922e-16,9.889101689390072e-70,5.704982333741693e-17,0.0,0.0,4.932488872363947e-17,0.0,0.0,0.0,2.9137326192198955e-15,8.169979625149446e-18,0.0,0.0,3.3238947025895266e-45,1.9844316227180477e-14,0.0,1.5008570401591508e-25,0.0,0.0,0.0,9.891124370201565e-20,6.042946514736599e-19,4.432125241392421e-17,3.309610445087551e-16,0.0,0.0,0.0,1.0622433367835812e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.697831103376014e-19,0.0,4.1591822453608126e-44
0.044,0.0686489006512843,298.0000517484248,1.2912153243670415,0.6172402256570425,1.8644342010133624e-17,0.14824682372748407,0.0,0.04700531353188211,0.1875058650646757,3.8749302798755e-09,0.0,4.611150837226187e-46,0.0,1.1080163457639332e-24,1.7660405257648693e-06,1.3161096905160564e-69,0.0,0.0,7.596958987825213e-17,1.3480699296459648e-09,5.961706590874477e-11,1.8302548035036096e-28,1.1211416260256362e-36,0.0,1.5735758282935524e-15,5.4530502159195425e-34,0.0,1.9551071462412827e-11,2.945245724496151e-44,0.0,3.842326417403906e-15,0.0,1.71378463102537e-14,0.0,4.282731872901957e-12,4.468713088891911e-14,0.0,3.613641114266863e-30,6.967772682734905e-28,1.0599790704479232e-32,1.506069359992301e-16,0.0,6.674807975754216e-10,5.584859604478784e-14,6.814661682694849e-13,2.0948334197461428e-12,2.1250863646901877e-29,0.0,1.1573195091755269e-13,8.811647535486634e-13,0.0,0.0,0.0,4.637228176685269e-13,9.653894143556882e-15,5.914237959991573e-17,0.0,0.0,0.0,0.0,8.322673851674747e-29,6.2093799913996406e-30,0.0,0.0,0.0,0.0,5.521208241599826e-18,6.913822930892669e-28,0.0,0.0,4.568135212125748e-40,5.382492290078655e-19,0.0,1.4300852564763217e-32,4.220231335002499e-27,0.0,0.0,1.218235984023899e-16,0.0,5.4287921697272995e-15,1.178132517897965e-15,0.0,1.4901343671842392e-14,0.0,3.5970987787323454e-23,0.0,0.0,0.0,5.981627424337162e-33,0.0,0.0,9.66367244316937e-19,0.0,2.3886128606650877e-15,0.0,0.0,1.5127967041718862e-34,0.0,5.737618568257913e-29,1.0795372158297178e-18,0.0,1.6863038744547386e-16,0.0,1.5604538195552328e-15,0.0,1.3754092682103861e-18,0.0,0.0,0.0,0.0,1.1794052294869259e-15,1.4736250096103374e-69,1.702032358732175e-15,0.0,0.0,1.770163956449446e-16,0.0,0.0,0.0,1.9419567980488696e-14,8.966510500035327e-18,0.0,0.0,3.2238604328945594e-45,1.9844411034599655e-14,0.0,1.4338906848364963e-25,3.3392112458291384e-15,2.246855506637608e-18,1.5903386382276075e-14,1.0398753715697106e-19,6.31524401699187e-19,4.451433170337059e-17,3.3900130235314343e-16,0.0,0.0,0.0,1.0308944228855787e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087595901338746e-19,0.0,4.824210321653045e-43
0.048,0.06865511535661592,298.0007543450943,1.291098442715235,0.6172334149318431,1.8644250110571063e-17,0.14824879076970923,0.0,0.04700479959974948,0.18750492888776277,5.607442538608124e-08,2.3544869492058304e-44,4.208973965186816e-53,0.0,2.0981871281359242e-23,7.978579838031744e-06,1.270159903306557e-69,0.0,0.0,6.868061468165652e-14,1.9807481915084422e-08,1.1558578247482181e-09,3.0792181308732043e-28,9.018684468030925e-35,0.0,2.9805373755879617e-14,2.053114831644084e-32,0.0,3.5359997819897357e-10,4.22413432835581e-45,0.0,3.0682555777709336e-14,0.0,2.5795551340182985e-13,0.0,8.054758791075728e-11,9.386484201477003e-13,0.0,1.97598441176177e-31,9.488859099576674e-28,3.346136175863398e-33,5.496905305281631e-16,0.0,9.661901270538593e-09,1.2968768590331078e-12,1.5914468604428745e-11,3.8444165925694346e-11,4.02437623291773e-28,0.0,3.2547969560591187e-12,2.1489419302525097e-11,0.0,0.0,0.0,1.3139319892235536e-11,3.011120330936242e-13,7.266156103614873e-15,0.0,3.673132988421714e-41,0.0,0.0,8.32311135783921e-29,6.209722417727504e-30,0.0,0.0,0.0,0.0,5.5216761877271115e-18,6.913900489061154e-28,0.0,0.0,4.569150982765822e-40,5.880835420589405e-19,0.0,2.7079168783737806e-31,4.5293559943784854e-27,0.0,0.0,3.4527397373342534e-15,0.0,1.5552138919627245e-13,2.8869434242963167e-13,0.0,4.153019904462813e-13,0.0,1.5784754092453473e-22,0.0,0.0,0.0,8.579059689008109e-33,0.0,0.0,1.3916001591565308e-18,0.0,2.388554474341495e-15,0.0,3.540613539140172e-20,2.7761778130717442e-33,0.0,5.753242501962473e-29,1.0313185549162435e-18,0.0,1.8273977731674683e-16,0.0,2.7280748828112904e-14,0.0,9.648456060333593e-18,0.0,0.0,2.4662981797852506e-16,0.0,1.6060260194963262e-14,2.055963737781382e-68,6.57369691694502e-14,0.0,0.0,4.8821545084887175e-15,0.0,0.0,0.0,5.410201661015551e-13,4.206029387288466e-17,6.057137462029535e-32,0.0,3.137876217625472e-45,1.9846388258321707e-14,0.0,1.3701478750057333e-25,1.1780213484768738e-13,1.2964257533838303e-15,4.492315688450638e-13,1.0819229618380531e-19,1.7170477369009113e-18,5.2608283690079346e-17,6.370410987878543e-16,0.0,0.0,0.0,9.999741413520629e-27,0.0,0.0,3.843022735925192e-18,0.0,0.0,0.0,0.0,5.459742874152421e-19,0.0,1.3822294767626801e-41
0.049,0.06866057759819492,298.0024534436304,1.290995730326449,0.6172277242970707,1.8644174063503046e-17,0.1482504419123948,1.935463936658386e-20,0.04700429726400228,0.18750406936207956,1.814740012856434e-07,6.560938267330003e-44,1.2589271603896548e-53,1.2841869963458191e-27,8.065980592227154e-23,1.3182888952792488e-05,1.2571956299983098e-69,0.0,4.791327152624054e-16,3.030293554436246e-13,6.479488163001887e-08,4.632435723990075e-09,3.9991385711084575e-28,1.1374350211683832e-33,6.544421842628561e-22,1.196345448150922e-13,3.013587450782442e-31,1.5759848131548696e-42,1.3450292629644985e-09,1.6075416808669208e-44,0.0,1.1756797355702915e-13,6.463195124730721e-30,1.139015805999803e-12,2.7768208390775994e-32,3.1555008268690825e-10,3.908975851287265e-12,3.0009401165067783e-31,1.1977432239858634e-29,1.815986814064525e-27,2.8947583347812728e-31,2.023341877278895e-15,6.064359843407165e-27,3.1275097750161834e-08,5.774909437268721e-12,7.360708920727163e-11,1.4763076045680763e-10,1.5472300395821878e-27,3.1988255640380117e-16,1.8038934125151785e-11,1.0359639440725111e-10,1.2181346925416977e-32,0.0,0.0,7.10747616605518e-11,1.7634130344825334e-12,4.545163387978535e-14,9.369257386293264e-32,5.353557508323805e-40,1.2674464191557391e-21,0.0,8.324980770629219e-29,6.211155882832649e-30,0.0,0.0,0.0,0.0,5.5228493487816385e-18,6.91495846454174e-28,0.0,0.0,4.571659891014728e-40,6.112160033385335e-19,0.0,1.040974511048553e-30,4.606622277355409e-27,1.217907114372033e-33,0.0,1.6484867708477175e-14,0.0,8.791505818611481e-13,1.7441089027257763e-12,0.0,1.8102438407777964e-12,0.0,4.730382614603636e-22,0.0,0.0,0.0,1.4829532936437876e-32,0.0,0.0,3.742221169251632e-18,0.0,2.388560325645952e-15,4.074382964136695e-34,1.0532964453590267e-18,1.0661615867540315e-32,0.0,6.619927631094881e-29,1.019418440216427e-18,0.0,2.660942981628299e-16,0.0,1.780113759226332e-13,6.276767715466153e-18,6.422671444808057e-17,0.0,0.0,1.9821250882831853e-15,0.0,1.0940193853379408e-13,1.4044027559770401e-67,4.611610025697684e-13,0.0,0.0,3.241251252085887e-14,0.0,0.0,0.0,3.1653711407044784e-12,2.60006238241195e-16,2.8894694102229808e-31,0.0,3.119006605956142e-45,1.9862285490655156e-14,0.0,1.3548277351535611e-25,6.810920319099078e-13,8.58707467439597e-15,2.268201910883799e-12,1.0918814732351656e-19,8.577945835394335e-18,1.0640909539907303e-16,2.3913245460735063e-15,0.0,0.0,0.0,9.924495542873987e-27,0.0,0.0,2.7343410123391993e-17,0.0,0.0,0.0,1.828314110041322e-21,5.551648743749947e-19,0.0,7.817048018844515e-41
0.05,0.06867216855520696,298.0100445610817,1.2907778272513568,0.617216715408888,1.8644029646007736e-17,0.14825366195923154,3.79805465072927e-19,0.04700307132742951,0.18750210111427187,7.387304656192187e-07,0.0,1.552849630338312e-51,4.5142643295803486e-26,4.0341518783250914e-22,2.3281570191391728e-05,1.2437504069291173e-69,0.0,9.278360004092397e-15,1.7242195353600834e-12,2.672164921025853e-07,2.435974717729823e-08,3.821689919391072e-28,2.700512565059657e-32,1.2821205998343947e-20,6.308625013086188e-13,7.520232635811999e-30,1.5828650166327577e-40,6.648027658004187e-09,7.962164485491405e-44,1.2185460316653798e-38,6.197290563878752e-13,5.7925461338983405e-28,6.825346813641788e-12,2.8657775817475664e-30,1.6152105470568147e-09,2.1482721386349313e-11,2.309659227643714e-29,8.207439673618892e-28,2.003941930571944e-27,9.393063852155767e-30,1.1614335082866029e-14,6.421662581909854e-26,1.273431709481845e-07,3.4315604421706415e-11,4.5783530974022567e-10,7.379224637213426e-10,7.741830557422524e-27,3.3918605994531058e-15,1.3831919386690145e-10,6.76281625694628e-10,1.481262669401835e-30,0.0,0.0,5.29529215279819e-10,1.4379695497406445e-11,3.9208429604629517e-13,3.178852168829164e-30,6.385548993355038e-40,2.4871466202136674e-20,8.216897474092246e-50,8.334425690028613e-29,6.218375841998832e-30,3.9469296806976376e-24,0.0,0.0,0.0,5.5281487839572044e-18,6.9208538195505235e-28,6.4993023643198134e-15,0.0,4.582817484318946e-40,8.173967397013153e-19,0.0,5.2067587291438845e-30,4.686611334307009e-27,4.486573916000962e-32,0.0,1.0588696693369772e-13,2.7677163142250765e-15,6.895518833799624e-12,1.4405403190030497e-11,4.045446589141406e-26,1.0420473911986912e-11,0.0,2.4281680329610552e-21,0.0,0.0,0.0,1.9454089516498366e-32,0.0,0.0,3.1226073306160646e-17,9.490684338371703e-19,2.3885968919616454e-15,3.1468849412380126e-32,1.7630193325445182e-17,5.331794178227342e-32,0.0,2.3846604986061594e-28,1.0076581544035943e-18,2.6149182375321896e-29,1.107457206393018e-15,0.0,1.6818238795132362e-12,1.0492099101419899e-16,6.731397911637108e-16,0.0,1.1090888094678033e-18,2.24740579858586e-14,0.0,1.1022211772112127e-12,1.4206473444035966e-66,4.605020465382312e-12,0.0,1.1167283441805873e-15,3.066707057469785e-13,1.2836370257587403e-15,0.0,0.0,2.5866910222839068e-11,2.6873576961465616e-15,1.53227972152285e-30,2.5645334809691714e-16,3.1111894829657174e-45,2.010767299454893e-14,9.200115621549625e-15,1.3410370870185618e-25,5.454437463438335e-12,7.867705989838242e-14,1.5576658705231898e-11,1.1013606965911536e-19,8.207648446894639e-17,7.109202954566252e-16,1.996578983708921e-14,0.0,0.0,0.0,9.854748941517044e-27,0.0,0.0,2.249225984661352e-16,0.0,0.0,0.0,3.1847283873589185e-20,5.642545127633871e-19,0.0,6.141549977857257e-40
0.051000000000000004,0.06869909271027264,298.04393721678684,1.2902719529690816,0.6171954196619268,1.864376292625105e-17,0.1482599938460503,2.25348772176228e-18,0.04699966224616945,0.18749690020261947,3.215077509385757e-06,9.477976615495979e-43,2.3369647149395723e-49,5.06620968425527e-25,2.1514723079602775e-21,4.287834477135171e-05,1.2303147612218615e-69,0.0,4.947195682223621e-14,1.0342713467647507e-11,1.1780241322909199e-06,1.3629848370377937e-07,7.6932869953022295e-28,7.5699261772539055e-31,7.615016902497366e-20,3.5402807643900842e-12,2.1236795767463047e-28,4.972107514634031e-39,3.501289679210314e-08,4.2325436300915126e-43,4.402385650540209e-37,3.521968679858395e-12,1.9503647163559636e-26,4.352407715275139e-11,9.29052809409361e-29,8.802826568101841e-09,1.254559288033347e-10,7.8574158628401945e-28,3.0844115958904837e-26,3.5479657369166725e-27,2.8459144309747443e-28,7.403446225624905e-14,5.522945408995163e-25,5.543542593354778e-07,2.1621670099420116e-10,3.0167182323352927e-09,3.929186235952705e-09,4.137813304873435e-26,2.918682275323144e-14,1.116869222816893e-09,4.670615989617109e-09,5.549152264118193e-29,0.0,1.5918513271922596e-17,4.157284732740464e-09,1.2322611809287237e-10,3.538589936080428e-12,3.49711777114393e-29,3.4797906900599544e-38,1.4746045540832046e-19,6.729296294121036e-48,8.378840248428299e-29,6.252291433356736e-30,7.12591143420807e-23,4.963376158780882e-22,1.9106826750844213e-16,4.262068664770301e-23,5.5519745488570335e-18,6.949506929500419e-28,3.320630201876616e-13,1.3727349845020548e-17,4.6328655368634545e-40,4.2741911780807145e-18,0.0,2.778614828626488e-29,4.781872423143939e-27,1.2763435585754178e-30,0.0,7.191840593656124e-13,5.094159621263657e-14,5.6915476806794787e-11,1.2454875322154213e-10,4.33209242500901e-25,6.356503231930929e-11,1.6157221586749738e-24,1.8513719824078408e-20,0.0,0.0,0.0,9.87595837815639e-32,0.0,0.0,3.552377957617165e-16,1.5609836164873552e-17,2.388732464443592e-15,3.3863233467059026e-31,2.9052156053381064e-16,2.8464079237877554e-31,9.78348560234301e-27,3.537393512149635e-27,9.960146597530427e-19,3.9419589374860394e-28,9.603178849125827e-15,9.447024115798586e-23,1.668463335216208e-11,1.4662650557863765e-15,7.466400385525275e-15,7.212174128190525e-26,2.5925427419023737e-17,2.6442536717585027e-13,0.0,1.1661919779448812e-11,1.52683051037879e-65,4.8029033545471426e-11,0.0,2.5101344740423334e-14,3.0387609609277563e-12,5.22909496031994e-14,0.0,3.3060447309319357e-28,2.2223781584679109e-10,2.972090283088366e-14,8.346247732803682e-30,1.4592195935873484e-14,3.167117472856891e-45,2.394432390253346e-14,1.3779594442797653e-13,1.3329955863661522e-25,4.5902979024743045e-11,7.524812875369751e-13,1.129461454127864e-10,1.1105211775998922e-19,8.694169895311385e-16,7.503092703562322e-15,1.9602246706112162e-13,2.6400318787071515e-18,0.0,1.3614407160617187e-18,9.806215377041094e-27,0.0,0.0,1.886030143182424e-15,0.0,0.0,0.0,5.249097562275025e-19,5.732674447180736e-19,0.0,5.1073633325541424e-39
0.052,0.0687711036382793,298.19504759447074,1.288920895881597,0.617154057667478,1.8643295656568664e-17,0.1482726988491528,1.6427753773911065e-17,0.04698882039117236,0.1874804462186138,1.42163894328865e-05,0.0,3.7255634743781966e-47,7.398704800693756e-24,1.167749310455128e-20,8.09014898156698e-05,1.2163366355294312e-69,0.0,2.340280886721066e-13,6.259310243371094e-11,5.2753674266787645e-06,7.713049546901048e-07,2.3834778517137094e-26,2.2049668476547614e-29,5.557651024430519e-19,2.0093076353761667e-11,6.2320769973464624e-27,1.9642616792495925e-37,1.8669384185743927e-07,2.3518468450263042e-42,2.152027595343646e-35,2.029056264451042e-11,7.02407792797832e-25,2.803013908933068e-10,3.751432101856858e-27,4.854250290482708e-08,7.404384402818605e-10,3.373942642405908e-26,1.4408097838173845e-24,8.584657301149243e-26,9.79135042939398e-27,4.801553620837177e-13,4.680668727779403e-24,2.4518783331816698e-06,1.375212983744383e-09,2.0053388135518987e-08,2.1177733762690138e-08,2.275230088802669e-25,2.453224240504812e-13,9.075504271793618e-09,3.25220172124746e-08,2.578974254796304e-27,2.197528313404492e-15,1.3559231027520205e-15,3.285493081532713e-08,1.0619956318507124e-09,3.2091366923328697e-11,5.087100506758774e-28,3.755087447244835e-38,1.0715793490853301e-18,7.182282492010455e-46,8.583837702586138e-29,6.408812150150089e-30,1.0368723645388585e-21,4.225771735954881e-20,1.6271046445531812e-14,3.6300187447193246e-21,5.659592933043983e-18,7.083209312944347e-28,4.339349074794186e-12,4.951475272158946e-16,4.872109828219556e-40,6.543945941867698e-17,0.0,1.5133243696264073e-28,4.949030795914058e-27,3.718514912415841e-29,0.0,4.925108048318639e-12,7.235954544922722e-13,4.726528196785578e-10,1.0824083650273005e-09,3.457398282603137e-24,3.9148870275789674e-10,1.0605028111257066e-22,2.3536795332407345e-19,1.9318201922978464e-47,7.316584325997599e-33,0.0,3.6067798731371794e-30,0.0,0.0,4.1765000960378955e-15,1.9420192428553356e-16,2.3895626702658458e-15,4.27805005609798e-30,4.7834805213398046e-15,1.5532461323388045e-30,7.197611636173204e-25,9.654420964766334e-26,9.843730519141932e-19,4.553494714495934e-27,9.537734665772558e-14,3.428571462554123e-21,1.6631140935861888e-10,1.9216800944894857e-14,8.32292959318821e-14,3.782191737723284e-24,4.1444355593380255e-16,3.1202250255644254e-12,1.3310627438846624e-16,1.2393903788985153e-10,1.7386893182834304e-64,5.029242664875071e-10,0.0,2.4243304466789184e-13,3.0246395985570195e-11,7.566699914311133e-13,1.890958199873179e-29,1.342108418014401e-26,1.9203317606775744e-09,3.3069536067400707e-13,4.6375218567930997e-29,1.4274149134359105e-13,3.695585213272961e-45,8.40061385765977e-14,1.5474175988761793e-12,1.3490607671201196e-25,3.8855005978167206e-10,7.227974646186333e-12,8.251287806043813e-10,1.1202485063832713e-19,9.30087456392567e-15,8.379346495365586e-14,1.9591470469572348e-12,1.9009364684938616e-16,1.5192357558662953e-21,9.764195361025211e-17,9.846797440482827e-27,9.118038121571377e-22,0.0,1.5847170764442374e-14,8.45387792437192e-27,0.0,4.505686583864083e-15,8.61141555170796e-18,5.823199797890797e-19,8.220119460336981e-22,4.383662952326342e-38
