cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
513,-2.9733939000833586e-07,CF(121) + H(5) <=> C(16) + HF(117),"{'C(16)': 1.0, 'HF(117)': 1.0}","{'CF(121)': 1.0, 'H(5)': 1.0}"
32,2.804998398516751e-07,C(16) + O2(4) <=> CO(13) + O(6),"{'CO(13)': 1.0, 'O(6)': 1.0}","{'C(16)': 1.0, 'O2(4)': 1.0}"
738,2.413820530217187e-07,S(157) (+M) <=> CF2CO(128) + HF(117) (+M),"{'CF2CO(128)': 1.0, 'HF(117)': 1.0}",{'S(157)': 1.0}
4960,-1.4437749491947193e-07,CF2CO(128) + O2(4) <=> S(3823),{'S(3823)': 1.0},"{'CF2CO(128)': 1.0, 'O2(4)': 1.0}"
8,5.394376277732642e-08,H(5) + O2(4) (+M) <=> HO2(11) (+M),{'HO2(11)': 1.0},"{'H(5)': 1.0, 'O2(4)': 1.0}"
6742,-5.3055044075088725e-08,2-BTP(1) + H(5) <=> S(2396),{'S(2396)': 1.0},"{'2-BTP(1)': 1.0, 'H(5)': 1.0}"
5355,1.0321634600165096e-08,2-BTP(1) + BR(160) <=> S(3921),{'S(3921)': 1.0},"{'2-BTP(1)': 1.0, 'BR(160)': 1.0}"
2001,1.924011482809674e-09,CH2(18) + O2(4) <=> CH2O2(699),{'CH2O2(699)': 1.0},"{'CH2(18)': 1.0, 'O2(4)': 1.0}"
5395,1.762947446282037e-09,O2(4) + S(3921) <=> 2-BTP(1) + OOBr(2337),"{'2-BTP(1)': 1.0, 'OOBr(2337)': 1.0}","{'O2(4)': 1.0, 'S(3921)': 1.0}"
1225,-1.291380094175728e-09,BR(160) + CH2BR(164) <=> BR2(161) + CH2(18),"{'BR2(161)': 1.0, 'CH2(18)': 1.0}","{'BR(160)': 1.0, 'CH2BR(164)': 1.0}"
33,8.680729726414954e-10,CH(17) + H(5) <=> C(16) + H2(8),"{'C(16)': 1.0, 'H2(8)': 1.0}","{'CH(17)': 1.0, 'H(5)': 1.0}"
0,7.63061943068954e-10,H(5) + O2(4) <=> O(6) + OH(7),"{'O(6)': 1.0, 'OH(7)': 1.0}","{'H(5)': 1.0, 'O2(4)': 1.0}"
779,-7.345859185783246e-10,2-BTP(1) + H(5) <=> CF3(126) + S(166),"{'CF3(126)': 1.0, 'S(166)': 1.0}","{'2-BTP(1)': 1.0, 'H(5)': 1.0}"
5399,-6.417160083161581e-10,O2(4) + S(3921) <=> S(16057),{'S(16057)': 1.0},"{'O2(4)': 1.0, 'S(3921)': 1.0}"
6167,6.318101817539603e-10,O2(4) + S(3921) <=> HO2(11) + S(6067),"{'HO2(11)': 1.0, 'S(6067)': 1.0}","{'O2(4)': 1.0, 'S(3921)': 1.0}"
95,-6.151072781168545e-10,CH2(18) + CH4(3) <=> 2 CH3(20),{'CH3(20)': 2.0},"{'CH2(18)': 1.0, 'CH4(3)': 1.0}"
1325,5.140154677732589e-10,CH4(3) + F(115) <=> CH3(20) + HF(117),"{'CH3(20)': 1.0, 'HF(117)': 1.0}","{'CH4(3)': 1.0, 'F(115)': 1.0}"
7202,-2.3489619905454653e-10,2-BTP(1) + HO2(11) <=> S(2529),{'S(2529)': 1.0},"{'2-BTP(1)': 1.0, 'HO2(11)': 1.0}"
1267,-2.241750995248413e-10,CH4(3) + H(5) <=> CH3(20) + H2(8),"{'CH3(20)': 1.0, 'H2(8)': 1.0}","{'CH4(3)': 1.0, 'H(5)': 1.0}"
1331,1.812408312946483e-10,HCO(14) + O2(4) <=> CO(13) + HO2(11),"{'CO(13)': 1.0, 'HO2(11)': 1.0}","{'HCO(14)': 1.0, 'O2(4)': 1.0}"
28,-1.5985191497359295e-10,HCO(14) + M <=> CO(13) + H(5) + M,"{'CO(13)': 1.0, 'H(5)': 1.0}",{'HCO(14)': 1.0}
11038,-1.542855572310255e-10,2-BTP(1) + S(1200) <=> S(6112),{'S(6112)': 1.0},"{'2-BTP(1)': 1.0, 'S(1200)': 1.0}"
23,-1.5329390115299966e-10,CO(13) + OH(7) <=> CO2(10) + H(5),"{'CO2(10)': 1.0, 'H(5)': 1.0}","{'CO(13)': 1.0, 'OH(7)': 1.0}"
93,1.527624451826424e-10,CH(17) + CH4(3) <=> C2H4(30) + H(5),"{'C2H4(30)': 1.0, 'H(5)': 1.0}","{'CH(17)': 1.0, 'CH4(3)': 1.0}"
802,1.4342761837883486e-10,H2(8) + O(6) <=> H(5) + OH(7),"{'H(5)': 1.0, 'OH(7)': 1.0}","{'H2(8)': 1.0, 'O(6)': 1.0}"
71,-1.2743051379388995e-10,CH3(20) + O(6) <=> CH2O(15) + H(5),"{'CH2O(15)': 1.0, 'H(5)': 1.0}","{'CH3(20)': 1.0, 'O(6)': 1.0}"
1269,-1.2676491410560598e-10,CH4(3) + OH(7) <=> CH3(20) + H2O(9),"{'CH3(20)': 1.0, 'H2O(9)': 1.0}","{'CH4(3)': 1.0, 'OH(7)': 1.0}"
803,1.2602858841664427e-10,H2(8) + OH(7) <=> H(5) + H2O(9),"{'H(5)': 1.0, 'H2O(9)': 1.0}","{'H2(8)': 1.0, 'OH(7)': 1.0}"
3679,1.1235332343508517e-10,BR(160) + HO2(11) <=> OOBr(2342),{'OOBr(2342)': 1.0},"{'BR(160)': 1.0, 'HO2(11)': 1.0}"
8725,1.0208586782931879e-10,BR(160) + S(1200) <=> S(2350),{'S(2350)': 1.0},"{'BR(160)': 1.0, 'S(1200)': 1.0}"
4995,-1.0108089331425096e-10,CO(13) + S(2379) <=> S(3823),{'S(3823)': 1.0},"{'CO(13)': 1.0, 'S(2379)': 1.0}"
38,-9.033985973259706e-11,CH(17) + O2(4) <=> HCO(14) + O(6),"{'HCO(14)': 1.0, 'O(6)': 1.0}","{'CH(17)': 1.0, 'O2(4)': 1.0}"
29,-6.407929548113994e-11,H2O(9) + HCO(14) <=> CO(13) + H(5) + H2O(9),"{'CO(13)': 1.0, 'H(5)': 1.0, 'H2O(9)': 1.0}","{'H2O(9)': 1.0, 'HCO(14)': 1.0}"
74,6.335983765460856e-11,CH3(20) + OH(7) <=> CH2(18) + H2O(9),"{'CH2(18)': 1.0, 'H2O(9)': 1.0}","{'CH3(20)': 1.0, 'OH(7)': 1.0}"
778,-6.121514196571719e-11,2-BTP(1) + H(5) <=> BR(160) + S(168),"{'BR(160)': 1.0, 'S(168)': 1.0}","{'2-BTP(1)': 1.0, 'H(5)': 1.0}"
811,-5.299002783181336e-11,CH2O(15) + H(5) <=> H2(8) + HCO(14),"{'H2(8)': 1.0, 'HCO(14)': 1.0}","{'CH2O(15)': 1.0, 'H(5)': 1.0}"
1203,-5.263544179255693e-11,H(5) + HBR(162) <=> BR(160) + H2(8),"{'BR(160)': 1.0, 'H2(8)': 1.0}","{'H(5)': 1.0, 'HBR(162)': 1.0}"
804,5.0651908538107785e-11,2 OH(7) <=> H2O(9) + O(6),"{'H2O(9)': 1.0, 'O(6)': 1.0}",{'OH(7)': 2.0}
1387,4.744769204878526e-11,H(5) + HO2(11) <=> H2O2(12),{'H2O2(12)': 1.0},"{'H(5)': 1.0, 'HO2(11)': 1.0}"
1334,4.711973118353165e-11,CH3O(28) + O2(4) <=> CH2O(15) + HO2(11),"{'CH2O(15)': 1.0, 'HO2(11)': 1.0}","{'CH3O(28)': 1.0, 'O2(4)': 1.0}"
49,-4.061935517581066e-11,CH2(18) + H2(8) <=> CH3(20) + H(5),"{'CH3(20)': 1.0, 'H(5)': 1.0}","{'CH2(18)': 1.0, 'H2(8)': 1.0}"
